,name,market_capitalization_usd,price,country
0,apple,2062000000000.0,130.0,usa
1,saudi aramco,1848000000000.0,8.0,s. arabia
2,microsoft,1676000000000.0,225.0,usa
3,alphabet (google),1137000000000.0,88.0,usa
4,amazon,878160000000.0,86.0,usa
5,berkshire hathaway,702840000000.0,319.0,usa
6,johnson & johnson,471260000000.0,180.0,usa
7,visa,461110000000.0,218.0,usa
8,unitedhealth,457830000000.0,490.0,usa
9,exxon mobil,455190000000.0,111.0,usa
10,tencent,436090000000.0,46.0,china
11,tsmc,404870000000.0,78.0,taiwan
12,jpmorgan chase,404600000000.0,138.0,usa
13,lvmh,400240000000.0,788.0,france
14,walmart,395830000000.0,147.0,usa
15,nvidia,370280000000.0,149.0,usa
16,procter & gamble,364740000000.0,154.0,usa
17,tesla,357010000000.0,113.0,usa
18,mastercard,353500000000.0,368.0,usa
19,eli lilly,344850000000.0,363.0,usa
20,chevron,341400000000.0,177.0,usa
21,meta platforms (facebook),340930000000.0,130.0,usa
22,kweichow moutai,329340000000.0,262.0,china
23,nestlé,326280000000.0,119.0,switzerland
24,home depot,323620000000.0,318.0,usa
25,novo nordisk,311970000000.0,139.0,denmark
26,samsung,311550000000.0,46.0,s. korea
27,abbvie,294540000000.0,167.0,usa
28,merck,291160000000.0,115.0,usa
29,pfizer,285820000000.0,51.0,usa
30,alibaba,284340000000.0,107.0,china
31,bank of america,276050000000.0,34.0,usa
32,coca-cola,274170000000.0,63.0,usa
33,roche,258320000000.0,314.0,switzerland
34,pepsico,249500000000.0,181.0,usa
35,broadcom,245890000000.0,588.0,usa
36,asml,240640000000.0,596.0,netherlands
37,oracle,230960000000.0,86.0,usa
38,astrazeneca,219450000000.0,71.0,uk
39,icbc,214970000000.0,1.0,china
40,costco,214260000000.0,483.0,usa
41,thermo fisher scientific,209820000000.0,535.0,usa
42,reliance industries,207930000000.0,31.0,india
43,shell,206370000000.0,57.0,uk
44,l'oréal,203250000000.0,378.0,france
45,novartis,199600000000.0,92.0,switzerland
46,cisco,198500000000.0,48.0,usa
47,mcdonald,197360000000.0,269.0,usa
48,abbott laboratories,195850000000.0,112.0,usa
49,nike,194830000000.0,125.0,usa
50,toyota,191820000000.0,139.0,japan
51,t-mobile us,184840000000.0,149.0,usa
52,danaher,183800000000.0,252.0,usa
53,verizon,177190000000.0,42.0,usa
54,hermès,175670000000.0,1676.0,france
55,walt disney,171270000000.0,94.0,usa
56,accenture,169660000000.0,269.0,ireland
57,bhp group,167110000000.0,66.0,australia
58,nextera energy,166220000000.0,84.0,usa
59,comcast,163810000000.0,38.0,usa
60,wells fargo,163080000000.0,43.0,usa
61,china construction bank,161340000000.0,1.0,china
62,philip morris,160430000000.0,103.0,usa
63,texas instruments,158970000000.0,175.0,usa
64,charles schwab,157810000000.0,85.0,usa
65,linde,155720000000.0,316.0,uk
66,bristol-myers squibb,155200000000.0,73.0,usa
67,united parcel service,154770000000.0,179.0,usa
68,adobe,154690000000.0,333.0,usa
69,prosus,153640000000.0,77.0,netherlands
70,totalenergies,153350000000.0,62.0,france
71,raytheon technologies,150620000000.0,102.0,usa
72,catl,150080000000.0,61.0,china
73,china mobile,149060000000.0,7.0,china
74,morgan stanley,147980000000.0,88.0,usa
75,conocophillips,147320000000.0,118.0,usa
76,amgen,146840000000.0,275.0,usa
77,agricultural bank of china,146200000000.0,0.0,china
78,meituan,144720000000.0,23.0,china
79,tata consultancy services,142350000000.0,39.0,india
80,cm bank,142160000000.0,6.0,china
81,dior,142000000000.0,782.0,france
82,honeywell,141360000000.0,210.0,usa
83,salesforce,140500000000.0,141.0,usa
84,netflix,140420000000.0,316.0,usa
85,at&t,139190000000.0,20.0,usa
86,hsbc,137020000000.0,34.0,uk
87,royal bank of canada,135090000000.0,97.0,canada
88,aia,132370000000.0,11.0,hong kong
89,ping an insurance,132050000000.0,7.0,china
90,union pacific corporation,130340000000.0,212.0,usa
91,unilever,129930000000.0,51.0,uk
92,caterpillar,129500000000.0,249.0,usa
93,qualcomm,129290000000.0,115.0,usa
94,bank of china,129290000000.0,0.0,china
95,ibm,128800000000.0,144.0,usa
96,sap,127660000000.0,109.0,germany
97,deere & company,127180000000.0,426.0,usa
98,boeing,126940000000.0,213.0,usa
99,petrochina,126620000000.0,1.0,china
100,china life insurance,125360000000.0,5.0,china
101,anheuser-busch inbev,125300000000.0,61.0,belgium
102,hdfc bank,125290000000.0,67.0,india
103,lockheed martin,124020000000.0,473.0,usa
104,sanofi,123030000000.0,48.0,france
105,starbucks,122450000000.0,107.0,usa
106,lowe's companies,121520000000.0,201.0,usa
107,pinduoduo,121330000000.0,96.0,china
108,cvs health,120350000000.0,92.0,usa
109,rio tinto,120050000000.0,74.0,uk
110,intel,118560000000.0,29.0,usa
111,goldman sachs,117870000000.0,348.0,usa
112,toronto dominion bank,117800000000.0,64.0,canada
113,commonwealth bank,117650000000.0,70.0,australia
114,siemens,113590000000.0,143.0,germany
115,elevance health,113550000000.0,475.0,usa
116,s&p global,113320000000.0,348.0,usa
117,american express,112210000000.0,150.0,usa
118,blackrock,110840000000.0,738.0,usa
119,gilead sciences,110470000000.0,88.0,usa
120,jingdong mall,109910000000.0,64.0,china
121,intuit,108580000000.0,387.0,usa
122,prologis,107670000000.0,117.0,usa
123,medtronic,107550000000.0,81.0,ireland
124,wuliangye yibin,107450000000.0,28.0,china
125,bp,104370000000.0,34.0,uk
126,deutsche telekom,103540000000.0,21.0,germany
127,amd,103120000000.0,64.0,usa
128,sony,101890000000.0,81.0,japan
129,american tower,101730000000.0,219.0,usa
130,diageo,101530000000.0,179.0,uk
131,automatic data processing,99620000000.0,240.0,usa
132,equinor,99460000000.0,32.0,norway
133,ntt (nippon telegraph & telephone),98830000000.0,29.0,japan
134,byd,98610000000.0,39.0,china
135,stryker corporation,96970000000.0,256.0,usa
136,airbus,96780000000.0,123.0,netherlands
137,tjx companies,95580000000.0,83.0,usa
138,intuitive surgical,95550000000.0,270.0,usa
139,chubb,94980000000.0,229.0,switzerland
140,estee lauder,94130000000.0,264.0,usa
