,name,code,rank,marketcap,country,shareprice,change_1day,change_1year,categories
0,,,,,,,,,
1,,,,,,,,,
2,T-Mobile US,TMUS,51.0,doll_185.11 B,USA,doll_148.79,-0.40_perc,27.01_perc,['Telecommunication']
3,,,,,,,,,
4,,,,,,,,,
5,Danaher,DHR,50.0,doll_195.26 B,USA,doll_268.24,1.09_perc,-14.40_perc,['Conglomerate']
6,,,,,,,,,
7,Abbott Laboratories,ABT,52.0,doll_182.74 B,USA,doll_104.81,0.91_perc,-20.85_perc,['Medicaldevices']
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,Reliance Industries,RELIANCE.NS,38.0,doll_217.56 B,India,doll_32.16,-0.05_perc,1.80_perc,['Conglomerate']
16,Lowe's Companies,LOW,100.0,doll_125.10 B,USA,doll_206.89,2.47_perc,-19.47_perc,['Retail']
17,,,,,,,,,
18,,,,,,,,,
19,AIA,1299.HK,97.0,doll_126.63 B,Hong Kong,doll_10.76,4.95_perc,2.28_perc,['Insurance']
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,Prosus,PRX.AS,85.0,doll_134.29 B,Netherlands,doll_66.99,1.97_perc,-21.86_perc,['Investment']
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,AT&T,T,81.0,doll_137.55 B,USA,doll_19.30,0.68_perc,-16.38_perc,['Telecommunication']
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,Ping An Insurance,601318.SS,105.0,doll_120.97 B,China,doll_6.76,0.96_perc,-14.43_perc,['Insurance']
40,,,,,,,,,
41,,,,,,,,,
42,Humana,HUM,198.0,doll_69.52 B,USA,doll_549.18,0.52_perc,26.83_perc,['Insurance']
43,,,,,,,,,
44,,,,,,,,,
45,Air Products and Chemicals,APD,194.0,doll_70.01 B,USA,doll_315.58,1.12_perc,6.64_perc,['Chemicals']
46,,,,,,,,,
47,Becton Dickinson,BDX,195.0,doll_69.84 B,USA,doll_246.48,0.86_perc,-1.55_perc,['Medicaldevices']
48,,,,,,,,,
49,Zurich Insurance Group,ZURN.SW,189.0,doll_70.97 B,Switzerland,doll_478.59,0.09_perc,12.48_perc,['Insurance']
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,Compagnie Financière Richemont,CFR.SW,182.0,doll_74.11 B,Switzerland,doll_130.62,1.15_perc,-16.48_perc,['Luxurygoods']
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
