,id,name,official_name,headquarters_country,headquarters_continent,founded,employees,ceo,market_cap,categories,gbp
0,1e4dfb844d5a47e39c14699648cbd55a,apple,apple inc.,cupertino,ca,0,"100,000",mr. timothy d. cook,doll_2.825 t,"['unitedstates', 'technology', 'consumerelectronics', 'unitedstatestechnology', 'unitedstatesconsumerelectronics']",0
1,031f69c6c7fd49d89b00ecdfcd294bad,danaher,danaher corporation,washington,dc,1969,"78,000",mr. rainer m. blair,doll_208.03 b,"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']",0
2,8acd1acfe59d4fc88c28038c9d3e8911,merck,"merck & co., inc.",kenilworth,nj,1891,"67,000",mr. robert m. davis j.d.,doll_210.38 b,"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']",0
3,ba6efa594766439dafb4045f0b25a23a,bhp,bhp group,melbourne,vic,1885,"40,110","mr. mike p. henry b.sc., bsc (chem)",adoll_281.66 b,"['australia', 'basicmaterials', 'otherindustrialmetals&mining', 'australiabasicmaterials', 'australiaotherindustrialmetals&mining']",doll_211.25 b
4,83d47a2c8bd545cf80c17abfa6d81cf9,nike,"nike, inc.",beaverton,or,0,"73,300",mr. john j. donahoe ii,doll_213.60 b,"['unitedstates', 'consumerdiscretionary', 'footwear&accessories', 'unitedstatesconsumerdiscretionary', 'unitedstatesfootwear&accessories']",0
5,4568b61276284513a2415bf62c81c25d,abbott,abbott laboratories,northchicago,il,1888,"113,000",mr. robert b. ford,doll_215.02 b,"['unitedstates', 'healthcare', 'medicaldevices', 'unitedstateshealthcare', 'unitedstatesmedicaldevices']",0
6,085222fa6100409899a25d872728ec07,verizon,verizon communications inc.,newyork,ny,0,"118,400",mr. hans e. vestberg,doll_216.68 b,"['unitedstates', 'communicationservices', 'telecomservices', 'unitedstatescommunicationservices', 'unitedstatestelecomservices']",0
7,5560a517dbe54617b85e0781f421a132,comcast,comcast corporation,philadelphia,pa,0,"189,000",mr. brian l. roberts,doll_218.90 b,"['unitedstates', 'communicationservices', 'entertainment', 'unitedstatescommunicationservices', 'unitedstatesentertainment']",0
8,893f7d2a57624f5dab089dfd9859c7c8,accenture,accenture plc,dublin,ireland,1989,"699,000",ms. julie t. spellman sweet,doll_219.03 b,"['ireland', 'technology', 'informationtechnologyservices', 'irelandtechnology', 'irelandinformationtechnologyservices']",0
9,ad1fe265917248bd9943f12003d4c12e,l'oréal,l'oréal sa,clichy,france,0,"85,400",mr. nicolas  hieronimus,doll_€203.85 b,"['france', 'consumerstaples', 'household&personalproducts', 'franceconsumerstaples', 'francehousehold&personalproducts']",doll_225.24 b
10,20c3e83f0e994664bd51b7c864a400dd,oracle,oracle corporation,redwoodcity,ca,0,"132,000",ms. safra ada catz,doll_228.18 b,"['unitedstates', 'technology', 'software—infrastructure', 'unitedstatestechnology', 'unitedstatessoftware—infrastructure']",0
11,6ef7ef223a604d80b10d0c7b114ba4a8,thermo fisher scientific,thermo fisher scientific inc.,waltham,ma,1956,"130,000",mr. marc n. casper,doll_236.15 b,"['unitedstates', 'healthcare', 'diagnostics&research', 'unitedstateshealthcare', 'unitedstatesdiagnostics&research']",0
12,08bed2169358443c99efd4300f6dfa15,cisco,"cisco systems, inc.",sanjose,ca,0,"79,500",mr. charles h. robbins,doll_238.45 b,"['unitedstates', 'technology', 'communicationequipment', 'unitedstatestechnology', 'unitedstatescommunicationequipment']",0
13,50a075528d2a4b3ebca845022adbe069,pepsico,"pepsico, inc.",purchase,ny,0,"309,000",mr. ramon luis laguarta,doll_241.05 b,"['unitedstates', 'consumerstaples', 'beverages—non-alcoholic', 'unitedstatesconsumerstaples', 'unitedstatesbeverages—non-alcoholic']",0
14,139f6f47c06a41a9901dc36a335ace08,disney,the walt disney company,burbank,ca,0,"152,000",mr. robert a. chapek,doll_247.88 b,"['unitedstates', 'communicationservices', 'entertainment', 'unitedstatescommunicationservices', 'unitedstatesentertainment']",0
15,047a5854f81f453fa8994bf5b807e916,icbc,industrial & commercial bank of china ltd,beijing,china,0,"439,787",,doll_cn¥1.593 t,"['china', 'financials', 'banks', 'chinafinancials', 'chinabanks']",doll_250.37 b
16,3e203105a71d4cbcb2c261ad96ae3987,novo nordisk,novo nordisk a/s,bagsvaerd,denmark,0,"47,792",mr. lars fruergaard jorgensen,doll_kr.1.731 t,"['denmark', 'healthcare', 'biotechnology', 'denmarkhealthcare', 'denmarkbiotechnology']",doll_257.24 b
17,3e72edc4d4dd45768c4746c33d8fa8f9,costco,costco wholesale corporation,issaquah,wa,0,"288,000",mr. w. craig jelinek,doll_258.15 b,"['unitedstates', 'consumerstaples', 'discountstores', 'unitedstatesconsumerstaples', 'unitedstatesdiscountstores']",0
18,23b461cae50f4ed4a74f0618a6ce55da,broadcom,broadcom inc.,sanjose,ca,1961,"20,000",mr. hock e. tan,doll_265.27 b,"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']",0
19,7d4567d5af6e4d14ab98a4d5adb55398,lilly,eli lilly and company,indianapolis,in,1876,"35,000",mr. david a. ricks,doll_273.01 b,"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']",0
20,50b59e0422964c4d8fcab2442bc11bd9,coca-cola,the coca-cola company,atlanta,ga,0,"79,000",mr. james robert b. quincey,doll_273.20 b,"['unitedstates', 'consumerstaples', 'beverages—non-alcoholic', 'unitedstatesconsumerstaples', 'unitedstatesbeverages—non-alcoholic']",0
21,18805c01943b4ff8910d1b2c7e436969,asml,asml holding n.v.,veldhoven,netherlands,1984,"29,861",mr. peter t. f. m. wennink,doll_€248.30 b,"['netherlands', 'technology', 'semiconductorequipment&materials', 'netherlandstechnology', 'netherlandssemiconductorequipment&materials']",doll_274.35 b
22,ca2fd456e93d4c858367f25f6ce48421,alibaba,alibaba group holding limited,hangzhou,china,0,"259,316",mr. yong  zhang,hkdoll_2.275 t,"['china', 'consumerdiscretionary', 'internetretail', 'chinaconsumerdiscretionary', 'chinainternetretail']",doll_290.40 b
23,c3c6e96b5c6740fe91da873cee93f54e,abbvie,abbvie inc.,northchicago,il,2013,"50,000",mr. richard a. gonzalez,doll_294.27 b,"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']",0
24,a83b70acf68348028c993e4b19b07d48,pfizer,pfizer inc.,newyork,ny,1849,"79,000","dr. albert  bourla d.v.m., dvm, ph.d.",doll_300.79 b,"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']",0
25,14acf10926e24fb8a39ae3075a5d396b,chevron,chevron corporation,sanramon,ca,0,"42,595",mr. michael k. wirth,doll_315.13 b,"['unitedstates', 'energy', 'oil&gasintegrated', 'unitedstatesenergy', 'unitedstatesoil&gasintegrated']",0
26,f8e93edeb89d449ca9ae75a2408c7517,home depot,"the home depot, inc.",atlanta,ga,0,"490,600",mr. edward p. decker,doll_321.47 b,"['unitedstates', 'consumerdiscretionary', 'homeimprovementretail', 'unitedstatesconsumerdiscretionary', 'unitedstateshomeimprovementretail']",0
27,cef2113b4ddd4011bc9145636b8104e4,kweichow moutai,kweichow moutai co. ltd,renhuai,china,0,"29,031",,doll_cn¥2.216 t,"['china', 'consumerstaples', 'beverages—wineries&distilleries', 'chinaconsumerstaples', 'chinabeverages—wineries&distilleries']",doll_348.22 b
28,c85e1a1ede404d4397fe39b7f13e2d87,exxonmobil,exxon mobil corporation,irving,tx,0,"63,000",mr. darren w. woods,doll_348.72 b,"['unitedstates', 'energy', 'oil&gasintegrated', 'unitedstatesenergy', 'unitedstatesoil&gasintegrated']",0
29,340c9de41d34441e9182c887f3948f4e,roche,roche holding ag,basel,switzerland,0,"100,920",dr. severin  schwan ph.d.,doll_chf323.52 b,"['switzerland', 'healthcare', 'drugmanufacturers—general', 'switzerlandhealthcare', 'switzerlanddrugmanufacturers—general']",doll_349.50 b
30,a466aec19c044d1c8a6ca6cc8ea4a34b,bank of america,bank of america corporation,charlotte,nc,1998,"208,000",mr. brian thomas moynihan,doll_350.84 b,"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']",0
31,1012f086382c4773adee2583a0e4fea7,mastercard,mastercard incorporated,purchase,ny,1966,"24,000",mr. michael  miebach,doll_358.60 b,"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']",0
32,8e51092a3a3f4921820cad0542c0f9e8,lvmh,"lvmh moët hennessy - louis vuitton, se",paris,france,0,"148,343",mr. bernard  arnault,doll_€325.15 b,"['france', 'consumerdiscretionary', 'luxurygoods', 'franceconsumerdiscretionary', 'franceluxurygoods']",doll_359.26 b
33,0888dadf879c40009a50723afba85517,samsung,"samsung electronics co., ltd.",suwon-si,southkorea,0,,mr. jong-hee  han,doll_₩461.587 t,"['southkorea', 'technology', 'consumerelectronics', 'southkoreatechnology', 'southkoreaconsumerelectronics']",doll_378.35 b
34,2e4058f12f4941d48b73c209f7245dc8,procter & gamble,the procter & gamble company,cincinnati,oh,0,"101,000",mr. jon r. moeller,doll_384.60 b,"['unitedstates', 'consumerstaples', 'household&personalproducts', 'unitedstatesconsumerstaples', 'unitedstateshousehold&personalproducts']",0
35,3e3466b94cfa414490e7d5c0932cfc66,jpmorgan,jpmorgan chase & co.,newyork,ny,0,"271,025",mr. james  dimon,doll_410.84 b,"['unitedstates', 'financials', 'banks', 'unitedstatesfinancials', 'unitedstatesbanks']",0
36,cda6bacc165e4ae881fe79b7a30ec291,walmart,walmart inc.,bentonville,ar,0,"2,300,000",mr. c. douglas mcmillon,doll_429.05 b,"['unitedstates', 'consumerstaples', 'discountstores', 'unitedstatesconsumerstaples', 'unitedstatesdiscountstores']",0
37,f6b70b07ce824e6ea25eca9ed474dd11,tencent,tencent holdings ltd,shenzhen,china,0,"112,771",mr. huateng pony  ma,hkdoll_3.456 t,"['china', 'communicationservices', 'internetcontent&information', 'chinacommunicationservices', 'chinainternetcontent&information']",doll_441.17 b
38,311749b2f2824bad81c725686ea1e182,johnson & johnson,,newbrunswick,nj,0,"141,700",mr. joaquin  duato,doll_475.93 b,"['unitedstates', 'healthcare', 'drugmanufacturers—general', 'unitedstateshealthcare', 'unitedstatesdrugmanufacturers—general']",0
39,cd454406fc7e41ae8fc05ee5ef34975c,visa,visa inc.,sanfrancisco,ca,0,"21,500",mr. alfred francis kelly jr.,doll_486.77 b,"['unitedstates', 'financials', 'creditservices', 'unitedstatesfinancials', 'unitedstatescreditservices']",0
