,name,mastercap,country,industry,sector
0,shell plc,doll_207.68 b,united kingdom,oil & gas integrated,energy
1,astrazeneca plc,doll_201.75 b,united kingdom,drug manufacturersgeneral,healthcare
2,linde plc,doll_166.07 b,united kingdom,specialty chemicals,basic materials
3,hsbc holdings plc,doll_140.15 b,united kingdom,banks,financials
4,rio tinto group,doll_125.84 b,united kingdom,other industrial metals & mining,basic materials
5,unilever plc,doll_117.84 b,united kingdom,household & personal products,consumer staples
6,diageo plc,doll_115.58 b,united kingdom,beverageswineries & distilleries,consumer staples
7,glaxosmithkline plc,doll_109.98 b,united kingdom,drug manufacturersgeneral,healthcare
8,british american tobacco plc,doll_101.44 b,united kingdom,tobacco,consumer staples
9,bp plc,doll_96.24 b,united kingdom,oil & gas integrated,energy
10,aon plc,doll_73.33 b,united kingdom,insurance brokers,financials
11,anglo american plc,doll_71.48 b,united kingdom,other industrial metals & mining,basic materials
12,reckitt benckiser group plc,0,united kingdom,household & personal products,consumer staples
13,relx plc,doll_58.53 b,united kingdom,publishing,communication services
14,ihs markit ltd.,0,united kingdom,consulting services,industrials
15,national grid plc,doll_55.88 b,united kingdom,utilitiesdiversified,utilities
16,london stock exchange group plc,doll_53.33 b,united kingdom,financial data & stock exchanges,financials
17,general accident plc,doll_51.43 b,united kingdom,insuranceproperty & casualty,financials
18,vodafone group plc,doll_45.74 b,united kingdom,telecom services,communication services
19,lloyds banking group plc,doll_43.70 b,united kingdom,banks,financials
20,prudential plc,doll_39.00 b,united kingdom,insurancelife,financials
21,compass group plc,doll_37.73 b,united kingdom,restaurants,consumer discretionary
22,natwest group plc,doll_32.72 b,united kingdom,banks,financials
23,barclays plc,doll_32.19 b,united kingdom,banks,financials
24,ferguson plc,doll_30.52 b,united kingdom,industrial distribution,industrials
25,bae systems plc,doll_30.51 b,united kingdom,aerospace & defense,industrials
26,willis towers watson plc,0,united kingdom,insurance brokers,financials
27,ashtead group plc,doll_28.28 b,united kingdom,rental & leasing services,industrials
28,tesco plc,doll_28.11 b,united kingdom,grocery stores,consumer staples
29,bt group plc,doll_24.09 b,united kingdom,telecom services,communication services
30,sse plc,doll_23.73 b,united kingdom,utilitiesdiversified,utilities
31,coca-cola europacific partners plc,doll_22.53 b,united kingdom,beveragesnon-alcoholic,consumer staples
32,cnh industrial n.v.,doll_21.93 b,united kingdom,farm & heavy construction machinery,industrials
33,legal & general group plc,doll_21.34 b,united kingdom,insurancelife,financials
34,segro plc,doll_21.08 b,united kingdom,reitindustrial,real estate
35,standard chartered plc,doll_20.78 b,united kingdom,banks,financials
36,imperial brands plc,doll_20.14 b,united kingdom,tobacco,consumer staples
37,aviva plc,doll_19.82 b,united kingdom,insurancediversified,financials
38,croda international plc,0,united kingdom,specialty chemicals,basic materials
39,scottish mortgage investment trust plc,doll_18.78 b,united kingdom,asset management,financials
40,antofagasta plc,0,united kingdom,copper,basic materials
41,3i group plc,doll_17.60 b,united kingdom,asset management,financials
42,associated british foods plc,doll_17.49 b,united kingdom,packaged foods,consumer staples
43,wpp plc,doll_15.76 b,united kingdom,advertising agencies,communication services
44,smith & nephew plc,doll_14.09 b,united kingdom,medical devices,healthcare
45,liberty global plc,doll_13.61 b,united kingdom,entertainment,communication services
46,bunzl plc,doll_13.07 b,united kingdom,food distribution,consumer staples
47,rentokil initial plc,doll_12.78 b,united kingdom,specialty business services,industrials
48,intercontinental hotels group plc,doll_12.20 b,united kingdom,lodging,consumer discretionary
49,evraz plc,0,united kingdom,steel,basic materials
50,spirax-sarco engineering plc,doll_12.14 b,united kingdom,specialty industrial machinery,industrials
51,informa plc,doll_11.80 b,united kingdom,publishing,communication services
52,ocado group plc,doll_11.54 b,united kingdom,grocery stores,consumer staples
53,intertek group plc,doll_11.03 b,united kingdom,consulting services,industrials
54,rolls-royce holdings plc,doll_10.97 b,united kingdom,aerospace & defense,industrials
55,schroders plc,doll_10.48 b,united kingdom,asset management,financials
56,next plc,doll_10.44 b,united kingdom,apparel retail,consumer discretionary
57,united utilities group plc,doll_10.30 b,united kingdom,utilitiesregulated water,utilities
58,st. james's place plc,doll_10.21 b,united kingdom,financial conglomerates,financials
59,severn trent plc,doll_10.12 b,united kingdom,utilitiesregulated water,utilities
60,jd sports fashion plc,doll_10.00 b,united kingdom,specialty retail,consumer discretionary
61,admiral group plc,doll_9.96 b,united kingdom,insuranceproperty & casualty,financials
62,the sage group plc,doll_9.83 b,united kingdom,softwareapplication,technology
63,wm morrison supermarkets plc,0,united kingdom,grocery stores,consumer staples
64,aveva group plc,doll_9.60 b,united kingdom,softwareapplication,technology
65,mondi plc,doll_9.51 b,united kingdom,paper & paper products,basic materials
66,standard life aberdeen plc,0,united kingdom,asset management,financials
67,pentair plc,doll_9.32 b,united kingdom,specialty industrial machinery,industrials
68,persimmon plc,doll_9.07 b,united kingdom,residential construction,consumer discretionary
69,burberry group plc,doll_8.90 b,united kingdom,luxury goods,consumer discretionary
70,novocure limited,doll_8.54 b,united kingdom,medical instruments & supplies,healthcare
71,endava plc,doll_8.10 b,united kingdom,softwareinfrastructure,technology
72,phoenix group holdings plc,doll_8.10 b,united kingdom,insurancelife,financials
73,auto trader group plc,doll_8.03 b,united kingdom,internet content & information,communication services
74,nepi rockcastle plc,doll_7.94 b,united kingdom,real estatediversified,real estate
75,melrose industries plc,doll_7.93 b,united kingdom,specialty industrial machinery,industrials
76,pershing square holdings ord,doll_7.88 b,united kingdom,asset management,financials
77,capri holdings limited,doll_7.79 b,united kingdom,apparel manufacturing,consumer discretionary
78,meggitt plc,doll_7.79 b,united kingdom,aerospace & defense,industrials
79,land securities group plc,doll_7.76 b,united kingdom,reitdiversified,real estate
80,m&g plc,doll_7.59 b,united kingdom,asset management,financials
81,smiths group plc,doll_7.57 b,united kingdom,specialty industrial machinery,industrials
82,whitbread plc,doll_7.55 b,united kingdom,restaurants,consumer discretionary
83,pearson plc,doll_7.52 b,united kingdom,publishing,communication services
84,j sainsbury plc,doll_7.42 b,united kingdom,grocery stores,consumer staples
85,allfunds group plc,doll_7.28 b,united kingdom,asset management,financials
86,kingfisher plc,doll_7.10 b,united kingdom,home improvement retail,consumer discretionary
87,rightmove plc,doll_7.09 b,united kingdom,internet content & information,communication services
88,airtel africa plc,doll_7.02 b,united kingdom,telecom services,communication services
89,barratt developments plc,doll_7.02 b,united kingdom,residential construction,consumer discretionary
90,intermediate capital group plc,doll_6.77 b,united kingdom,asset management,financials
91,electrocomponents plc,doll_6.64 b,united kingdom,industrial distribution,industrials
92,british land company plc,doll_6.51 b,united kingdom,reitdiversified,real estate
93,endeavour mining corporation,doll_6.35 b,united kingdom,gold,basic materials
94,taylor wimpey plc,doll_6.25 b,united kingdom,residential construction,consumer discretionary
95,hargreaves lansdown plc,doll_6.25 b,united kingdom,asset management,financials
96,the unite group plc,doll_6.12 b,united kingdom,reitdiversified,real estate
97,janus henderson group plc,doll_6.10 b,united kingdom,asset management,financials
98,the berkeley group holdings plc,doll_6.07 b,united kingdom,residential construction,consumer discretionary
99,f&c investment trust plc,doll_6.06 b,united kingdom,asset management,financials
100,pepco group n.v.,doll_6.03 b,united kingdom,discount stores,consumer staples
