,name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
0,"avis budget group, inc.",doll_18.12 b,car,united states,industrials,rental & leasing services,"parsippany,nj,unitedstates", 2006 ," 16,000", mr. joseph a. ferraro
1,telefônica brasil sa,doll_20.19 b,viv,brazil,communication services,telecom services,"sã£opaulo,sp,brazil", 1998," 34,000", mr. christian  mauad gebara
2,east japan railway company,doll_22.78 b,9020,japan,industrials,railroads,"tokyo,japan",," 71,973", mr. yuji  fukasawa
3,twilio inc.,doll_26.09 b,twlo,united states,communication services,internet content & information,"sanfrancisco,ca,unitedstates", 2008," 7,867", mr. jeffrey  lawson
4,"delta electronics, inc.",doll_24.05 b,2308,taiwan,technology,electronic components,"taipei,taiwan",,, mr. ping  cheng
5,power corporation of canada,doll_21.48 b,pow,canada,financials,insurance—life,"montrã©al,qc,canada", 1925," 30,000", mr. robert jeffrey orr
6,"expedia group, inc.",doll_27.91 b,expe,united states,consumer discretionary,travel services,"seattle,wa,unitedstates"," october 22, 1996"," 14,800", mr. peter maxwell kern
7,croda international plc,doll_19.22 b,crda,united kingdom,basic materials,specialty chemicals,"goole,unitedkingdom", 1925," 4,000",
8,"coupang, inc.",doll_30.53 b,cpng,south korea,consumer discretionary,internet retail,"seoul,southkorea",," 68,000", mr. bom suk  kim
9,mplx lp,doll_35.27 b,mplx,united states,energy,oil & gas midstream,"findlay,oh,unitedstates", 1988," 1,139", mr. michael j. hennigan
10,natwest group plc,doll_32.72 b,nwg,united kingdom,financials,banks,"edinburgh,unitedkingdom", 25 march 1968," 58,735", ms. alison marie rose-slade b.a.
11,"dupont de nemours, inc.",doll_39.72 b,dd,united states,basic materials,chemicals,"wilmington,de,unitedstates"," september 1, 2017"," 28,000", mr. edward d. breen
12,hp inc.,doll_43.90 b,hpq,united states,technology,computer hardware,"paloalto,ca,unitedstates"," january 1, 1939"," 51,000", mr. enrique j. lores
13,"honda motor co., ltd.",doll_49.11 b,7267,japan,consumer discretionary,auto manufacturers,"tokyo,japan"," hamamatsu, japan october 1946, incorporated 24 september 1948"," 211,374", mr. toshihiro  mibe
14,macquarie group limited,doll_55.99 b,mqg,australia,financials,capital markets,"sydney,nsw,australia", 1969," 17,209"," ms. shemara r. wikramanayake b.com., l.l.b., llb, bcom (unsw)"
15,general motors company,doll_62.69 b,gm,united states,consumer discretionary,auto manufacturers,"detroit,mi,unitedstates"," september 16, 1908"," 157,000", ms. mary t. barra
16,edwards lifesciences corporation,doll_73.38 b,ew,united states,healthcare,medical devices,"irvine,ca,unitedstates", 1958," 15,700", mr. michael a. mussallem
17,zurich insurance group ag,doll_73.58 b,zurn,switzerland,financials,insurance—diversified,"zurich,switzerland",," 55,000", mr. mario  greco
18,atlassian corporation plc,doll_73.72 b,team,australia,technology,software—application,"sydney,nsw,australia", 2002," 7,388", mr. michael  cannon-brookes
19,"the tjx companies, inc.",doll_73.99 b,tjx,united states,consumer discretionary,apparel retail,"framingham,ma,unitedstates", 1987," 270,000", mr. ernie l. herrman
20,"intercontinental exchange, inc.",doll_74.17 b,ice,united states,financials,financial data & stock exchanges,"atlanta,ga,unitedstates"," may 11, 2000"," 8,858", mr. jeffrey c. sprecher
21,canadian natural resources limited,doll_74.78 b,cnq,canada,energy,oil & gas e&p,"calgary,ab,canada",," 9,735",
22,truist financial corporation,doll_74.79 b,tfc,united states,financials,banks,"charlotte,nc,unitedstates", 1872," 50,283", mr. william henry rogers jr.
23,"regeneron pharmaceuticals, inc.",doll_74.91 b,regn,united states,healthcare,biotechnology,"tarrytown,ny,unitedstates", 1988," 10,368"," dr. leonard s. schleifer m.d., ph.d."
24,"gilead sciences, inc.",doll_76.15 b,gild,united states,healthcare,drug manufacturers—general,"fostercity,ca,unitedstates"," june 22, 1987"," 14,400", mr. daniel p.  o'day
25,"becton, dickinson and company",doll_76.98 b,bdx,united states,healthcare,medical instruments & supplies,"franklinlakes,nj,unitedstates"," east rutherford, new jersey 1897"," 75,000", mr. thomas e. polen jr.
26,"the pnc financial services group, inc.",doll_77.10 b,pnc,united states,financials,banks,"pittsburgh,pa,unitedstates"," april 10, 1845"," 57,668", mr. william s. demchak
27,lam research corporation,doll_77.60 b,lrcx,united states,technology,semiconductor equipment & materials,"fremont,ca,unitedstates", 1980," 16,300", mr. timothy m. archer
28,the southern company,doll_78.38 b,so,united states,utilities,utilities—regulated electric,"atlanta,ga,unitedstates", 1945," 27,027", mr. thomas a. fanning
29,china petroleum & chemical corporation,doll_78.39 b,600028,china,energy,oil & gas integrated,"beijing,china"," beijing, china 25 february 2000"," 384,065",
30,china yangtze power co. ltd,doll_78.42 b,600900,china,utilities,utilities—independent power producers,"beijing,china",," 3,985",
31,kering sa,doll_78.66 b,ker,france,consumer discretionary,luxury goods,"paris,france",," 42,811", mr. franã§ois-henri  pinault
32,bank of montreal,doll_79.22 b,bmo,canada,financials,banks,"montreal,qc,canada", montreal bank 23 june 1817," 43,863", mr. william darryl white
33,tokyo electron ltd,doll_79.62 b,8035,japan,technology,semiconductor equipment & materials,"tokyo,japan",," 14,479", mr. toshiki  kawai
34,u.s. bancorp,doll_80.16 b,usb,united states,financials,banks,"minneapolis,mn,unitedstates"," july 13, 1863"," 68,796", mr. andrew j. cecere
35,essilorluxottica sa,doll_80.49 b,el,france,healthcare,medical instruments & supplies,"paris,france",," 144,888", mr. francesco  milleri
36,crown castle international corp. (reit),doll_80.92 b,cci,united states,real estate,reit—specialty,"houston,tx,unitedstates", 1994," 5,000", mr. jay a. brown
37,national australia bank limited,doll_81.03 b,nab,australia,financials,banks,"docklands,vic,australia", 1982," 32,741"," mr. ross maxwell mcewan b.b.s., cbe"
38,"hca healthcare, inc.",doll_82.60 b,hca,united states,healthcare,medical care facilities,"nashville,tn,unitedstates", 1968," 204,000", mr. samuel n. hazen
39,air liquide sa,doll_83.24 b,ai,france,basic materials,chemicals,"paris,france",," 66,400", mr. benoit  potier
40,shopify inc.,doll_83.80 b,shop,canada,technology,software—application,"ottawa,on,canada", 2006," 10,000", mr. tobias  lã¼tke
41,cigna corporation,doll_84.67 b,ci,united states,healthcare,healthcare plans,"bloomfield,ct,unitedstates", 1982," 72,226", mr. david michael cordani
42,"mitsubishi ufj financial group, inc.",doll_85.03 b,8306,japan,financials,banks,"tokyo,japan"," october 1, 2005"," 132,700", mr. hironori  kamezawa
43,"micron technology, inc.",doll_86.49 b,mu,united states,technology,semiconductors,"boise,id,unitedstates"," october 5, 1978"," 43,000", mr. sanjay  mehrotra
44,"marsh & mclennan companies, inc.",doll_87.16 b,mmc,united states,financials,insurance brokers,"newyork,ny,unitedstates", 1905," 83,000", mr. daniel s. glaser
45,cme group inc.,doll_87.17 b,cme,united states,financials,financial data & stock exchanges,"chicago,il,unitedstates", 1848," 3,480", mr. terrence a. duffy
46,glencore plc,doll_87.31 b,glen,switzerland,basic materials,other industrial metals & mining,"baar,switzerland", 1974," 81,284", mr. gary  nagle
47,brookfield asset management inc.,doll_87.46 b,bam.a,canada,financials,asset management,"toronto,on,canada", 1899," 150,000", mr. james bruce flatt
48,the blackstone group inc.,doll_87.64 b,bx,united states,financials,asset management,"newyork,ny,unitedstates", 1985," 3,795"," mr. stephen allen schwarzman b.a., m.b.a."
49,bank of nova scotia,doll_87.76 b,bns,canada,financials,banks,"halifax,ns,canada"," march 30, 1832"," 89,782"," mr. brian johnston porter a.m.p., b.com."
