,link,name,industry,founded,country,ceo,employees,revenue
0,https://www.forbes.com/companies/berkshire-hathaway,berkshire hathaway,diversified financials,1939,united states,warren edward buffett,"372,000",doll_276.1b
1,https://www.forbes.com/companies/icbc,icbc,banking,1984,china,shu gu,"434,089",doll_208.1b
2,https://www.forbes.com/companies/saudi-arabian-oil-company-saudi-aramco,saudi arabian oil company (saudi aramco),oil & gas operations,1933,saudi arabia,amin bin hasan al-nasser,"68,493",doll_400.4b
3,https://www.forbes.com/companies/jpmorgan-chase,jpmorgan chase,banking and financial services,2000,united states,jamie dimon,"270,000",doll_124.5b
4,https://www.forbes.com/companies/china-construction-bank,china construction bank,banking,2014,china,wang zuji,"349,671",doll_202.1b
5,https://www.forbes.com/companies/amazon,amazon,retail and wholesale,1994,united states,andy jassy,"1,608,000",doll_469.8b
6,https://www.forbes.com/companies/apple,apple,"semiconductors, electronics, electrical engineering, technology hardware & equipment",1976,united states,tim cook,"154,000",doll_378.7b
7,https://www.forbes.com/companies/agricultural-bank-of-china,agricultural bank of china,banking,1979,china,not found,"455,174",doll_181.4b
8,https://www.forbes.com/companies/bank-of-america,bank of america,banking and financial services,1904,united states,brian moynihan,"166,400",doll_96.8b
9,https://www.forbes.com/companies/toyota-motor,toyota motor,consumer durables,1937,japan,akio toyoda,"366,283",doll_281.7b
10,https://www.forbes.com/companies/alphabet,alphabet,"it, internet, software & services",1998,united states,sundar pichai,"156,500",doll_257.5b
11,https://www.forbes.com/companies/microsoft,microsoft,"it, internet, software & services",1975,united states,satya nadella,"103,000",doll_184.9b
12,https://www.forbes.com/companies/bank-of-china,bank of china,banking,1929,china,wang jiang,"306,322",doll_152.4b
13,https://www.forbes.com/companies/samsung-electronics,samsung group,"semiconductors, electronics, electrical engineering, technology hardware & equipment",1969,south korea,jay y. lee,"266,673",doll_244.2b
14,https://www.forbes.com/companies/exxon-mobil,exxonmobil,oil & gas operations,1999,united states,darren w. woods,"63,000",doll_280.5b
15,https://www.forbes.com/companies/shell,shell,"construction, oil & gas operations, mining and chemicals",1907,united kingdom,bernardus van beurden,"82,000",doll_261.8b
