,name,country,sector,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue_2017_euro,number_of_employees_2020,number_of_employees_2017,founding_year
0,swappie,finland,technology,"19,152.82",477.43,doll_97.61m,"507,000",218,1,2016
1,kilo health,lithuania,health,"16,541.73",450.05,doll_57.32m,"344,428",177,10,2013
2,oci,uk,financial services,"13,133.13",409.59,doll_568.32m,"4,325,512",32,4,2012
3,onlyfans,uk,technology,"11,928.05",393.63,doll_316.73m,"2,652,185",800,4,2016
4,enpal,germany,energy,"11,441.27",386.88,doll_56.11m,"486,165",365,9,2017
5,mr consulting,germany,waste management & recycling,"8,624.23",343.52,doll_13.17m,"150,908",9,2,2017
6,thriva,uk,health,"7,396.77",321.66,doll_18.73m,"251,668",57,12,2015
7,exotec,france,industrial goods,"6,635.11",306.86,doll_47.6m,"706,700",200,15,2015
8,winelivery,italy,ecommerce,"6,480.53",303.73,doll_7.34m,"111,500",10,1,2015
9,instabox,sweden,technology,"6,287.13",299.73,doll_24.48m,"392,055",117,5,2015
10,waterdrop,austria,food & beverage,"5,957.94",292.74,doll_41.21m,"680,197",180,12,2016
11,one lease,france,support services,"5,790.52",289.09,doll_9.02m,"153,046",11,2,2016
12,datlas*,italy,technology,"5,713.76",287.39,doll_9.03m,"155,406",251,13,2017
13,zego,uk,fintech,"5,242.60",276.63,doll_12.16m,"229,201",224,36,2016
14,hcl-logistics,germany,transport,"4,682.15",262.97,doll_11.39m,"238,118",24,5,2017
15,popsa,uk,technology,"4,649.68",262.15,doll_21.46m,"454,975",34,4,2016
16,unit8,switzerland,technology,"4,377.53",255.1,doll_7.23m,"149,397",41,2,2017
17,luoto company,finland,technology,"4,303.97",253.14,doll_14.34m,"325,585",49,6,2016
18,journi print,austria,ecommerce,"4,165.75",249.41,doll_6.85m,"160,624",29,9,2014
19,portify,france,support services,"4,118.60",248.11,doll_11.58m,"274,575",228,23,2017
20,tibber,norway,energy,"4,104.02",247.71,doll_30.89m,"782,918",45,8,2015
21,rascal industry,poland,fashion,"4,029.49",245.65,doll_9.01m,"238,451",18,6,2013
