,country,employees_2017,employees_2020,founding_year,name,revenue_2017,revenue_2020,sector
0,finland,1,218.0,2016,swappie,"507,000","97,611,814",technology
1,lithuania,10,177.0,2013,kilo health,"344,428","57,318,766",health
2,uk,4,32.0,2012,oci,"4,325,512","568,322,073",financial services
3,uk,4,800.0,2016,onlyfans,"2,652,185","316,732,986",technology
4,germany,9,365.0,2017,enpal,"486,165","56,109,613",energy
5,germany,2,9.0,2017,mr consulting,"150,908","13,165,586",waste management & recycling
6,uk,12,57.0,2015,thriva,"251,668","18,732,563",health
7,france,15,200.0,2015,exotec,"706,700","47,597,000",industrial goods
8,italy,1,10.0,2015,winelivery,"111,500","7,337,290",ecommerce
9,sweden,5,117.0,2015,instabox,"392,055","24,484,879",technology
10,austria,12,180.0,2016,waterdrop,"680,197","41,205,930",food & beverage
11,france,2,11.0,2016,one lease,"153,046","9,015,211",support services
12,italy,13,251.0,2017,datlas*,"155,406","9,034,926",technology
13,uk,36,224.0,2016,zego,"229,201","12,158,046",fintech
14,germany,5,24.0,2017,hcl-logistics,"238,118","11,387,156",transport
15,uk,4,34.0,2016,popsa,"454,975","21,455,864",technology
16,switzerland,2,41.0,2017,unit8,"149,397","7,234,981",technology
17,finland,6,49.0,2016,luoto company,"325,585","14,338,668",technology
18,austria,9,29.0,2014,journi print,"160,624","6,851,839",ecommerce
19,france,23,228.0,2017,portify,"274,575","11,583,215",support services
20,norway,8,45.0,2015,tibber,"782,918","30,886,935",energy
21,poland,6,18.0,2013,rascal industry,"238,451","9,008,822",fashion
22,italy,20,509.0,2017,pegaso security,"207,120","8,375,180",support services
23,uk,72,581.0,2016,tide,"416,562","16,136,633",fintech
24,italy,1,1.0,2017,euro top brand,"363,010","13,888,900",retail
25,uk,6,26.0,2011,bold security group,"181,772","6,238,378",support services
26,norway,10,140.0,2013,play magnus group,"214,673","6,461,790",games industry
27,uk,1,7.0,2016,blue whale growth fund,"170,950","5,189,391",financial services
28,belgium,3,65.0,2016,kazidomi,"263,663","8,042,499",ecommerce
29,latvia,90,800.0,2012,sun finance,"4,044,537","121,306,296",fintech
30,italy,21,56.0,2015,credimi,"381,830","11,301,520",financial services
31,germany,8,133.0,2017,sirplus,"155,043","4,540,000",retail
32,the netherlands,6,31.0,2016,aihr | academy to innovate hr,"125,682","3,584,553",education
33,luxembourg,9,27.0,2015,logistics capital partners (lcp),"7,403,458","210,563,743",property
34,germany,2,10.0,2017,sã¼dwest invest,"210,820","5,820,402",property
35,france,7,7.0,2000,corade (plurimmo),"2,039,961","56,018,731",property
36,spain,4,5.0,2006,carranco,"155,310","4,176,440",food & beverage
37,poland,10,50.0,2014,telemedi,"182,100","4,452,513",health
