,link,name,country,industry,revenue,employees,founded
0,https://www.greatdealscorp.com/,great deals e-commerce corp.,philippines,ecommerce,88.77,385,2017
1,http://www.pclchip.com/,pcl inc.,south korea,pharmaceuticals,45.48,63,2008
2,https://www.spolive.com/,spolive,south korea,games industry,9.49,47,2013
3,https://www.workmate.asia/,workmate,singapore,support services,12.44,82,2015
4,http://www.taimedbiologics.com/,taimed biologics,taiwan,pharmaceuticals,24.42,78,2007
5,https://www.sciecomm.com/,sci ecommerce,singapore,ecommerce,108.46,164,2014
6,http://www.icychaya.co.th/,i-cy chaya ,thailand,food & beverage,44.04,7,2012
7,https://www.grow.com.au/,grow finance,australia,fintech,15.02,52,2016
8,https://sambhv.com/,sambhv steel,india,industrial goods,64.65,355,2017
9,https://www.inteluck.com/,inteluck,philippines,technology,7.06,108,2014
10,https://carro.sg/,carro,singapore,technology,86.35,400,2015
11,https://www.gopizza.kr/,gopizza,south korea,food & beverage,6.17,101,2017
12,https://www.interviewbit.com/,scaler by interviewbit,india,education,31.04,594,2016
13,https://pixiedusttech.com/,pixie dust technologies,japan,technology,4.56,61,2017
14,http://www.kioson.com/,kioson,indonesia,ecommerce,204.99,54,2015
15,https://www.sciecomm.com/,sci ecommerce,singapore,ecommerce,46.08,92,2014
16,https://www.electrickiwi.co.nz/,electric kiwi,new zealand,energy,35.63,22,2014
17,https://swappie.com/,swappie,finland,technology,"97,611,814",218,2016
18,https://www.haulio.io/,haulio,singapore,transport,5.62,21,2016
19,https://www.digio.in/,digio,india,technology,6.75,13,2016
20,https://www.skillmatics.in/,skillmatics,india,ecommerce,7.42,60,2016
21,http://www.strgl.co.jp/,struggle,japan,sales & marketing,24.81,40,2015
22,https://themathcompany.com/,themathcompany,india,technology,7.56,285,2016
23,https://kilo.health/,kilo health,lithuania,health,"57,318,766",177,2013
24,https://www.oci-group.co.uk/,oci,uk,financial services,"568,322,073",32,2012
25,https://www.roinetsolution.com/,roinet solution,india,fintech,23.52,202,2012
26,https://glints.com/,glints intern,singapore,support services,9.78,318,2013
27,https://reqrea.co.jp/,reqrea,japan,property,3.36,34,2016
28,http://www.roinetsolution.com/,roinet solution,india,financial services,17.91,182,2014
29,https://www.gvm-av.com/,global vision multimedia,japan,technology,7.18,28,2016
30,https://onlyfans.com/,onlyfans,uk,technology,"316,732,986",800,2016
31,https://bulb.com,bulb energy,uk,energy,"1,737,586,657",575,2015
32,https://amberstudent.com/,amberstudent,india,property,3.64,120,2015
33,https://www.tangerinetelecom.com.au/,tangerine telecom,australia,telecoms,35.24,100,2014
34,https://omkaraarc.com/,omkara,india,financial services,10.71,39,2014
35,https://roadbull.com/,roadbull logistics,singapore,technology,6.76,135,2015
36,https://inside.ai/,ai inside,japan,technology,14.63,67,2015
37,https://www.sgslogistics.com.au/,sgs logistics,australia,transport,8.38,7,2015
