,name,world_rank,marketvalue,marketcap,ceo,country
0,apple,1,"doll_2,825.000 b ","doll_2,510.000 b ",tim cook,usa
1,microsoft corporation,2,"doll_2,358.000 b ","doll_2,269.000 b ",,usa
2,saudi arabian oil company (saudi aramco),3,"doll_1,889.600 b ","doll_1,891.600 b ",h.e. yasir othman al-rumayyan,saudi arabia
3,alphabet,4,"doll_1,820.000 b ","doll_1,934.000 b ",john l. hennessy,usa
4,amazon.com,5,"doll_1,649.000 b ","doll_1,758.000 b ",andy jassy,usa
5,tesla,6,"doll_1,031.000 b ",doll_737.020 b ,elon musk,usa
6,meta platforms,7,doll_922.960 b ,"doll_1,070.000 b ",mark zuckerberg,usa
7,berkshire hathaway,8,doll_711.750 b ,doll_646.790 b ,warren buffett,usa
8,nvidia corporation,9,doll_679.000 b ,doll_557.830 b ,jensen huang,usa
9,taiwan semiconductor manufacturing company (tsmc),10,doll_640.480 b ,doll_617.200 b ,mark liu,taiwan
10,toyota motor corporation,31,doll_276.740 b ,doll_244.750 b ,,japan
11,coca-cola company,32,doll_260.590 b ,doll_243.070 b ,james quincey,usa
12,cisco systems,33,doll_257.820 b ,doll_248.720 b ,chuck robbins,usa
13,broadcom,34,doll_255.630 b ,doll_203.990 b ,henry samueli,usa
14,prosus,35,doll_254.550 b ,doll_283.050 b ,,netherlands
15,icbc,36,doll_252.550 b ,doll_244.010 b ,chen siqing,china
16,l'oreal,37,doll_249.140 b ,doll_262.430 b ,,france
17,nike,38,doll_248.460 b ,doll_260.800 b ,mark parker,usa
18,eli lilly and company,39,doll_248.240 b ,doll_247.070 b ,juan r. luciano,usa
19,adobe,40,doll_242.990 b ,doll_316.190 b ,shantanu narayen,usa
20,tencent,11,doll_545.360 b ,doll_609.440 b ,ma huateng,china
21,j p morgan chase & co,12,doll_494.000 b ,doll_477.960 b ,william b. harrison jr.,usa
22,visa,13,doll_471.630 b ,doll_502.740 b ,alfred f kelly jr,usa
23,johnson & johnson,14,doll_457.940 b ,doll_455.760 b ,william c. weldon,usa
24,samsung electronics,15,doll_438.840 b ,doll_444.460 b ,lee kun-hee,south korea
25,unitedhealth group,16,doll_431.930 b ,doll_392.510 b ,andrew witty,usa
26,home depot,17,doll_411.020 b ,doll_345.210 b ,frank blake,usa
27,lvmh,18,doll_409.480 b ,doll_380.100 b ,bernard arnault,france
28,bank of america corporation,19,doll_402.490 b ,doll_351.320 b ,brian moynihan,usa
29,walmart,20,doll_401.910 b ,doll_415.000 b ,doug mcmillon,usa
30,procter & gamble company,21,doll_393.820 b ,doll_345.770 b ,jon r. moeller,usa
31,kweichow moutai,22,doll_382.350 b ,doll_305.700 b ,li bao fang,china
32,nestle ag,23,doll_372.720 b ,doll_348.550 b ,suresh narayanan,switzerland
33,mastercard,24,doll_363.200 b ,doll_341.650 b ,michael miebach,usa
34,roche holding ag,25,doll_356.150 b ,doll_350.650 b ,christoph franz,switzerland
35,alibaba group holding,26,doll_351.900 b ,doll_453.300 b ,daniel zhang,china
36,pfizer,27,doll_312.750 b ,doll_258.300 b ,albert bourla,usa
37,asml holding,28,doll_307.330 b ,doll_341.360 b ,gerard kleisterlee,netherlands
38,exxon mobil corporation,29,doll_291.610 b ,doll_230.810 b ,darren w. woods,usa
39,the walt disney company,30,doll_286.880 b ,doll_329.450 b ,susan arnold,usa
40,qualcomm,60,doll_202.060 b ,doll_165.470 b ,paul e. jacobs,usa
41,novartis ag,61,doll_201.260 b ,doll_206.760 b ,joerg reinhardt,switzerland
42,china merchants bank,62,doll_199.860 b ,doll_198.770 b ,miao jianmin,china
43,mcdonald's corporation,63,doll_199.560 b ,doll_177.340 b ,enrique hernandez,usa
44,contemporary amperex technology,64,doll_197.130 b ,doll_170.700 b ,ying ming wu,china
45,tata consultancy services (tcs),65,doll_193.870 b ,doll_195.160 b ,,india
46,united parcel service (ups),66,doll_189.610 b ,doll_170.400 b ,william r. johnson,usa
47,at&t,67,doll_187.740 b ,doll_195.780 b ,edward whitacre jr.,usa
48,morgan stanley,68,doll_186.710 b ,doll_190.540 b ,james p. gorman,usa
49,china construction bank corporation,69,doll_182.170 b ,doll_186.030 b ,tian guoli,china
50,royal dutch shell,70,doll_181.560 b ,doll_155.530 b ,,netherlands
