,name,annual_revenue_usd,annual_net_income_usd,market_capitalization_2022,employees_number,ceo,headquarters_country,wikipedia_page_url,twitter_page_url,facebook_page_url
0,apple,394330000000.0,99803000000.0,2825000000000.0,154000.0,tim cook,usa,https://en.wikipedia.org/wiki/apple_inc.,https://twitter.com/apple?lang=en,https://www.facebook.com/apple/
1,microsoft corporation,198270000000.0,72738000000.0,2358000000000.0,220000.0,satya nadella,usa,https://en.wikipedia.org/wiki/microsoft,https://twitter.com/microsoft,https://www.facebook.com/microsoft/
2,saudi arabian oil company (saudi aramco),400460000000.0,105380000000.0,1889600000000.0,79800.0,amin h. al-nasser,saudi arabia,https://en.wikipedia.org/wiki/saudi_aramco,https://twitter.com/saudi_aramco,https://www.facebook.com/aramco/
3,alphabet,257640000000.0,76003000000.0,1820000000000.0,156500.0,sundar pichai,usa,https://en.wikipedia.org/wiki/alphabet_inc.,https://twitter.com/google?lang=en,https://www.facebook.com/alphabet/
4,amazon.com,469820000000.0,33364000000.0,1649000000000.0,1335000.0,andy jassy,usa,https://en.wikipedia.org/wiki/amazon_(company),https://twitter.com/amazon,https://www.facebook.com/amazon/
5,tesla,53823000000.0,5519000000.0,1031000000000.0,99290.0,elon musk,usa,"https://en.wikipedia.org/wiki/tesla,_inc.",https://twitter.com/tesla,
6,meta platforms,117930000000.0,39370000000.0,922960000000.0,77805.0,mark zuckerberg,usa,https://en.wikipedia.org/wiki/facebook,https://twitter.com/facebook,https://www.facebook.com/facebook
7,berkshire hathaway,354640000000.0,89795000000.0,711750000000.0,372000.0,warren buffett,usa,https://en.wikipedia.org/wiki/berkshire_hathaway,,
8,nvidia corporation,26914000000.0,9752000000.0,679000000000.0,18975.0,jensen huang,usa,https://en.wikipedia.org/wiki/nvidia,https://twitter.com/nvidia,https://www.facebook.com/nvidia
9,taiwan semiconductor manufacturing company (tsmc),55306000000.0,20783000000.0,640480000000.0,65152.0,c. c. wei,taiwan,https://en.wikipedia.org/wiki/tsmc,,
10,tencent,87995000000.0,35320000000.0,545360000000.0,112771.0,ma huateng,china,https://en.wikipedia.org/wiki/tencent,https://twitter.com/tencentglobal?lang=en,https://www.facebook.com/tencentglobal/
11,j p morgan chase & co,121640000000.0,46500000000.0,494000000000.0,271025.0,jamie dimon,usa,https://en.wikipedia.org/wiki/jpmorgan_chase,https://twitter.com/jpmorgan,https://www.facebook.com/jpmorganchase
12,visa,24100000000.0,12310000000.0,471630000000.0,21500.0,alfred f kelly jr,usa,https://en.wikipedia.org/wiki/visa_inc.,https://twitter.com/visa,https://www.facebook.com/visa/
13,johnson & johnson,93770000000.0,20870000000.0,457940000000.0,141700.0,joaquin duato,usa,https://en.wikipedia.org/wiki/johnson__perc26_johnson,https://twitter.com/jnjnews,https://www.facebook.com/jnj/
14,samsung electronics,229280000000.0,32180000000.0,438840000000.0,113753.0,kim hyun suk koh dong-jin kim ki nam,south korea,https://en.wikipedia.org/wiki/samsung_electronics,https://twitter.com/samsung?lang=en,https://www.facebook.com/samsungelectronics/
15,unitedhealth group,285270000000.0,17280000000.0,431930000000.0,350000.0,andrew witty,usa,https://en.wikipedia.org/wiki/unitedhealth_group,https://twitter.com/unitedhealthgrp,https://www.facebook.com/unitedhealthgroup/
16,home depot,151160000000.0,16433000000.0,411020000000.0,500000.0,craig menear,usa,https://en.wikipedia.org/wiki/the_home_depot,https://twitter.com/homedepot,https://www.facebook.com/homedepot/
17,lvmh,70765000000.0,13264000000.0,409480000000.0,150000.0,bernard arnault,france,https://en.wikipedia.org/wiki/lvmh,https://twitter.com/lvmh/,https://www.facebook.com/lvmh
18,bank of america corporation,89110000000.0,30550000000.0,402490000000.0,208000.0,brian moynihan,usa,https://en.wikipedia.org/wiki/bank_of_america,https://twitter.com/bankofamerica,https://www.facebook.com/bankofamerica
19,walmart,572750000000.0,13673000000.0,401910000000.0,2300000.0,doug mcmillon,usa,https://en.wikipedia.org/wiki/walmart,https://twitter.com/walmart,https://www.facebook.com/walmart
20,procter & gamble company,80187000000.0,14461000000.0,393820000000.0,101000.0,jon r. moeller,usa,https://en.wikipedia.org/wiki/procter__perc26_gamble,https://twitter.com/proctergamble,https://www.facebook.com/proctergamble/
21,kweichow moutai,15929000000.0,7634000000.0,382350000000.0,29031.0,li bao fang,china,https://en.wikipedia.org/wiki/kweichow_moutai,https://twitter.com/moutaiglobal?lang=en,https://www.facebook.com/moutaiglobal/
22,nestle ag,92575000000.0,17970000000.0,372720000000.0,276000.0,ulf mark schneider,switzerland,https://en.wikipedia.org/wiki/nestl_percc3_perca9,https://twitter.com/nestle,
23,mastercard,18880000000.0,8680000000.0,363200000000.0,24000.0,michael miebach,usa,https://en.wikipedia.org/wiki/mastercard,https://twitter.com/mastercardnews,https://www.facebook.com/mastercard
24,roche holding ag,66757000000.0,14808000000.0,356150000000.0,100920.0,severin schwan,switzerland,https://en.wikipedia.org/wiki/hoffmann-la_roche,https://twitter.com/roche,
25,alibaba group holding,124140000000.0,9016000000.0,351900000000.0,251462.0,daniel zhang,china,https://en.wikipedia.org/wiki/alibaba_group,https://twitter.com/alibabagroup,
26,pfizer,81288000000.0,21980000000.0,312750000000.0,78500.0,albert bourla,usa,https://en.wikipedia.org/wiki/pfizer,https://twitter.com/pfizer,https://www.facebook.com/pfizer/
27,asml holding,20509000000.0,6760000000.0,307330000000.0,28000.0,peter wennink,netherlands,https://en.wikipedia.org/wiki/asml_holding,https://twitter.com/asmlcompany,
28,exxon mobil corporation,285640000000.0,23040000000.0,291610000000.0,64000.0,darren woods,usa,https://en.wikipedia.org/wiki/exxonmobil,https://twitter.com/exxonmobil,https://www.facebook.com/exxonmobil/
29,the walt disney company,67410000000.0,1990000000.0,286880000000.0,190000.0,bob chapek,usa,https://en.wikipedia.org/wiki/the_walt_disney_company,https://twitter.com/disney,https://www.facebook.com/disney/
30,toyota motor corporation,228980000000.0,20797000000.0,276740000000.0,366283.0,akio toyoda,japan,https://en.wikipedia.org/wiki/toyota,https://twitter.com/toyotamotorcorp,
31,coca-cola company,38655000000.0,9771000000.0,260590000000.0,80300.0,james quincey,usa,https://en.wikipedia.org/wiki/the_coca-cola_company,https://twitter.com/cocacola,https://www.facebook.com/cocacola
32,cisco systems,51557000000.0,11812000000.0,257820000000.0,79500.0,chuck robbins,usa,https://en.wikipedia.org/wiki/cisco_systems,https://twitter.com/cisco,https://www.facebook.com/cisco/
33,broadcom,27450000000.0,6437000000.0,255630000000.0,20000.0,hock e. tan,usa,https://en.wikipedia.org/wiki/broadcom_inc.,https://twitter.com/broadcom,
34,prosus,6866000000.0,18733000000.0,254550000000.0,23874.0,bob van dijk,netherlands,https://en.wikipedia.org/wiki/prosus,,
35,icbc,138160000000.0,51206000000.0,252550000000.0,434798.0,nicolas jimenez,china,https://en.wikipedia.org/wiki/industrial_and_commercial_bank_of_china,,
36,l'oreal,35580000000.0,5066000000.0,249140000000.0,85392.0,jean paul agon,france,https://en.wikipedia.org/wiki/l'or_percc3_perca9al,https://twitter.com/loreal?lang=en,
37,nike,46710000000.0,6046000000.0,248460000000.0,73300.0,john donahoe,usa,https://en.wikipedia.org/wiki/nike,https://twitter.com/nike,https://www.facebook.com/nike
38,eli lilly and company,28318000000.0,5581000000.0,248240000000.0,35000.0,david a. ricks,usa,https://en.wikipedia.org/wiki/eli_lilly_and_company,https://twitter.com/lillypad,https://www.facebook.com/elilillyindia
39,adobe,15785000000.0,4822000000.0,242990000000.0,25988.0,shantanu narayen,usa,https://en.wikipedia.org/wiki/adobe_systems,https://twitter.com/adobe,https://www.facebook.com/adobe
40,chevron corporation,155600000000.0,15620000000.0,241020000000.0,42595.0,michael wirth,usa,https://en.wikipedia.org/wiki/chevron_corporation,https://twitter.com/chevron,https://www.facebook.com/chevron/
41,pepsico,79470000000.0,7610000000.0,240690000000.0,309000.0,ramon laguarta,usa,https://en.wikipedia.org/wiki/pepsico,https://twitter.com/pepsico,https://www.facebook.com/pepsico/
42,abbott laboratories,43075000000.0,7071000000.0,239710000000.0,113000.0,robert ford,usa,https://en.wikipedia.org/wiki/abbott_laboratories,https://twitter.com/abbottglobal,https://www.facebook.com/abbott
