,ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
0,bernard arnault,france,doll_2.38 b,doll_3.13 b,doll_4.09 b,lvmh,"150,000",doll_70.765 m,fashion and luxury goods
1,ulf mark schneider,switzerland,doll_3.12 b,doll_3.36 b,doll_3.73 b,nestle ag,"276,000",doll_92.575 m,consumer defensive
2,severin schwan,switzerland,doll_2.8 b,doll_2.96 b,doll_3.56 b,roche holding ag,"100,920",doll_66.757 m,healthcare
3,peter wennink,netherlands,doll_1.28 b,doll_2.05 b,doll_3.07 b,asml holding,"28,000",doll_20.509 m,technology
4,bob van dijk,netherlands,doll_1.26 b,doll_1.76 b,doll_2.55 b,prosus,"23,874",doll_6.866 m,communication services
5,jean paul agon,france,doll_1.66 b,doll_2.12 b,doll_2.49 b,l'oreal,"85,392",doll_35.580 m,consumer defensive
6,julie sweet,ireland,doll_1.34 b,doll_1.73 b,doll_2.35 b,accenture,"699,000",doll_50.533 m,technology
7,lars fruergaard jorgensen,denmark,doll_1.38 b,doll_1.63 b,doll_2.31 b,novo nordisk a/s,"45,971",doll_20.838 m,healthcare
8,vasant narasimhan,switzerland,doll_2.15 b,doll_2.18 b,doll_2.01 b,novartis ag,"104,323",doll_52.877 m,healthcare
9,ben van beurden,netherlands,doll_2.37 b,doll_1.36 b,doll_1.82 b,royal dutch shell,"86,000",doll_180.640 m,energy
10,pascal soriot,uk,doll_1.35 b,doll_1.31 b,doll_1.78 b,astrazeneca,"83,100",doll_37.417 m,healthcare
11,axel dumas,france,doll_78.34 m,doll_1.12 b,doll_1.72 b,hermes international,"15,417",doll_9.898 m,consumer cyclical
12,sanjiv lamba,uk,doll_1.14 b,doll_1.37 b,doll_1.72 b,linde ag,"74,207",doll_30.793 m,basic materials
13,christian klein,germany,doll_1.7 b,doll_1.56 b,doll_1.63 b,sap se,"107,415",doll_30.682 m,technology
14,pietro beccari,france,doll_93.28 m,doll_99.87 m,doll_1.43 b,christian dior,"128,339",doll_70.765 m,consumer cyclical
15,geoffrey s. martha,ireland,doll_1.54 b,doll_1.58 b,doll_1.41 b,medtronic,"90,000",doll_31.677 m,healthcare
16,roland busch,germany,doll_1.09 b,doll_1.14 b,doll_1.39 b,siemens,"303,000",doll_68.616 m,industries
17,patrick pouyanne,france,doll_1.45 b,doll_1.14 b,doll_1.38 b,totalenergies se,"105,476",doll_184.630 m,energy
18,alan jope,netherlands,doll_1.52 b,doll_1.57 b,doll_1.37 b,unilever group,"149,000",doll_57.793 m,consumer defensive
19,herbert diess,germany,doll_1.11 b,doll_99.86 m,doll_1.34 b,volkswagen,"662,575",doll_250.120 m,consumer cyclical
20,noel quinn,uk,doll_1.61 b,doll_1.05 b,doll_1.33 b,hsbc holdings,"223,448",doll_63.644 m,financial services
21,paul hudson,france,doll_1.27 b,doll_1.2 b,doll_1.26 b,sanofi,"95,442",doll_43.171 m,healthcare
