,link,rank,name,ceo,founded,revenue,country,industry
0,https://www.value.today/company/apple,1,apple,tim cook,1976,doll_365.820 m,usa,"['technology', 'mobiles & accessories', 'electronics', 'consumer electronics', 'computers hardware', 'software and it', 'music', 'tablets', 'technology hardware and instruments', 'retail', 'artificial intelligence', 'laptops', 'software products']"
1,https://www.value.today/company/taiwan-semiconductor-manufacturing-company,10,taiwan semiconductor manufacturing company (tsmc),mark liu,1987,doll_55.306 m,taiwan,"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'processors / chips']"
2,https://www.value.today/company/microsoft-corporation,2,microsoft corporation,satya nadella,1975,doll_198.270 m,usa,"['technology', 'software and it', 'laptops', 'video games / mobile games / tech games / casino games', 'gaming', 'internet or mobile app based business', 'computers hardware', 'tablets', 'cloud services', 'artificial intelligence', 'internet of things', 'media', 'electronics', 'consumer electronics', 'advertising']"
3,https://www.value.today/company/nvidia-corporation,9,nvidia corporation,jensen huang,1993,doll_26.914 m,usa,"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'computers hardware', 'video games / mobile games / tech games / casino games', 'artificial intelligence']"
4,https://www.value.today/company/amazon.com,5,amazon.com,andy jassy,1994,doll_469.820 m,usa,"['ecommerce', 'internet or mobile app based business', 'cloud services', 'software and it', 'artificial intelligence', 'technology', 'consulting services', 'consumer services', 'software products', 'retail']"
5,https://www.value.today/company/saudi-arabian-oil-company,3,saudi arabian oil company (saudi aramco),h.e. yasir othman al-rumayyan,1933,doll_400.460 m,saudi arabia,"['energy', 'oil and gas', 'chemicals', 'oil refining', 'oil and gas pipeline transport', 'integrated oil and gas companies']"
6,https://www.value.today/company/berkshire-hathaway,8,berkshire hathaway,warren buffett,1839,doll_354.640 m,usa,"['financial services', 'investments', 'insurance']"
7,https://www.value.today/company/alphabet,4,alphabet,john l. hennessy,2015,doll_257.640 m,usa,"['technology', 'internet or mobile app based business', 'software and it', 'software products', 'cloud services', 'artificial intelligence', 'internet of things', 'gaming', 'video games / mobile games / tech games / casino games', 'advertising', 'media']"
8,https://www.value.today/company/tesla,6,tesla,elon musk,2003,doll_53.823 m,usa,"['electric vehicles', 'cars', 'automobile', 'solar power devices', 'capital goods', 'power equipment', 'technology', 'passenger vehicles', 'batteries', 'electric vehicle charging station']"
9,https://www.value.today/company/facebook,7,meta platforms,mark zuckerberg,2004,doll_117.930 m,usa,"['communication services', 'internet or mobile app based business', 'social media', 'artificial intelligence', 'internet of things', 'advertising', 'technology', 'media', 'software and it', 'software products']"
10,https://www.value.today/company/samsung-electronics,15,samsung electronics,lee kun-hee,1969,doll_229.280 m,south korea,"['technology', 'electronics', 'semiconductors', 'mobiles & accessories', 'cameras & accessories', 'tablets', 'home appliances', 'refrigerators', 'air conditioners', 'washing machines', ""tv's"", 'consumer electronics']"
11,https://www.value.today/company/walmart,20,walmart,doug mcmillon,1962,doll_572.750 m,usa,"['retail', 'super markets', 'ecommerce', 'hypermarkets', 'consumer services']"
12,https://www.value.today/company/home-depot,17,home depot,frank blake,1978,doll_151.160 m,usa,"['retail', 'ecommerce', 'construction materials', 'consumer services']"
13,https://www.value.today/company/lvmh,18,lvmh,bernard arnault,1987,doll_70.765 m,france,"['fashion and luxury goods', 'non-alcoholic beverages', 'clothing', 'jewellery', 'watches', 'fmcg', 'luxury goods', 'consumer goods', 'beverages']"
14,https://www.value.today/company/unitedhealth-group,16,unitedhealth group,andrew witty,1977,doll_285.270 m,usa,"['healthcare', 'healthcare service', 'insurance', 'healthcare products']"
15,https://www.value.today/company/johnson-johnson,14,johnson & johnson,william c. weldon,1886,doll_93.770 m,usa,"['healthcare', 'medical equipment', 'pharmaceutical', 'fmcg', 'biotechnology', 'technology', 'healthcare products']"
16,https://www.value.today/company/j-p-morgan-chase-co,12,j p morgan chase & co,william b. harrison jr.,2000,doll_121.640 m,usa,"['financial services', 'banking services', 'credit cards', 'asset management']"
17,https://www.value.today/company/bank-america-corporation,19,bank of america corporation,brian moynihan,1998,doll_89.110 m,usa,"['financial services', 'banking services', 'investment banking', 'insurance', 'credit cards', 'wealth management', 'asset management', 'mortgage']"
18,https://www.value.today/company/visa,13,visa,alfred f kelly jr,1958,doll_24.100 m,usa,"['financial services', 'technology', 'software and it', 'credit cards', 'digital payment solution services', 'business services', 'software products', 'artificial intelligence']"
19,https://www.value.today/company/tencent,11,tencent,ma huateng,1998,doll_87.995 m,china,"['communication services', 'investments', 'internet or mobile app based business', 'advertising', 'media', 'gaming', 'video games / mobile games / tech games / casino games', 'artificial intelligence', 'software and it', 'software products', 'technology']"
20,https://www.value.today/company/pfizer,27,pfizer,albert bourla,1849,doll_81.288 m,usa,"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']"
21,https://www.value.today/company/mastercard,24,mastercard,michael miebach,1966,doll_18.880 m,usa,"['digital payment solution services', 'financial services', 'credit cards', 'technology', 'business services', 'artificial intelligence']"
22,https://www.value.today/company/alibaba-group-holding,26,alibaba group holding,daniel zhang,1999,doll_124.140 m,china,"['ecommerce', 'internet or mobile app based business', 'technology', 'software and it', 'business services', 'software products', 'retail', 'b2b services']"
23,https://www.value.today/company/kweichow-moutai,22,kweichow moutai,li bao fang,1999,doll_15.929 m,china,"['consumer defensive', 'beverages', 'alcoholic beverages', 'food products', 'fmcg', 'food and beverage']"
24,https://www.value.today/company/roche-holding-ag,25,roche holding ag,christoph franz,1896,doll_66.757 m,switzerland,"['healthcare', 'pharmaceutical', 'medical equipment', 'biotechnology', 'healthcare service', 'technology', 'healthcare products']"
25,https://www.value.today/company/asml-holding,28,asml holding,gerard kleisterlee,1984,doll_20.509 m,netherlands,"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments']"
26,https://www.value.today/company/nestle-ag,23,nestle ag,suresh narayanan,1866,doll_92.575 m,switzerland,"['consumer defensive', 'fmcg', 'food products', 'beverages', 'dairy products', 'non-alcoholic beverages', 'chocolate & confectionery', 'coffee', 'consumer non durables', 'food and beverage', 'package foods']"
27,https://www.value.today/company/procter-gamble-company,21,procter & gamble company,jon r. moeller,1837,doll_80.187 m,usa,"['consumer defensive', 'fmcg', 'consumer non durables', 'beauty and personal care', 'personal care products', 'healthcare products']"
28,https://www.value.today/company/walt-disney-company,30,the walt disney company,susan arnold,1923,doll_67.410 m,usa,"['communication services', 'broadcasting', 'television services', 'media', 'advertising', 'consumer services', ""tv's"", 'entertainment']"
29,https://www.value.today/company/exxon-mobil-corporation,29,exxon mobil corporation,darren w. woods,1999,doll_285.640 m,usa,"['energy', 'oil and gas', 'petrochemicals', 'natural gas generation', 'electricity generation', 'chemicals', 'plastics / plastic products']"
30,https://www.value.today/company/broadcom,34,broadcom,henry samueli,1991,doll_27.450 m,usa,"['technology', 'electronics', 'semiconductors', 'processors / chips', 'networking products / solutions', 'network hardware and software', 'software products', 'software and it']"
31,https://www.value.today/company/loreal,37,l'oreal,jean paul agon,1909,doll_35.580 m,france,"['consumer defensive', 'cosmetics', 'beauty and personal care', 'fmcg', 'consumer non durables', 'consumer goods']"
32,https://www.value.today/company/adobe,40,adobe,shantanu narayen,1982,doll_15.785 m,usa,"['technology', 'software and it', 'software products', 'software and it infrastructure', 'artificial intelligence']"
33,https://www.value.today/company/coca-cola-company,32,coca-cola company,james quincey,1892,doll_38.655 m,usa,"['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer non durables']"
34,https://www.value.today/company/prosus,35,prosus,koos bekker,1997,doll_6.866 m,netherlands,"['communication services', 'internet or mobile app based business', 'ecommerce', 'technology', 'investments']"
