,name,industry,sector,headquarters,founded
0,3h biomedical,health care,biotechnology,uppsala,2004
1,aarhuskarlshamn,consumer goods,food products,malmö,2005
2,abba seafood,consumer goods,food products,gothenburg,1883
3,abu garcia,consumer goods,recreational products,svängsta,1921
4,acando,technology,software,stockholm,2001
5,acast,technology,software,stockholm,2014
6,acne studios,consumer goods,clothing & accessories,stockholm,1997
7,åf,industrials,business support services,stockholm,1895
8,aga,oil & gas,exploration & production,luleå,1904
9,åhléns,consumer services,broadline retailers,stockholm,1899
10,alfa laval,industrials,industrial machinery,lund,1883
11,alfdex,industrials,industrial machinery,landskrona,2002
12,ap&t,industrials,industrial machinery,ulricehamn,1989
13,apoteket,health care,pharmaceuticals,stockholm,1970
14,aptilo networks,telecommunications,mobile telecommunications,stockholm,2001
15,arcam,industrials,industrial suppliers,mölndal,1997
16,asea,industrials,diversified industrials,västerås,1883
17,abb,industrials,industrial machinery,västerås,1988
18,assa abloy,industrials,industrial suppliers,stockholm,1994
19,astra ab,health care,pharmaceuticals,södertälje,1913
20,atlas copco,industrials,diversified industrials,nacka,1873
21,atlet,industrials,commercial vehicles & trucks,mölnlycke,1958
22,autoliv,industrials,business support services,stockholm,1997
23,avalanche studios,technology,software,stockholm,2003
24,avanza,financials,investment services,stockholm,1999
25,axel johnson,conglomerates,-,stockholm,1873
26,axel johnson group,conglomerates,-,stockholm,1873
27,axfood,consumer services,food retailers & wholesalers,stockholm,1964
28,axis communications,technology,computer hardware,lund,1984
29,bae systems,industrials,defense,örnsköldsvik,2006
30,bahco,industrials,diversified industrials,enköping,1886
31,bahnhof,telecommunications,fixed line telecommunications,stockholm,1994
32,ballograf,consumer goods,nondurable household products,gothenburg,1945
33,berg propulsion,industrials,industrial machinery,gothenburg,1912
34,betsson,consumer services,gambling,stockholm,1963
35,biacore,health care,biotechnology,uppsala,1984
36,billerudkorsnäs,basic materials,paper,solna,2012
37,bindomatic,industrials,industrial suppliers,stockholm,1974
38,biogaia,health care,pharmaceuticals,stockholm,1990
39,björn borg,consumer goods,clothing & accessories,stockholm,2004
40,bofors,industrials,defense,karlskoga,1873
41,boghammar marin ab,industrials,commercial vehicles & trucks,lidingö,1906
42,boliden,basic materials,general mining,stockholm,1931
43,bolinder-munktell,industrials,commercial vehicles & trucks,eskilstuna,1932
44,bona ab,industrials,building materials & fixtures,malmö,1919
45,bonnier group,consumer services,broadcasting & entertainment,stockholm,1804
46,braathens regional aviation,consumer services,airlines,malmö,1981
