,name,industry,sector,headquarters,founded,notes
0,agrana,consumer goods,food products,vienna,1988,"sugar, starch, fruit juice concentrates and fruit preparation"
1,pewag group,industrials,industrial machinery,klagenfurt,1479,chain manufacturer
2,aht cooling systems,industrials,electronic equipment,rottenmann,1983,cooling and refrigeration
3,ammerer bed company,consumer goods,durable household products,ried im innkreis,1763,
4,ams ag,technology,semiconductors,premstätten,1981,semiconductors
5,andritz,industrials,industrial machinery,graz,1852,plant engineering
6,atomic skis,consumer goods,recreational products,altenmarkt im pongau,1955,"skis, part of amer sports (finland)"
7,augarten porcelain,consumer goods,durable household products,vienna,1923,
8,amag austria metall ag,industrials,diversified industrials,braunau am inn,1938,general manufacturing
9,austria wirtschaftsservice gesellschaft (aws),financials,banks,vienna,1954,development and financing bank
10,austrian airlines,consumer services,airlines,schwechat,1957,flag carrier airline. part of lufthansa (germany)
11,avl,industrials,business support services,graz,1948,automotive engineering
12,b&r,industrials,electronic equipment,eggelsberg,1979,automation and process control
13,bank austria,financials,banks,vienna,1855,banking
14,baumax,consumer services,home improvement retailers,klosterneuburg,1976,defunct 2015
15,bawag,financials,banks,vienna,1922,banking
16,bene ag,consumer goods,furnishings,waidhofen an der ybbs,1790,office furniture
17,bestattung wien,consumer services,specialized consumer services,vienna,1907,funeral director
18,billa,consumer services,food retailers & wholesalers,wiener neudorf,1953,supermarkets
19,böhler-uddeholm,basic materials,iron & steel,vienna,1991,steel
20,borealis,basic materials,commodity chemicals,vienna,1994,polyethylene
21,bösendorfer,consumer goods,recreational products,vienna,1828,"pianos, now part of yamaha corporation (japan)"
22,bundesimmobiliengesellschaft (big),financials,real estate holding & development,vienna,1992,government real estate
23,cineplexx cinemas,consumer services,recreational services,vienna,1993,cinemas
24,cisc semiconductor,technology,semiconductors,klagenfurt,1999,
25,delfortgroup,basic materials,paper,traun,2006,paper
26,dependeq,industrials,business support services,vienna,1999,metallurgical plants
27,diamond aircraft industries,consumer goods,aerospace,wiener neustadt,1981,aircraft manufacturer
28,doka group,industrials,heavy construction,amstetten,1868,formwork
29,doppelmayr garaventa group,consumer goods,recreational products,wolfurt,1892,commercial ski equipment
30,dorotheum,consumer services,specialized consumer services,vienna,1707,auction house
31,erste bank,financials,banks,vienna,2008,banking
32,fabasoft,technology,software,linz,1988,software
33,fischer,consumer goods,recreational products,ried im innkreis,1924,skis and aircraft parts
34,frequentis,technology,telecommunications equipment,vienna,1947,communications technology
35,ge jenbacher,industrials,industrial machinery,jenbach,1959,engines
36,gericom,technology,computer hardware,linz,1990,"computer equipment, defunct 2008"
37,gessler,consumer goods,distillers & vintners,vienna,1777,distiller
38,glock ges.m.b.h.,industrials,defense,deutsch-wagram,1963,small arms
39,goldscheider ceramics,consumer goods,durable household products,vienna,1885,"ceramics, art"
40,julius blum,consumer goods,furnishings,höchst,1952,furniture industry
41,julius meinl,consumer goods,beverages,vienna,1862,coffee
42,kapsch,technology,telecommunications equipment,vienna,1892,telematics
43,kika,consumer goods,furnishings,vienna,1973[3],furniture
44,kores,consumer goods,nondurable household products,vienna,1887,school supplies
45,ktm,consumer goods,automobiles,mattighofen,1934,motorcycles
46,lenzing ag,basic materials,commodity chemicals,lenzing,1938,cellulose fiber
47,löblich & co.,industrials,industrial machinery,vienna,1738,"heating, commercial kitchens"
48,lyoness,consumer services,specialized consumer services,graz,2003,shopping community
49,magna steyr,consumer goods,automobiles,graz,2001,automobiles & components manufacturer
50,mayr-melnhof,industrials,containers & packaging,vienna,1950,packaging
51,neumann international,industrials,business training & employment agencies,vienna,1971,executive search
52,niki,consumer services,airlines,schwechat,2003,budget airline
53,noctua,consumer goods,computer hardware,vienna,2005,computer cooling systems
54,öaf,consumer goods,automobiles,floridsdorf,1907,"automotive, now part of man se"
55,öbb,industrials,railroads,vienna,1923,state railways
56,omv,oil & gas,exploration & production,vienna,1956,"petroleum, global 500 firm"
57,onepharm,health care,biotechnology,vienna,2005,biopharma
58,österreichische industrieholding ag,financials,asset managers,vienna,1967,government stockholder
59,österreichische post,logistics,delivery services,vienna,1999,postal services
60,palfinger,industrials,commercial vehicles & trucks,salzburg,1932,cranes for trucks
61,pfanner,consumer goods,beverages,lauterach,1856,beverages
62,piatnik & söhne,consumer goods,recreational products,vienna,1824,playing cards
63,plansee group,basic materials,commodity chemicals,breitenwang,1921,powder metallurgy
64,puch,consumer goods,automobiles,graz,1899,"bikes, now part of magna steyr"
65,raiffeisen,financials,banks,vienna,1927,banking
66,red bull gmbh,consumer goods,beverages,fuschl am see,1987,beverages
67,rhi ag,industrials,industrial suppliers,vienna,1834,fireproof industry
68,rosenbauer,industrials,commercial vehicles & trucks,leonding,1866,fire vehicles
69,rotax,industrials,auto components,gunskirchen,1920,"aircraft, marine & vehicle engines, now part of bombardier recreational products"
70,runtastic,technology,software,pasching,2009,smartphone apps
71,semperit,basic materials,commodity chemicals,vienna,1824,rubber products
72,skidata,industrials,electronic equipment,grödig,1977,access systems
73,steyr mannlicher,industrials,defense,sankt ulrich bei steyr,1864,weapons and cars; see magna steyr
74,steyr motors gmbh,industrials,auto components,sankt ulrich bei steyr,2001,diesel engines
75,steyr tractor,consumer goods,automobiles,floridsdorf,1907,"tractors, now part of cnh industrial"
76,strabag,industrials,heavy construction,vienna,1835,construction
77,stroh,consumer goods,distillers & vintners,klagenfurt,1832,rum
78,swarovski,consumer goods,clothing & accessories,wattens,1895,jewelry and optical instruments
79,taurob,robotics,autonomous robots,vienna,2010,robots for hazardous environments
80,telekom austria,telecommunications,fixed line telecommunications,vienna,1998,telecom
81,tourradar,consumer services,travel & tourism,vienna,2010,"multi-day group tours, tour booking service"
82,tushek&spigel supercars,consumer goods,automobiles,graz,2012,super sport cars
83,uniqa,financials,full line insurance,vienna,1922,insurance
84,verbund,utilities,alternative electricity,vienna,1947,"utilities, hydroelectric"
85,vienna insurance group,financials,full line insurance,vienna,1824,insurance
86,voestalpine,basic materials,iron & steel,linz,1938,steelmaker
87,wienerberger,industrials,building materials & fixtures,vienna,1819,bricks
88,zumtobel lighting group,industrials,building materials & fixtures,dornbirn,1950,lighting
89,abelag aviation,consumer services,airlines,zaventem,1964,charter airline
90,ablynx,health care,biotechnology,ghent[7],2001,biopharma
91,ackermans & van haaren,conglomerates,-,antwerp,1876,"construction, real estate, financial services"
92,af compressors,industrials,industrial engineering,liege,1870,compressors
93,ag real estate,financials,real estate holding and development,brussels,1824,real estate
94,ageas,financials,consumer finance,brussels,1990,financing
95,agfa-gevaert,technology,computer services,mortsel,1867,digital imaging and it solutions
96,agoria,industrials,business support services,brussels,1946,trade association
97,aim productions,technology,computer services,hove,1994,it
98,alpro,consumer goods,food products,ghent[8],1980,soy products
99,anheuser-busch inbev,consumer goods,brewers,leuven,2008,"breweries, distributors; see also inbev brands"
100,antwerp water works,utilities,water,antwerp,1880,water utility
101,aquafin,utilities,water,antwerp,1990,wastewater
102,asl airlines belgium,industrials,delivery services,liège,1999,"cargo airline, part of asl airlines ireland"
103,associated weavers,consumer goods,clothing and accessories,ronse,1964,textile
104,aveve,consumer goods,farming and fishing,aalter,1890,agriculture
105,aviapartner,industrials,delivery services,brussels,1949,ground handling
106,barco,technology,computer hardware,kortrijk,1934,display manufacturer
107,base,industrials,business support services,brussels,1993,communications and design
108,beaulieu international group,consumer goods,clothing and accessories,wielsbeke,1959,textiles
109,befimmo,financials,real estate holding and development,brussels,1995,real estate
110,bekaert,basic materials,specialty chemicals,kortrijk,1880,metal transformations and coatings
111,belgian beer café,consumer services,restaurants and bars,leuven,1998,cafe/restaurant
112,belgian investment company for developing countries,financials,specialty finance,brussels,2001,financial ngo
113,bpost,industrials,delivery services,brussels,2000,postal services
114,brussels airlines,consumer services,airlines,brussels,2006,"flag carrier airline, part of lufthansa (germany)"
115,brussels regional investment company,financials,specialty finance,brussels,1984,financing
116,cockerill sambre,basic materials,iron and steel,seraing,1817,partially defunct in 1998
117,carmeuse,basic materials,general mining,louvain-la-neuve,1860,lime and limestone mining
118,cartamundi,consumer goods,toys,turnhout,1970,games
119,cavalier chocolate,consumer goods,food products,eeklo,1996,chocolatier
120,claeys,industrials,commercial vehicles and trucks,zedelgem,1906,"farm equipment, defunct 1991"
121,cofinimmo,financials,real estate services,brussels,1983,real estate
122,colruyt group,consumer services,food retailers and wholesalers,halle,1925,"retail, supermarkets"
123,compagnie maritime belge,industrials,marine transportation,antwerp,1895,shipping
124,confiserie roodthooft,consumer goods,food products,antwerp,1925,confectioner
125,copiepresse,consumer services,publishing,brussels,2000,newspaper
126,de lijn,consumer services,travel and tourism,mechelen,1991,state-owned public transportation
127,deceuninck,basic materials,commodity chemicals,hooglede,1937,pvc
128,delhaize group,consumer goods,food products,brussels,1867,food
129,deme,industrials,heavy construction,zwijndrecht,1991,infrastructure
130,d'ieteren,consumer services,specialized consumer services,brussels,1805,automotive services
131,domo group,consumer goods,clothing and accessories,ghent,1992,textiles
132,ecover,consumer goods,nondurable household products,malle,1979,cleaning products
133,effortel,financials,financial services,brussels,2005,money movement
134,etap lighting,consumer goods,building materials and fixtures,malle,1949,lighting
135,eurogentec,health care,biotechnology,seraing,1985,biotech
136,evs broadcast equipment,technology,telecommunications equipment,liège,1994,broadcasting equipment
137,ferranti computer systems,technology,computer hardware,antwerp,1976,"computers, previously a part of ferranti (uk)"
138,fluxys,oil and gas,exploration and production,brussels,2001,"natural gas, subsidiary of suez"
139,forrest group,basic materials,general mining,wavre,1922,mining
140,gimv,financials,equity investment instruments,brussels,1980[9],investing
141,godiva chocolatier,consumer goods,food products,brussels,1926,chocolatier
142,group joos,consumer services,publishing,turnhout,1935,"printing, document management"
143,groupe bruxelles lambert,industrials,diversified industrials,brussels,1902,industrial holdings
144,guylian,consumer goods,food products,sint-niklaas,1960,chocolatier
145,imec,technology,computer services,leuven,1984,technology research center
