,name,industry,headquarters,founded,area_served
0,85°c bakery cafe,food and beverage,taipei,2004,worldwide
1,10.or,smartphones,taipei,2004,worldwide
2,2u (company),smartphones,"lanham, maryland",2008,global
3,3i,corporate finance,london,1945,
4,3m,conglomerate,london,0,worldwide
5,7-eleven,retail (convenience stores),london,1927,
6,4f (company),textile,wieliczka,2007,europe
7,ajinomoto,food biotechnology,"ch??, tokyo",0,36 countries
8,abn amro,financial services,amsterdam,0,
9,abbott laboratories,health care medical devices pharmaceutical,illinois,1888,worldwide
10,abiomed,medical devices,"danvers, massachusetts",1981,
11,abbvie,biopharmaceutical,"north chicago, illinois",2013,worldwide (170+ countries)
12,accenture,professional services information technology consulting,dublin,1989,worldwide
13,anz (bank),banking financial services,collins street,0,worldwide
14,acer inc.,electronics,collins street,0,worldwide
15,activision blizzard,video games,collins street,0,
16,adidas,"textile, footwear",collins street,0,"worldwide (except north korea, russia, turkmenistan, afghanistan, south sudan, chad and palestine)"
17,aldi,retail,essen,0,international
18,adient,retail,"plymouth, michigan, u.s.",0,worldwide
19,aditi technologies,it services it consulting,bellevue,1994,
20,aditya birla group,conglomerate,mumbai,1857,worldwide
21,amd,semiconductors artificial intelligence gpus graphics cards consumer electronics video games computer hardware,mumbai,0,worldwide
22,aegon n.v.,financial services,mumbai,1983,worldwide
23,aeon (company),retail,mihama-ku,1758,asia
24,ahold delhaize,retail wholesaling,zaandam,0,
25,asics,"sports equipment, textile",zaandam,0,worldwide
26,airbus,"aerospace, defence",,0,worldwide
27,akzonobel,chemicals,amsterdam,1994,worldwide
28,akai,electronics,hong kong,0,
29,alfa laval,"manufacturing, engineering and service",lund,1883,
30,all nippon airways,"manufacturing, engineering and service",shiodome city center,0,
31,alliance global,"manufacturing, engineering and service",taguig,0,
32,allianz,financial services,munich,0,worldwide
33,alibaba group,technology company,[2],0,worldwide
34,almarai,food processing,[2],1977,
35,alstom,rail transport,saint-ouen-sur-seine,1928,
36,alphabet inc.,conglomerate,googleplex,0,worldwide
37,altice (company),telecommunications mass media,googleplex,2001,worldwide
38,altria,tobacco,reynolds metals company international headquarters,1985,worldwide
39,amazon (company),e-commerce cloud computing artificial intelligence consumer electronics entertainment digital distribution self-driving cars supermarket,reynolds metals company international headquarters,0,worldwide
40,amcor,packaging,zurich,1896,
41,american airlines group,aviation,"fort worth, texas",0,worldwide[2]
42,american international group,financial services,"new york city, new york",0,worldwide
43,andritz ag,industrial processing,"new york city, new york",1852,
44,aon (company),professional services,london,1982,worldwide
45,apollo tyres,tyres,gurugram,1972,
46,apple inc.,consumer electronics software services online services,1 apple park way,0,worldwide
47,grupo arcor,consumer electronics software services online services,1 apple park way,0,worldwide
48,assicurazioni generali,financial services,1 apple park way,1831,worldwide
49,aston martin,automotive,gaydon,0,worldwide
50,asus,computer hardware electronics networking hardware,beitou district,0,worldwide
51,asus,computer hardware electronics networking hardware,beitou district,0,worldwide
52,at&t,telecommunications technology,whitacre tower,0,worldwide
53,atari,telecommunications technology,whitacre tower,0,
54,avast,computer software,whitacre tower,1988,worldwide
55,avianca,computer software,registered office:,0,
56,axa,financial services,paris,1816,worldwide
57,axiata,telecommunications,paris,0,
58,axis bank,financial services,maharashtra,0,
59,bp,oil and gas,london,0,worldwide
60,baker hughes,petroleum industry,"houston, texas",1907,
61,ball corporation,"packaging, aerospace","broomfield, colorado",1880,
62,bacardi,beverage,"hamilton, bermuda",0,
63,banco bilbao vizcaya argentaria,financial services,"hamilton, bermuda",0,
64,banco santander,financial services,"hamilton, bermuda",0,worldwide
65,bandai namco entertainment,video games,"minato-ku, tokyo",0,worldwide
66,bank of india,banking financial services,mumbai,0,
67,bank of ireland,banking financial services,ballsbridge,0,ireland united kingdom
68,bank of montreal,financial services,,0,
69,barclays,banking financial services,,0,
70,barilla (company),food processing,,1877,worldwide
71,barnes & noble,bookselling,new york city,1886,
72,barrick gold,metals and mining,new york city,1983,
73,basf,chemicals,ludwigshafen,0,
74,baskin-robbins,food and beverage,,1945,worldwide
75,bata corporation,shoemaking retail manufacture of leather and related products,lausanne,0,worldwide
76,bath & body works,retail,columbus,1990,
