,name,type,industry,founded,founders,headquarters,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
0,binance,[],['cryptocurrency industry\xa0'],['july 2017'],"[' (""cz"")', 'yi he']",[],[],[],['usdoll_'],[],[],[],"['www', '.binance', '.com']"
1,gourmet master co. ltd,[],['food and beverage'],['2004'],[],"['taipei', 'taiwan']",[],[],['ntdoll_'],[],[],[],"['www.85cafe.com', '[1]', 'www.85cbakerycafe.com']"
2,tata consultancy services,['public'],"['information technology', 'consulting', 'outsourcing']",['1968'],['j. r. d. tata'],"['mumbai', 'maharashtra']",[],[],"[' ', ' (usdoll_25\xa0billion)', '\xa0(2022)']","[' ', '₹', '51,687 crore', ' (usdoll_6.5\xa0billion)', '[1]', '\xa0(2022)']","[' ', '₹', '141,514 crore', ' (usdoll_18\xa0billion)', '[2]', '\xa0(2022)']","['616,171', '[3]', '\xa0(october 2022)']","['www', '.tcs', '.com']"
3,"apmex, inc.",['private'],['precious metals'],['2000'],[],"['oklahoma city, oklahoma', 'united states']",[],[],[],[],[],[],['www.apmex.com']
4,bitmain technologies ltd.,['private'],['cryptocurrency'],['2013'],"['micree zhan', 'jihan wu']","['beijing, china']",[],[],[],[],[],[],"['bitmain', '.com']"
5,"bitgo, inc.",[],[],[],[],"['palo alto, ca']",[],[],[],[],[],[],[]
6,johnson & johnson,['public'],"['pharmaceutical', 'medical technology', 'consumer healthcare']","['new brunswick, new jersey']","['robert wood johnson i', 'james wood johnson', 'edward mead johnson']","['new brunswick, new jersey', 'u.s.']",[],[],"[' ', ' ']","[' ', 'usdoll_22.776 billion', ' ', '(2021)', '[4]']","[' ', 'usdoll_182.018 billion', ' ', '(2021)']","[' 144,500 ', '(2021)', '[5]']",['jnj.com']
7,microsoft corporation,['public'],['information technology'],"['april\xa04, 1975', ' in ']","['bill gates', 'paul allen']","['one microsoft way', 'redmond, washington']",[],"['azure', 'bing', 'linkedin', 'yammer', 'microsoft 365', 'onedrive', 'outlook.com', 'github', 'microsoft store', 'windows update', 'xbox game pass', 'xbox network']","[' ', ' (2022)']","[' ', 'usdoll_83.4 billion', ' (2022)']","[' ', 'usdoll_364.8 billion', ' (2022)']","['221,000 (2022)']",['microsoft.com']
8,"bitfinex, inc.",[],[],['2012'],[],[],[],[],[],[],[],[],[]
9,walmart inc.,['public'],['retail'],"['july\xa02, 1962', ' in ', 'october\xa031, 1969', ' in ', ' (incorporation)']",['sam walton'],"['bentonville, arkansas']",[],['walmart-2-walmart'],"[' ', ' ', 'usdoll_', '572.8 billion', ' (', 'fy', '2022)', '[5]', ' ']","[' ', 'usdoll_25.9 billion', ' (fy2022)', '[5]']","[' ', ' ', 'usdoll_244.86 billion', ' (fy2022)', '[5]', ' ']","['2,300,000 (jan. 2022)', '[5]']",['walmart.com']
10,bitcoin.com,[],['cryptocurrency'],[],[],['saint kitts and nevis'],[],[],[],[],[],[],[]
11,bewley's limited,['limited'],['beverages'],['dublin'],['charles bewley'],"['northern cross, malahide road, dublin, ireland']",[],[],['€'],[],[],[],"['www', '.bewleys', '.com', '/ie', '/']"
12,bridgehead,['coffeehouse'],"['coffee, coffee roaster, coffee beans']",['1981'],[],"['ottawa', 'ontario']",[],[],[],[],[],[],"['www', '.bridgehead', '.ca']"
13,"blue bottle coffee, inc.",['private'],['coffee industry'],['2002'],['w. james freeman'],"['oakland', 'california', 'u.s.']",[],[],[],[],[],[],['bluebottlecoffee.com']
14,aroma espresso bar ltd.,[],[],['israel'],[],[],[],[],[],[],[],[],"['aroma israel', 'aroma canada', 'aroma us']"
15,schwarz group,['private'],['retail'],['1930'],[],['neckarsulm'],[],[],['€ 125.3 billion (fy 2020/21)'],[],[],"['500,000 (fy 2020/21)']",['https://gruppe.schwarz/en']
16,"jd.com, inc. (京东)",['public'],"['e-commerce', 'artificial intelligence', 'robotics', 'autonomous car']",['6\xa0june 2009'],['liu qiangdong'],['beijing'],[],['online shopping'],"[' ', '951.592 billion (usdoll_149.325 billion, 2021)']","[' ', '¥\xa0rmb', '4.141 billion (usdoll_649,805 million, 2021)', '[1]']","[' ', '¥\xa0rmb', '496.507 billion (usdoll_77.913 billion, 2021)', '[1]']","['310,000 (dec 2020)', '[1]']","['www', '.joybuy', '.com']"
17,aldi,['private'],['retail'],"['10\xa0july 1946', '(split in two parts in 1960, renamed to aldi nord and aldi süd in 1962)']","['karl', 'theo albrecht']","['essen', 'mülheim']",[],[],['usdoll_'],[],[],[],"['aldi', '.com']"
18,"walgreens boots alliance, inc.",['public'],"['retail', 'pharmaceuticals']","['december\xa031, 2014']",[],"['deerfield, illinois']",[],[],"[' ', 'usdoll_', '132.7\xa0billion', ' (2022)']",[' usdoll_1.387\xa0billion (2022)'],[' usdoll_90.124\xa0billion (2022)'],"['c.', '\u2009325,000', '\xa0(august 2022)']","['walgreensbootsalliance', '.com']"
19,"the home depot, inc.",['public'],['retailing'],"['marietta, georgia']","['bernard marcus', 'arthur blank', 'ron brill', 'pat farrah', 'ken langone']","['atlanta, georgia']",[],[],"[' ', ' (2021)']",[' usdoll_23.04 billion (2021)'],[' usdoll_71.88 billion (2021)'],"['490,600 (dec 2021)']",['homedepot.com']
20,loblaw companies limited,['public'],['retail'],"['toronto', 'ontario']",[],['brampton'],[],[],"[' ', ' (2020)']",[],[],"['almost 200,000 (2019)', '[3]']","['www', '.loblaw', '.ca']"
21,target corporation,['public'],['retail'],"['june\xa024, 1902', ' (corporation)', 'january\xa05, 1962', ' (store)']","[' (corporation)', ' & ', ' (store)']","['1000 ', ', u.s.']",[],[],"[' ', ' (2021)']",[' usdoll_6.539 billion (2021)'],[' usdoll_51.248 billion (2021)'],"['409,000 (2020)', '[2]']","['target.com', 'corporate.target.com']"
22,lvmh moët hennessy louis vuitton se,['public'],['luxury goods'],['3\xa0june 1987'],"['bernard arnault', ' alain chevalier ', ' henry racamier']",['paris'],[],['department stores'],['€'],"[' €17.155 billion (2021)', '[2]']","[' €125.311 billion (2021)', '[2]']","['150,000 (2021)', '[2]']",['lvmh.com']
23,woolworths group limited,['public'],['retailing'],['22\xa0september 1924'],"['percy christmas', 'stanley chatterton', 'cecil scott waine', 'george creed', 'ernest williams']","['bella vista, new south wales']",[],[],['adoll_'],"[' ', 'adoll_', '3.19 billion ', '(2020)']",[],"[' 215,000 (2020)']",['www.woolworthsgroup.com.au']
24,dollar general corporation,['public'],['discount retailer'],"['october\xa01939', ' (as j.l. turner and son)', 'june\xa01955', ' (as dollar general)']","['james luther turner', 'cal turner']","['goodlettsville, tennessee']",[],[],['usdoll_'],"[' ', 'usdoll_', '3.220 billion (', 'fiscal year ended january 28, 2022', ')', '[6]']","[' ', 'usdoll_', '26.327 billion (', 'fiscal year ended january 28, 2022', ')', '[6]']","['158,000 (2022)']","['www', '.dollargeneral', '.com']"
