,address,capital,code,deletion_date,id,legal_form,name,registration_date,status,url
address,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
capital,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
code,0.0,0.07142857142857142,1.0,0.05,0.0,0.0,0.09090909090909091,0.041666666666666664,0.0,0.0
deletion_date,0.0,0.0,0.05,1.0,0.0,0.0,0.05,0.36,0.0,0.0
id,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
legal_form,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
name,0.0,0.0,0.09090909090909091,0.05,0.0,0.0,1.0,0.041666666666666664,0.0,0.0
registration_date,0.0,0.0,0.041666666666666664,0.36,0.0,0.0,0.041666666666666664,1.0,0.0,0.0
status,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
url,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
