,city,company,country,datejoined,founded,industry,investors,name,selectinvestors,stage,totalraised,valuation
city,0,5,4,9,7,6,8,4,12,5,10,8
company,5,0,4,9,6,7,9,6,14,6,9,8
country,4,4,0,9,4,4,7,6,11,7,9,7
datejoined,9,9,9,0,7,10,9,8,11,8,7,8
founded,7,6,4,7,0,7,9,6,13,6,8,8
industry,6,7,4,10,7,0,4,7,10,7,11,7
investors,8,9,7,9,9,4,0,8,6,7,10,8
name,4,6,6,8,6,7,8,0,14,3,9,8
selectinvestors,12,14,11,11,13,10,6,14,0,12,14,11
stage,5,6,7,8,6,7,7,3,12,0,8,8
totalraised,10,9,9,7,8,11,10,9,14,8,0,8
valuation,8,8,7,8,8,7,8,8,11,8,8,0
