,earnings,team
0,$4.08 B,09-wissel
1,-$62.2 M,09-wissel
2,$0.12 B,09-wissel
3,$0.50 B,09-wissel
4,$0.10 B,09-wissel
5,$0.18 B,09-wissel
6,$76.74 M,09-wissel
7,$0.69 B,09-wissel
8,$0.26 B,09-wissel
9,$0.55 B,09-wissel
10,-$59.26 M,09-wissel
11,-$38.81 M,09-wissel
12,$0.66 B,09-wissel
13,$0.25 B,09-wissel
14,$84.28 M,09-wissel
15,-$3.65 M,09-wissel
16,$28.31 M,09-wissel
17,$0.71 B,09-wissel
18,$6.23 B,09-wissel
19,-$16.93 M,09-wissel
20,$84.25 M,09-wissel
21,-$1.51 B,09-wissel
22,$86.49 M,09-wissel
23,$0.27 B,09-wissel
24,$0.20 B,09-wissel
25,$0.15 B,09-wissel
26,$13.35 B,09-wissel
27,$0.25 B,09-wissel
28,-$37.01 M,09-wissel
29,-$0.24 B,09-wissel
30,-$0.53 B,09-wissel
31,$0.25 B,09-wissel
32,-$1.11 M,09-wissel
33,-$0.19 B,09-wissel
34,$80.44 M,09-wissel
35,$0.14 B,09-wissel
36,$0.12 B,09-wissel
37,$0.48 B,09-wissel
38,$0.29 B,09-wissel
39,$0.22 B,09-wissel
40,$0.64 B,09-wissel
41,$0.19 B,09-wissel
42,$75.4 M,09-wissel
43,$0.21 B,09-wissel
44,$0.25 B,09-wissel
45,-$11.02 M,09-wissel
46,$0.14 B,09-wissel
47,$36.33 M,09-wissel
48,$0.13 B,09-wissel
49,$94.36 M,09-wissel
50,$0.17 B,09-wissel
51,$0.39 B,09-wissel
52,$0.65 B,09-wissel
53,-$0.17 B,09-wissel
54,$1.60 B,09-wissel
55,$0.50 B,09-wissel
56,-$1.7 B,09-wissel
57,$0.10 B,09-wissel
58,$0.61 B,09-wissel
59,$0.54 B,09-wissel
60,$0.10 B,09-wissel
61,-$33.66 M,09-wissel
62,-$10.08 M,09-wissel
63,$91.07 M,09-wissel
64,$3.62 B,09-wissel
65,$0.13 B,09-wissel
66,-$39.91 M,09-wissel
67,$1.60 B,09-wissel
68,$84.12 M,09-wissel
69,$2.81 B,09-wissel
70,-$36.19 M,09-wissel
71,-$1.28 B,09-wissel
72,$0.63 B,09-wissel
73,$1.20 B,09-wissel
74,$0.72 B,09-wissel
75,$98.6 M,09-wissel
76,$0.10 B,09-wissel
77,$24.55 M,09-wissel
78,-$1.65 B,09-wissel
79,$0.33 B,09-wissel
80,-$0.24 B,09-wissel
81,-$43.36 M,09-wissel
82,$0.69 B,09-wissel
83,$1.26 B,09-wissel
84,$0.47 B,09-wissel
85,$22.42 M,09-wissel
86,$0.30 B,09-wissel
87,$0.18 B,09-wissel
88,-$0.21 B,09-wissel
89,$0.50 B,09-wissel
90,$0.22 B,09-wissel
91,$0.99 B,09-wissel
92,$0.46 B,09-wissel
93,$43 M,09-wissel
94,$1.08 B,09-wissel
95,$0.15 B,09-wissel
96,-$11.5 M,09-wissel
97,$0.12 B,09-wissel
98,-$0.23 B,09-wissel
99,-$84.64 M,09-wissel
100,-$0.53 B,09-wissel
101,-$0.19 B,09-wissel
102,-$70.58 M,09-wissel
103,-$83.36 M,09-wissel
104,-$92.18 M,09-wissel
105,$0.44 B,09-wissel
106,$87.98 M,09-wissel
107,$0.95 B,09-wissel
108,$0.66 B,09-wissel
109,$0.27 B,09-wissel
110,-$1.5 B,09-wissel
111,$17.1 M,09-wissel
112,$0.33 B,09-wissel
113,-$0.11 B,09-wissel
114,-$0.13 B,09-wissel
115,-$0.3 B,09-wissel
116,$0.15 B,09-wissel
117,$0.68 B,09-wissel
118,$0.21 B,09-wissel
119,,09-wissel
120,-$0.18 B,09-wissel
121,$69.4 M,09-wissel
122,$74.76 M,09-wissel
123,$0.20 B,09-wissel
124,$17.09 M,09-wissel
125,$21.82 M,09-wissel
126,$77.3 M,09-wissel
127,$8.63 M,09-wissel
128,$3.98 M,09-wissel
129,$1.30 B,09-wissel
130,-$41.96 M,09-wissel
131,$60.23 M,09-wissel
132,-$0.41 B,09-wissel
133,$0.10 B,09-wissel
134,-$0.28 B,09-wissel
135,$0.12 B,09-wissel
136,$70.8 M,09-wissel
137,-$0.19 B,09-wissel
138,-$0.21 B,09-wissel
139,-$31.89 M,09-wissel
140,-$0.44 B,09-wissel
141,$0.10 B,09-wissel
142,$1.52 B,09-wissel
143,$0.22 B,09-wissel
144,-$0.23 B,09-wissel
145,$0.28 B,09-wissel
146,$0.13 B,09-wissel
147,$62.48 M,09-wissel
148,-$16.51 M,09-wissel
149,-$6.49 M,09-wissel
150,$0.34 B,09-wissel
151,$0.16 B,09-wissel
152,$0.19 B,09-wissel
153,-$3.26 B,09-wissel
154,-$85.82 M,09-wissel
155,$1.37 B,09-wissel
156,$0.15 B,09-wissel
157,$1.36 B,09-wissel
158,$0.44 B,09-wissel
159,$5.33 B,09-wissel
160,$22.05 M,09-wissel
161,$0.24 B,09-wissel
162,-$0.72 B,09-wissel
163,$64.13 M,09-wissel
164,$6.73 M,09-wissel
165,$26.3 M,09-wissel
166,-$9.94 M,09-wissel
167,$0.22 B,09-wissel
168,$0.12 B,09-wissel
169,$94.58 M,09-wissel
170,$3.84 M,09-wissel
171,$60.11 M,09-wissel
172,-$90.65 M,09-wissel
173,$0.25 B,09-wissel
174,$0.42 B,09-wissel
175,-$0.29 B,09-wissel
176,$0.28 B,09-wissel
177,$84.11 M,09-wissel
178,$0.12 B,09-wissel
179,$0.45 B,09-wissel
180,$35 M,09-wissel
181,$0.33 B,09-wissel
182,$2.13 B,09-wissel
