,employees,team
0,3.9,09-wissel
1,3.888,09-wissel
2,3.885,09-wissel
3,3.884,09-wissel
4,3.86,09-wissel
5,3.844,09-wissel
6,3.82,09-wissel
7,3.8,09-wissel
8,3.8,09-wissel
9,3.8,09-wissel
10,3.8,09-wissel
11,3.8,09-wissel
12,3.8,09-wissel
13,3.8,09-wissel
14,3.8,09-wissel
15,3.8,09-wissel
16,3.8,09-wissel
17,3.8,09-wissel
18,3.795,09-wissel
19,3.763,09-wissel
20,3.742,09-wissel
21,3.73,09-wissel
22,3.728,09-wissel
23,3.71,09-wissel
24,3.7,09-wissel
25,3.7,09-wissel
26,3.7,09-wissel
27,3.69,09-wissel
28,3.688,09-wissel
29,3.685,09-wissel
30,3.682,09-wissel
31,3.68,09-wissel
32,3.676,09-wissel
33,3.675,09-wissel
34,3.675,09-wissel
35,3.66,09-wissel
36,3.646,09-wissel
37,3.628,09-wissel
38,3.615,09-wissel
39,3.61,09-wissel
40,3.607,09-wissel
41,3.601,09-wissel
42,3.6,09-wissel
43,3.6,09-wissel
44,3.6,09-wissel
45,3.6,09-wissel
46,3.6,09-wissel
47,3.6,09-wissel
48,3.6,09-wissel
49,3.6,09-wissel
50,3.6,09-wissel
51,3.597,09-wissel
52,3.592,09-wissel
53,3.586,09-wissel
54,3.56,09-wissel
55,3.529,09-wissel
56,3.5,09-wissel
57,3.5,09-wissel
58,3.5,09-wissel
59,3.5,09-wissel
60,3.5,09-wissel
61,3.5,09-wissel
62,3.5,09-wissel
63,3.5,09-wissel
64,3.48,09-wissel
65,3.471,09-wissel
66,3.469,09-wissel
67,3.458,09-wissel
68,3.443,09-wissel
69,3.418,09-wissel
70,3.4,09-wissel
71,3.4,09-wissel
72,3.4,09-wissel
73,3.4,09-wissel
74,3.4,09-wissel
75,3.4,09-wissel
76,3.4,09-wissel
77,3.4,09-wissel
78,3.4,09-wissel
79,3.396,09-wissel
80,3.376,09-wissel
81,3.37,09-wissel
82,3.37,09-wissel
83,3.368,09-wissel
84,3.367,09-wissel
85,3.364,09-wissel
86,3.361,09-wissel
87,3.36,09-wissel
88,3.355,09-wissel
89,3.35,09-wissel
90,3.34,09-wissel
91,3.313,09-wissel
92,3.312,09-wissel
93,3.306,09-wissel
94,3.303,09-wissel
95,3.3,09-wissel
96,3.3,09-wissel
97,3.3,09-wissel
98,3.29,09-wissel
99,3.279,09-wissel
100,3.269,09-wissel
101,3.25,09-wissel
102,3.245,09-wissel
103,3.238,09-wissel
104,3.225,09-wissel
105,3.224,09-wissel
106,3.224,09-wissel
107,3.222,09-wissel
108,3.211,09-wissel
109,3.206,09-wissel
110,3.203,09-wissel
111,3.2,09-wissel
112,3.2,09-wissel
113,3.2,09-wissel
114,3.2,09-wissel
115,3.2,09-wissel
116,3.2,09-wissel
117,3.184,09-wissel
118,3.18,09-wissel
119,,09-wissel
120,3.172,09-wissel
121,3.158,09-wissel
122,3.139,09-wissel
123,3.131,09-wissel
124,3.121,09-wissel
125,3.1,09-wissel
126,3.1,09-wissel
127,3.1,09-wissel
128,3.1,09-wissel
129,3.1,09-wissel
130,3.099,09-wissel
131,3.096,09-wissel
132,3.09,09-wissel
133,3.078,09-wissel
134,3.076,09-wissel
135,3.075,09-wissel
136,3.072,09-wissel
137,3.063,09-wissel
138,3.056,09-wissel
139,3.05,09-wissel
140,3.046,09-wissel
141,3.045,09-wissel
142,3.03,09-wissel
143,3.015,09-wissel
144,3.0,09-wissel
145,3.0,09-wissel
146,3.0,09-wissel
147,3.0,09-wissel
148,3.0,09-wissel
149,3.0,09-wissel
150,3.0,09-wissel
151,3.0,09-wissel
152,3.0,09-wissel
153,3.0,09-wissel
154,3.0,09-wissel
155,3.0,09-wissel
156,3.0,09-wissel
157,2.993,09-wissel
158,2.988,09-wissel
159,2.97,09-wissel
160,2.965,09-wissel
161,2.96,09-wissel
162,2.943,09-wissel
163,2.927,09-wissel
164,2.925,09-wissel
165,2.916,09-wissel
166,2.9,09-wissel
167,2.9,09-wissel
168,2.9,09-wissel
169,2.9,09-wissel
170,2.9,09-wissel
171,2.9,09-wissel
172,2.894,09-wissel
173,2.892,09-wissel
174,2.891,09-wissel
175,2.885,09-wissel
176,2.884,09-wissel
177,2.881,09-wissel
178,2.866,09-wissel
179,2.865,09-wissel
180,2.852,09-wissel
181,2.847,09-wissel
182,2.847,09-wissel
