,shares,team
0,256.500.000,09-wissel
1,,09-wissel
2,,09-wissel
3,,09-wissel
4,,09-wissel
5,,09-wissel
6,,09-wissel
7,,09-wissel
8,54.000.000,09-wissel
9,169.166.000,09-wissel
10,,09-wissel
11,37.918.452,09-wissel
12,37.800.000,09-wissel
13,,09-wissel
14,,09-wissel
15,,09-wissel
16,,09-wissel
17,158.887.736,09-wissel
18,742.345.646,09-wissel
19,,09-wissel
20,,09-wissel
21,223.916.000,09-wissel
22,669.171.000,09-wissel
23,,09-wissel
24,,09-wissel
25,64.454.000,09-wissel
26,390.000.000,09-wissel
27,109.428.073,09-wissel
28,,09-wissel
29,,09-wissel
30,,09-wissel
31,,09-wissel
32,,09-wissel
33,,09-wissel
34,,09-wissel
35,,09-wissel
36,,09-wissel
37,,09-wissel
38,,09-wissel
39,,09-wissel
40,,09-wissel
41,,09-wissel
42,287.190.000,09-wissel
43,,09-wissel
44,,09-wissel
45,,09-wissel
46,,09-wissel
47,,09-wissel
48,62.592.000,09-wissel
49,,09-wissel
50,,09-wissel
51,,09-wissel
52,91.209.000,09-wissel
53,,09-wissel
54,,09-wissel
55,,09-wissel
56,,09-wissel
57,,09-wissel
58,66.936.000,09-wissel
59,,09-wissel
60,,09-wissel
61,,09-wissel
62,,09-wissel
63,,09-wissel
64,358.715.000,09-wissel
65,,09-wissel
66,,09-wissel
67,526.797.000,09-wissel
68,,09-wissel
69,,09-wissel
70,,09-wissel
71,882.356.575,09-wissel
72,,09-wissel
73,,09-wissel
74,,09-wissel
75,,09-wissel
76,,09-wissel
77,,09-wissel
78,448.331.000,09-wissel
79,,09-wissel
80,,09-wissel
81,,09-wissel
82,506.342.200,09-wissel
83,107.500.000,09-wissel
84,25.221.000,09-wissel
85,,09-wissel
86,,09-wissel
87,,09-wissel
88,,09-wissel
89,101.580.997,09-wissel
90,,09-wissel
91,251.000.000,09-wissel
92,,09-wissel
93,,09-wissel
94,,09-wissel
95,,09-wissel
96,,09-wissel
97,,09-wissel
98,,09-wissel
99,,09-wissel
100,2.073.265.000,09-wissel
101,,09-wissel
102,,09-wissel
103,859.833.444,09-wissel
104,,09-wissel
105,,09-wissel
106,,09-wissel
107,97.280.729,09-wissel
108,262.213.000,09-wissel
109,,09-wissel
110,,09-wissel
111,315.990.000,09-wissel
112,,09-wissel
113,,09-wissel
114,,09-wissel
115,,09-wissel
116,,09-wissel
117,75.761.930,09-wissel
118,,09-wissel
119,,09-wissel
120,513.719.867,09-wissel
121,,09-wissel
122,,09-wissel
123,,09-wissel
124,,09-wissel
125,,09-wissel
126,,09-wissel
127,,09-wissel
128,,09-wissel
129,140.917.000,09-wissel
130,,09-wissel
131,,09-wissel
132,,09-wissel
133,,09-wissel
134,76.040.000,09-wissel
135,,09-wissel
136,,09-wissel
137,326.590.000,09-wissel
138,,09-wissel
139,,09-wissel
140,,09-wissel
141,185.597.000,09-wissel
142,286.693.071,09-wissel
143,,09-wissel
144,138.571.000,09-wissel
145,,09-wissel
146,,09-wissel
147,,09-wissel
148,,09-wissel
149,,09-wissel
150,156.928.000,09-wissel
151,,09-wissel
152,,09-wissel
153,,09-wissel
154,,09-wissel
155,,09-wissel
156,,09-wissel
157,304.931.000,09-wissel
158,,09-wissel
159,200.200.000,09-wissel
160,,09-wissel
161,,09-wissel
162,,09-wissel
163,,09-wissel
164,,09-wissel
165,,09-wissel
166,,09-wissel
167,,09-wissel
168,,09-wissel
169,,09-wissel
170,,09-wissel
171,,09-wissel
172,,09-wissel
173,225.023.000,09-wissel
174,,09-wissel
175,137.180.639,09-wissel
176,,09-wissel
177,,09-wissel
178,,09-wissel
179,,09-wissel
180,,09-wissel
181,,09-wissel
182,447.677.000,09-wissel
183,,09-wissel
184,,09-wissel
185,,09-wissel
186,139.891.547,09-wissel
187,,09-wissel
188,,09-wissel
189,,09-wissel
190,,09-wissel
191,465.115.180,09-wissel
192,,09-wissel
193,,09-wissel
194,,09-wissel
195,,09-wissel
196,583.000.000,09-wissel
197,,09-wissel
198,,09-wissel
199,,09-wissel
200,,09-wissel
201,,09-wissel
202,46.829.000,09-wissel
203,,09-wissel
204,401.961.947,09-wissel
205,,09-wissel
206,,09-wissel
207,126.349.250,09-wissel
208,,09-wissel
209,,09-wissel
210,,09-wissel
211,,09-wissel
212,,09-wissel
213,,09-wissel
214,,09-wissel
215,,09-wissel
216,184.792.000,09-wissel
217,,09-wissel
218,358.100.000,09-wissel
219,,09-wissel
220,,09-wissel
221,,09-wissel
222,,09-wissel
223,,09-wissel
224,,09-wissel
225,,09-wissel
226,,09-wissel
227,,09-wissel
228,,09-wissel
229,,09-wissel
230,,09-wissel
231,,09-wissel
232,,09-wissel
233,,09-wissel
234,,09-wissel
235,,09-wissel
236,,09-wissel
237,,09-wissel
238,101.818.667,09-wissel
239,,09-wissel
240,,09-wissel
241,,09-wissel
242,,09-wissel
243,,09-wissel
244,,09-wissel
245,,09-wissel
246,,09-wissel
247,,09-wissel
248,,09-wissel
249,,09-wissel
250,,09-wissel
251,281.314.000,09-wissel
252,,09-wissel
253,,09-wissel
254,,09-wissel
255,,09-wissel
256,,09-wissel
257,,09-wissel
258,,09-wissel
259,,09-wissel
260,,09-wissel
261,,09-wissel
262,,09-wissel
263,,09-wissel
264,,09-wissel
265,,09-wissel
266,,09-wissel
267,,09-wissel
268,,09-wissel
269,226.600.000,09-wissel
270,115.363.000,09-wissel
271,173.868.000,09-wissel
272,,09-wissel
273,,09-wissel
274,,09-wissel
275,,09-wissel
276,374.590.000,09-wissel
277,,09-wissel
278,,09-wissel
279,99.652.000,09-wissel
280,,09-wissel
281,,09-wissel
282,,09-wissel
283,,09-wissel
284,375.850.000,09-wissel
285,,09-wissel
286,,09-wissel
287,,09-wissel
288,,09-wissel
289,,09-wissel
290,,09-wissel
291,,09-wissel
292,,09-wissel
293,97.077.000,09-wissel
294,,09-wissel
295,,09-wissel
296,,09-wissel
297,,09-wissel
298,,09-wissel
299,,09-wissel
300,,09-wissel
301,,09-wissel
302,,09-wissel
303,,09-wissel
304,69.418.000,09-wissel
305,,09-wissel
306,,09-wissel
307,,09-wissel
308,,09-wissel
309,,09-wissel
310,,09-wissel
311,,09-wissel
312,,09-wissel
313,104.563.192,09-wissel
314,135.633.000,09-wissel
315,,09-wissel
316,63.422.701,09-wissel
317,173.256.000,09-wissel
318,329.000.000,09-wissel
319,,09-wissel
320,,09-wissel
321,,09-wissel
322,,09-wissel
323,,09-wissel
324,578.043.278,09-wissel
325,,09-wissel
326,,09-wissel
327,,09-wissel
328,,09-wissel
329,84.472.979,09-wissel
330,,09-wissel
331,,09-wissel
332,,09-wissel
333,,09-wissel
334,,09-wissel
335,,09-wissel
336,,09-wissel
337,,09-wissel
338,177.419.471,09-wissel
339,,09-wissel
340,,09-wissel
341,,09-wissel
342,,09-wissel
343,,09-wissel
344,,09-wissel
345,,09-wissel
346,52.500.000,09-wissel
347,,09-wissel
348,,09-wissel
349,200.200.000,09-wissel
350,,09-wissel
351,,09-wissel
352,,09-wissel
353,,09-wissel
354,175.631.144,09-wissel
355,,09-wissel
356,,09-wissel
357,584.300.000,09-wissel
358,,09-wissel
359,71.107.000,09-wissel
360,,09-wissel
361,,09-wissel
362,,09-wissel
363,,09-wissel
364,,09-wissel
365,,09-wissel
366,,09-wissel
367,,09-wissel
368,,09-wissel
369,,09-wissel
370,,09-wissel
371,,09-wissel
372,,09-wissel
373,222.415.000,09-wissel
374,,09-wissel
375,,09-wissel
376,,09-wissel
377,,09-wissel
378,,09-wissel
379,,09-wissel
380,,09-wissel
381,,09-wissel
382,,09-wissel
383,,09-wissel
384,740.718.997,09-wissel
385,,09-wissel
386,,09-wissel
387,,09-wissel
388,,09-wissel
389,,09-wissel
390,,09-wissel
391,,09-wissel
392,,09-wissel
393,,09-wissel
394,45.372.000,09-wissel
395,,09-wissel
396,,09-wissel
397,,09-wissel
398,,09-wissel
399,,09-wissel
400,,09-wissel
401,,09-wissel
402,,09-wissel
403,,09-wissel
404,,09-wissel
405,,09-wissel
406,282.267.230,09-wissel
407,,09-wissel
408,,09-wissel
409,,09-wissel
410,487.963.000,09-wissel
411,,09-wissel
412,,09-wissel
413,,09-wissel
414,,09-wissel
415,,09-wissel
416,,09-wissel
417,,09-wissel
418,239.000.000,09-wissel
419,,09-wissel
420,,09-wissel
421,,09-wissel
422,,09-wissel
423,,09-wissel
424,,09-wissel
425,,09-wissel
426,,09-wissel
427,,09-wissel
428,,09-wissel
429,,09-wissel
430,,09-wissel
431,,09-wissel
432,,09-wissel
433,,09-wissel
434,,09-wissel
435,62.440.000,09-wissel
436,55.498.000,09-wissel
437,,09-wissel
438,,09-wissel
439,362.895.064,09-wissel
440,,09-wissel
441,,09-wissel
442,,09-wissel
443,,09-wissel
444,,09-wissel
445,,09-wissel
446,,09-wissel
447,,09-wissel
448,,09-wissel
449,,09-wissel
450,,09-wissel
451,,09-wissel
452,,09-wissel
453,,09-wissel
454,,09-wissel
455,,09-wissel
456,,09-wissel
457,,09-wissel
458,,09-wissel
459,,09-wissel
460,,09-wissel
461,,09-wissel
462,,09-wissel
463,,09-wissel
464,84.156.000,09-wissel
465,,09-wissel
466,,09-wissel
467,,09-wissel
468,,09-wissel
469,,09-wissel
470,,09-wissel
471,65.059.678,09-wissel
472,,09-wissel
473,,09-wissel
474,,09-wissel
475,,09-wissel
476,,09-wissel
477,,09-wissel
478,207.500.000,09-wissel
479,252.500.000,09-wissel
480,,09-wissel
481,,09-wissel
482,,09-wissel
483,,09-wissel
484,108.466.000,09-wissel
485,,09-wissel
486,,09-wissel
487,,09-wissel
488,,09-wissel
489,,09-wissel
490,,09-wissel
491,,09-wissel
492,,09-wissel
493,,09-wissel
494,,09-wissel
495,,09-wissel
496,,09-wissel
497,,09-wissel
498,,09-wissel
499,122.166.000,09-wissel
500,,09-wissel
501,,09-wissel
502,,09-wissel
503,,09-wissel
504,,09-wissel
505,,09-wissel
506,148.883.000,09-wissel
507,,09-wissel
508,,09-wissel
509,,09-wissel
510,,09-wissel
511,516.551.258,09-wissel
512,,09-wissel
513,,09-wissel
514,597.779.000,09-wissel
515,,09-wissel
516,,09-wissel
517,,09-wissel
518,,09-wissel
519,,09-wissel
520,,09-wissel
521,,09-wissel
522,,09-wissel
523,,09-wissel
524,655.000.000,09-wissel
525,107.916.000,09-wissel
526,,09-wissel
527,,09-wissel
528,,09-wissel
529,,09-wissel
530,,09-wissel
531,,09-wissel
532,,09-wissel
533,,09-wissel
534,,09-wissel
535,,09-wissel
536,484.000.000,09-wissel
537,,09-wissel
538,,09-wissel
539,308.308.466,09-wissel
540,,09-wissel
541,,09-wissel
542,348.944.055,09-wissel
543,,09-wissel
544,,09-wissel
545,643.000.000,09-wissel
546,,09-wissel
547,,09-wissel
548,,09-wissel
549,,09-wissel
550,,09-wissel
551,,09-wissel
552,,09-wissel
553,,09-wissel
554,,09-wissel
555,,09-wissel
556,,09-wissel
557,,09-wissel
558,,09-wissel
559,,09-wissel
560,,09-wissel
561,,09-wissel
562,,09-wissel
563,,09-wissel
564,,09-wissel
565,,09-wissel
566,,09-wissel
567,,09-wissel
568,,09-wissel
569,,09-wissel
570,,09-wissel
571,55.122.995,09-wissel
572,,09-wissel
573,,09-wissel
574,,09-wissel
575,,09-wissel
576,,09-wissel
577,,09-wissel
578,,09-wissel
579,,09-wissel
580,,09-wissel
581,,09-wissel
582,,09-wissel
583,,09-wissel
584,,09-wissel
585,,09-wissel
586,,09-wissel
587,,09-wissel
588,,09-wissel
589,,09-wissel
590,,09-wissel
591,,09-wissel
592,,09-wissel
593,,09-wissel
594,,09-wissel
595,,09-wissel
596,,09-wissel
597,,09-wissel
598,,09-wissel
599,,09-wissel
600,,09-wissel
601,,09-wissel
602,,09-wissel
603,,09-wissel
604,,09-wissel
605,,09-wissel
606,,09-wissel
607,60.427.000,09-wissel
608,,09-wissel
609,,09-wissel
610,,09-wissel
611,,09-wissel
612,,09-wissel
613,,09-wissel
614,,09-wissel
615,,09-wissel
616,,09-wissel
617,,09-wissel
618,,09-wissel
619,,09-wissel
620,,09-wissel
621,,09-wissel
622,,09-wissel
623,,09-wissel
624,,09-wissel
625,,09-wissel
626,,09-wissel
627,,09-wissel
628,,09-wissel
629,,09-wissel
630,121.150.000,09-wissel
631,,09-wissel
632,,09-wissel
633,,09-wissel
634,35.925.265,09-wissel
635,,09-wissel
636,,09-wissel
637,,09-wissel
638,,09-wissel
639,,09-wissel
640,,09-wissel
641,,09-wissel
642,,09-wissel
643,,09-wissel
644,,09-wissel
645,,09-wissel
646,,09-wissel
647,,09-wissel
648,,09-wissel
649,610.845.820,09-wissel
650,,09-wissel
651,,09-wissel
652,,09-wissel
653,,09-wissel
654,,09-wissel
655,324.701.000,09-wissel
656,,09-wissel
657,,09-wissel
658,,09-wissel
659,,09-wissel
660,,09-wissel
661,,09-wissel
662,,09-wissel
663,,09-wissel
664,,09-wissel
665,,09-wissel
666,,09-wissel
667,,09-wissel
668,,09-wissel
669,106.200.000,09-wissel
670,,09-wissel
671,,09-wissel
672,,09-wissel
673,,09-wissel
674,,09-wissel
675,,09-wissel
676,,09-wissel
677,,09-wissel
678,,09-wissel
679,,09-wissel
680,,09-wissel
681,,09-wissel
682,,09-wissel
683,,09-wissel
684,,09-wissel
685,,09-wissel
686,,09-wissel
687,,09-wissel
688,,09-wissel
689,,09-wissel
690,,09-wissel
691,,09-wissel
692,,09-wissel
693,,09-wissel
694,,09-wissel
695,,09-wissel
696,,09-wissel
697,388.906.000,09-wissel
698,,09-wissel
699,,09-wissel
700,,09-wissel
701,,09-wissel
702,,09-wissel
703,,09-wissel
704,,09-wissel
705,,09-wissel
706,,09-wissel
707,,09-wissel
708,,09-wissel
709,,09-wissel
710,,09-wissel
711,,09-wissel
712,,09-wissel
713,95.800.000,09-wissel
714,,09-wissel
715,,09-wissel
716,,09-wissel
717,,09-wissel
718,,09-wissel
719,,09-wissel
720,,09-wissel
721,,09-wissel
722,,09-wissel
723,,09-wissel
724,,09-wissel
725,,09-wissel
726,,09-wissel
727,,09-wissel
728,477.200.000,09-wissel
729,154.349.517,09-wissel
730,,09-wissel
731,,09-wissel
732,,09-wissel
733,,09-wissel
734,205.721.162,09-wissel
735,,09-wissel
736,,09-wissel
737,,09-wissel
738,,09-wissel
739,,09-wissel
740,,09-wissel
741,,09-wissel
742,,09-wissel
743,,09-wissel
744,,09-wissel
745,,09-wissel
746,,09-wissel
747,,09-wissel
748,79.266.822,09-wissel
749,,09-wissel
750,,09-wissel
751,,09-wissel
752,,09-wissel
753,,09-wissel
754,,09-wissel
755,,09-wissel
756,,09-wissel
757,,09-wissel
758,,09-wissel
759,,09-wissel
760,,09-wissel
761,,09-wissel
762,,09-wissel
763,,09-wissel
764,,09-wissel
765,,09-wissel
766,,09-wissel
767,,09-wissel
768,,09-wissel
769,,09-wissel
770,,09-wissel
771,,09-wissel
772,,09-wissel
773,,09-wissel
774,,09-wissel
