,categories,ceo,code,country,employees,founded,gbp,headquarters,headquarters_continent,headquarters_country,id,industry,link,market_cap,market_capitalization_usd,market_value_apr_2022,marketcap,mastercap,name,net_income,official_name,rank,revenue,sector,stock
categories,0,7,7,8,7,9,9,8,16,16,9,9,9,9,20,17,9,7,8,9,12,9,8,8,8
ceo,7,0,3,6,8,6,3,11,20,18,3,8,4,9,23,20,8,8,4,8,12,4,6,4,4
code,7,3,0,5,7,4,4,10,19,18,3,7,4,9,23,20,8,8,3,7,11,4,6,5,4
country,8,6,5,0,9,4,7,9,19,13,7,4,6,9,23,19,8,8,6,9,11,6,7,6,7
employees,7,8,7,9,0,8,8,9,19,17,9,9,8,10,20,19,9,9,8,9,12,9,8,8,8
founded,9,6,4,4,8,0,7,10,19,17,6,7,6,10,23,20,9,9,6,9,11,6,6,7,7
gbp,9,3,4,7,8,7,0,12,22,20,3,8,4,9,24,20,8,8,4,10,13,4,7,6,5
headquarters,8,11,10,9,9,10,12,0,10,8,11,8,12,11,20,17,10,10,10,10,12,11,9,9,11
headquarters_continent,16,20,19,19,19,19,22,10,0,6,21,18,20,17,22,21,18,17,20,17,18,20,18,19,20
headquarters_country,16,18,18,13,17,17,20,8,6,0,19,14,19,15,22,20,16,15,18,16,17,18,17,16,18
id,9,3,3,7,9,6,3,11,21,19,0,6,3,10,23,21,9,9,4,9,12,4,7,6,5
industry,9,8,7,4,9,7,8,8,18,14,6,0,7,9,23,19,8,8,7,10,12,8,8,7,7
link,9,4,4,6,8,6,4,12,20,19,3,7,0,9,22,20,8,9,4,8,11,2,6,6,4
market_cap,9,9,9,9,10,10,9,11,17,15,10,9,9,0,15,12,1,4,8,9,11,8,8,9,8
market_capitalization_usd,20,23,23,23,20,23,24,20,22,22,23,23,22,15,0,16,16,19,23,20,20,22,21,21,23
market_value_apr_2022,17,20,20,19,19,20,20,17,21,20,21,19,20,12,16,0,13,16,19,18,18,19,16,19,20
marketcap,9,8,8,8,9,9,8,10,18,16,9,8,8,1,16,13,0,3,7,9,12,7,8,8,8
mastercap,7,8,8,8,9,9,8,10,17,15,9,8,9,4,19,16,3,0,7,9,12,8,8,7,6
name,8,4,3,6,8,6,4,10,20,18,4,7,4,8,23,19,7,7,0,7,9,3,6,6,5
net_income,9,8,7,9,9,9,10,10,17,16,9,10,8,9,20,18,9,9,7,0,10,9,7,8,8
official_name,12,12,11,11,12,11,13,12,18,17,12,12,11,11,20,18,12,12,9,10,0,11,11,12,12
rank,9,4,4,6,9,6,4,11,20,18,4,8,2,8,22,19,7,8,3,9,11,0,5,6,4
revenue,8,6,6,7,8,6,7,9,18,17,7,8,6,8,21,16,8,8,6,7,11,5,0,6,7
sector,8,4,5,6,8,7,6,9,19,16,6,7,6,9,21,19,8,7,6,8,12,6,6,0,4
stock,8,4,4,7,8,7,5,11,20,18,5,7,4,8,23,20,8,6,5,8,12,4,7,4,0
