,assets,ceo,country,employees,founded,industry,link,market_value,market_value_apr_2022,name,profit,revenue,revenue_2022,sales
assets,0,5,6,7,7,7,6,9,18,5,6,6,11,4
ceo,5,0,6,8,6,8,4,11,20,4,5,6,11,4
country,6,6,0,9,4,4,6,11,19,6,6,7,11,7
employees,7,8,9,0,8,9,8,11,19,8,7,8,11,6
founded,7,6,4,8,0,7,6,12,20,6,7,6,10,6
industry,7,8,4,9,7,0,7,11,19,7,7,8,11,7
link,6,4,6,8,6,7,0,11,20,4,6,6,11,5
market_value,9,11,11,11,12,11,11,0,9,10,11,7,12,10
market_value_apr_2022,18,20,19,19,20,19,20,9,0,19,19,16,11,18
name,5,4,6,8,6,7,4,10,19,0,6,6,11,3
profit,6,5,6,7,7,7,6,11,19,6,0,7,12,6
revenue,6,6,7,8,6,8,6,7,16,6,7,0,5,6
revenue_2022,11,11,11,11,10,11,11,12,11,11,12,5,0,11
sales,4,4,7,6,6,7,5,10,18,3,6,6,11,0
