,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,country,employees,employees_2017,employees_2020,employees_number_2017,employees_number_2020,founded,founding_year,industry,link,name,number_of_employees_2017,number_of_employees_2020,revenue,revenue_2017,revenue_2017_eu,revenue_2017_euro,revenue_2020,revenue_2020_eu,revenue_2020_euro,sector
absolute_growth_rate_pct,0,18,20,21,21,21,21,21,21,20,21,23,22,23,23,22,21,19,19,21,19,19,20
compound_annual_growth_rate_cagr_pct,18,0,30,31,31,31,30,30,31,26,31,35,33,32,32,33,32,31,30,32,31,30,33
country,20,30,0,9,13,13,18,18,4,9,4,6,6,22,22,7,11,14,15,11,14,15,6
employees,21,31,9,0,5,5,12,12,8,11,9,8,8,15,15,8,11,13,15,11,13,15,8
employees_2017,21,31,13,5,0,2,7,9,13,13,13,13,13,10,12,13,8,11,13,10,12,14,13
employees_2020,21,31,13,5,2,0,9,7,13,13,13,13,13,12,10,13,10,13,15,8,11,13,13
employees_number_2017,21,30,18,12,7,9,0,2,18,18,19,19,18,15,17,17,12,15,17,14,17,18,19
employees_number_2020,21,30,18,12,9,7,2,0,18,18,19,19,18,17,15,17,14,17,18,12,15,17,19
founded,21,31,4,8,13,13,18,18,0,7,7,6,6,22,22,6,10,13,15,10,13,15,7
founding_year,20,26,9,11,13,13,18,18,7,0,10,11,11,21,21,11,12,14,14,12,14,14,12
industry,21,31,4,9,13,13,19,19,7,10,0,7,7,22,22,8,11,14,15,11,14,15,7
link,23,35,6,8,13,13,19,19,6,11,7,0,4,23,23,6,11,14,16,11,14,16,6
name,22,33,6,8,13,13,18,18,6,11,7,4,0,21,21,6,11,13,15,11,13,15,6
number_of_employees_2017,23,32,22,15,10,12,15,17,22,21,22,23,21,0,2,21,16,19,21,18,20,21,22
number_of_employees_2020,23,32,22,15,12,10,17,15,22,21,22,23,21,2,0,21,18,21,21,16,19,21,22
revenue,22,33,7,8,13,13,17,17,6,11,8,6,6,21,21,0,5,8,10,5,8,10,6
revenue_2017,21,32,11,11,8,10,12,14,10,12,11,11,11,16,18,5,0,3,5,2,5,7,11
revenue_2017_eu,19,31,14,13,11,13,15,17,13,14,14,14,13,19,21,8,3,0,2,5,2,4,14
revenue_2017_euro,19,30,15,15,13,15,17,18,15,14,15,16,15,21,21,10,5,2,0,7,4,2,15
revenue_2020,21,32,11,11,10,8,14,12,10,12,11,11,11,18,16,5,2,5,7,0,3,5,11
revenue_2020_eu,19,31,14,13,12,11,17,15,13,14,14,14,13,20,19,8,5,2,4,3,0,2,14
revenue_2020_euro,19,30,15,15,14,13,18,17,15,14,15,16,15,21,21,10,7,4,2,5,2,0,15
sector,20,33,6,8,13,13,19,19,7,12,7,6,6,22,22,6,11,14,15,11,14,15,0
