,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,country,employees,employees_2017,employees_2020,employees_number_2017,employees_number_2020,founded,founding_year,industry,link,name,number_of_employees_2017,number_of_employees_2020,revenue,revenue_2017,revenue_2017_eu,revenue_2017_euro,revenue_2020,revenue_2020_eu,revenue_2020_euro,sector
absolute_growth_rate_pct,0.0,0.05555555555555555,0.05,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.05,0.047619047619047616,0.043478260869565216,0.045454545454545456,0.043478260869565216,0.043478260869565216,0.045454545454545456,0.047619047619047616,0.05263157894736842,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.05263157894736842,0.05
compound_annual_growth_rate_cagr_pct,0.05555555555555555,0.0,0.03333333333333333,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03333333333333333,0.03333333333333333,0.03225806451612903,0.038461538461538464,0.03225806451612903,0.02857142857142857,0.030303030303030304,0.03125,0.03125,0.030303030303030304,0.03125,0.03225806451612903,0.03333333333333333,0.03125,0.03225806451612903,0.03333333333333333,0.030303030303030304
country,0.05,0.03333333333333333,0.0,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.05555555555555555,0.05555555555555555,0.25,0.1111111111111111,0.25,0.16666666666666666,0.16666666666666666,0.045454545454545456,0.045454545454545456,0.14285714285714285,0.09090909090909091,0.07142857142857142,0.06666666666666667,0.09090909090909091,0.07142857142857142,0.06666666666666667,0.16666666666666666
employees,0.047619047619047616,0.03225806451612903,0.1111111111111111,0.0,0.2,0.2,0.08333333333333333,0.08333333333333333,0.125,0.09090909090909091,0.1111111111111111,0.125,0.125,0.06666666666666667,0.06666666666666667,0.125,0.09090909090909091,0.07692307692307693,0.06666666666666667,0.09090909090909091,0.07692307692307693,0.06666666666666667,0.125
employees_2017,0.047619047619047616,0.03225806451612903,0.07692307692307693,0.2,0.0,0.5,0.14285714285714285,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1,0.08333333333333333,0.07692307692307693,0.125,0.09090909090909091,0.07692307692307693,0.1,0.08333333333333333,0.07142857142857142,0.07692307692307693
employees_2020,0.047619047619047616,0.03225806451612903,0.07692307692307693,0.2,0.5,0.0,0.1111111111111111,0.14285714285714285,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.08333333333333333,0.1,0.07692307692307693,0.1,0.07692307692307693,0.06666666666666667,0.125,0.09090909090909091,0.07692307692307693,0.07692307692307693
employees_number_2017,0.047619047619047616,0.03333333333333333,0.05555555555555555,0.08333333333333333,0.14285714285714285,0.1111111111111111,0.0,0.5,0.05555555555555555,0.05555555555555555,0.05263157894736842,0.05263157894736842,0.05555555555555555,0.06666666666666667,0.058823529411764705,0.058823529411764705,0.08333333333333333,0.06666666666666667,0.058823529411764705,0.07142857142857142,0.058823529411764705,0.05555555555555555,0.05263157894736842
employees_number_2020,0.047619047619047616,0.03333333333333333,0.05555555555555555,0.08333333333333333,0.1111111111111111,0.14285714285714285,0.5,0.0,0.05555555555555555,0.05555555555555555,0.05263157894736842,0.05263157894736842,0.05555555555555555,0.058823529411764705,0.06666666666666667,0.058823529411764705,0.07142857142857142,0.058823529411764705,0.05555555555555555,0.08333333333333333,0.06666666666666667,0.058823529411764705,0.05263157894736842
founded,0.047619047619047616,0.03225806451612903,0.25,0.125,0.07692307692307693,0.07692307692307693,0.05555555555555555,0.05555555555555555,0.0,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.045454545454545456,0.045454545454545456,0.16666666666666666,0.1,0.07692307692307693,0.06666666666666667,0.1,0.07692307692307693,0.06666666666666667,0.14285714285714285
founding_year,0.05,0.038461538461538464,0.1111111111111111,0.09090909090909091,0.07692307692307693,0.07692307692307693,0.05555555555555555,0.05555555555555555,0.14285714285714285,0.0,0.1,0.09090909090909091,0.09090909090909091,0.047619047619047616,0.047619047619047616,0.09090909090909091,0.08333333333333333,0.07142857142857142,0.07142857142857142,0.08333333333333333,0.07142857142857142,0.07142857142857142,0.08333333333333333
industry,0.047619047619047616,0.03225806451612903,0.25,0.1111111111111111,0.07692307692307693,0.07692307692307693,0.05263157894736842,0.05263157894736842,0.14285714285714285,0.1,0.0,0.14285714285714285,0.14285714285714285,0.045454545454545456,0.045454545454545456,0.125,0.09090909090909091,0.07142857142857142,0.06666666666666667,0.09090909090909091,0.07142857142857142,0.06666666666666667,0.14285714285714285
link,0.043478260869565216,0.02857142857142857,0.16666666666666666,0.125,0.07692307692307693,0.07692307692307693,0.05263157894736842,0.05263157894736842,0.16666666666666666,0.09090909090909091,0.14285714285714285,0.0,0.25,0.043478260869565216,0.043478260869565216,0.16666666666666666,0.09090909090909091,0.07142857142857142,0.0625,0.09090909090909091,0.07142857142857142,0.0625,0.16666666666666666
name,0.045454545454545456,0.030303030303030304,0.16666666666666666,0.125,0.07692307692307693,0.07692307692307693,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.09090909090909091,0.14285714285714285,0.25,0.0,0.047619047619047616,0.047619047619047616,0.16666666666666666,0.09090909090909091,0.07692307692307693,0.06666666666666667,0.09090909090909091,0.07692307692307693,0.06666666666666667,0.16666666666666666
