,company_creation_date,company_id,company_number,company_status,company_type,dissolution_date,id,incorporation_date,name,nature_of_business,office_address,registered_office_address,registration_date,url
company_creation_date,0,11,12,11,11,12,19,9,18,19,18,21,10,20
company_id,11,0,6,6,4,14,8,13,9,16,12,22,15,10
company_number,12,6,0,6,5,15,14,13,11,15,12,22,15,13
company_status,11,6,6,0,5,14,14,13,12,15,12,22,15,14
company_type,11,4,5,5,0,13,12,12,10,16,12,22,14,12
dissolution_date,12,14,15,14,13,0,14,8,13,17,14,19,7,15
id,19,8,14,14,12,14,0,16,4,17,12,23,15,3
incorporation_date,9,13,13,13,12,8,16,0,15,17,16,19,7,17
name,18,9,11,12,10,13,4,15,0,15,12,23,14,4
nature_of_business,19,16,15,15,16,17,17,17,15,0,13,16,17,16
office_address,18,12,12,12,12,14,12,16,12,13,0,11,15,13
registered_office_address,21,22,22,22,22,19,23,19,23,16,11,0,14,24
registration_date,10,15,15,15,14,7,15,7,14,17,15,14,0,16
url,20,10,13,14,12,15,3,17,4,16,13,24,16,0
