,address_name,city,country,index,location_type,name,postalcode,state,trade_name,url
address_name,0.0,0.08333333333333333,0.09090909090909091,0.1,0.09090909090909091,0.125,0.09090909090909091,0.1111111111111111,0.16666666666666666,0.09090909090909091
city,0.08333333333333333,0.0,0.25,0.2,0.1111111111111111,0.25,0.1111111111111111,0.25,0.1,0.25
country,0.09090909090909091,0.25,0.0,0.16666666666666666,0.1,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.2
index,0.1,0.2,0.16666666666666666,0.0,0.09090909090909091,0.25,0.1111111111111111,0.2,0.125,0.2
location_type,0.09090909090909091,0.1111111111111111,0.1,0.09090909090909091,0.0,0.09090909090909091,0.1,0.1,0.1,0.07692307692307693
name,0.125,0.25,0.16666666666666666,0.25,0.09090909090909091,0.0,0.125,0.3333333333333333,0.16666666666666666,0.25
postalcode,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1,0.125,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111
state,0.1111111111111111,0.25,0.16666666666666666,0.2,0.1,0.3333333333333333,0.16666666666666666,0.0,0.125,0.2
trade_name,0.16666666666666666,0.1,0.1111111111111111,0.125,0.1,0.16666666666666666,0.1111111111111111,0.125,0.0,0.1111111111111111
url,0.09090909090909091,0.25,0.2,0.2,0.07692307692307693,0.25,0.1111111111111111,0.2,0.1111111111111111,0.0
