,address_name,city,country,index,location_type,name,postalcode,state,trade_name,url
address_name,1.0,0.0,0.0,0.0,0.03571428571428571,0.25,0.04,0.05,0.23809523809523808,0.0
city,0.0,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
country,0.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
location_type,0.03571428571428571,0.0,0.0,0.0,1.0,0.05,0.038461538461538464,0.047619047619047616,0.038461538461538464,0.0
name,0.25,0.0,0.0,0.0,0.05,1.0,0.058823529411764705,0.08333333333333333,0.2857142857142857,0.0
postalcode,0.04,0.0,0.0,0.0,0.038461538461538464,0.058823529411764705,1.0,0.11764705882352941,0.043478260869565216,0.0
state,0.05,0.0,0.0,0.0,0.047619047619047616,0.08333333333333333,0.11764705882352941,1.0,0.05555555555555555,0.0
trade_name,0.23809523809523808,0.0,0.0,0.0,0.038461538461538464,0.2857142857142857,0.043478260869565216,0.05555555555555555,1.0,0.0
url,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
