,name,world_rank,marketValue,marketCap,CEO,country
0,APPLE,1,"2,825.000 Billion USD","2,510.000 Billion USD",Tim Cook,USA
1,MICROSOFT CORPORATION,2,"2,358.000 Billion USD","2,269.000 Billion USD",,USA
2,SAUDI ARABIAN OIL COMPANY (Saudi Aramco),3,"1,889.600 Billion USD","1,891.600 Billion USD",H.E. Yasir Othman Al-Rumayyan,Saudi Arabia
3,ALPHABET,4,"1,820.000 Billion USD","1,934.000 Billion USD",John L. Hennessy,USA
4,AMAZON.COM,5,"1,649.000 Billion USD","1,758.000 Billion USD",Andy Jassy,USA
5,TESLA,6,"1,031.000 Billion USD",737.020 Billion USD,Elon Musk,USA
6,META PLATFORMS,7,922.960 Billion USD,"1,070.000 Billion USD",Mark Zuckerberg,USA
7,BERKSHIRE HATHAWAY,8,711.750 Billion USD,646.790 Billion USD,Warren Buffett,USA
8,NVIDIA CORPORATION,9,679.000 Billion USD,557.830 Billion USD,Jensen Huang,USA
9,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),10,640.480 Billion USD,617.200 Billion USD,Mark Liu,Taiwan
10,TOYOTA MOTOR CORPORATION,31,276.740 Billion USD,244.750 Billion USD,,Japan
11,COCA-COLA COMPANY,32,260.590 Billion USD,243.070 Billion USD,James Quincey,USA
12,CISCO SYSTEMS,33,257.820 Billion USD,248.720 Billion USD,Chuck Robbins,USA
13,BROADCOM,34,255.630 Billion USD,203.990 Billion USD,Henry Samueli,USA
14,PROSUS,35,254.550 Billion USD,283.050 Billion USD,,Netherlands
15,ICBC,36,252.550 Billion USD,244.010 Billion USD,Chen Siqing,China
16,L'OREAL,37,249.140 Billion USD,262.430 Billion USD,,France
17,NIKE,38,248.460 Billion USD,260.800 Billion USD,Mark Parker,USA
18,ELI LILLY AND COMPANY,39,248.240 Billion USD,247.070 Billion USD,Juan R. Luciano,USA
19,ADOBE,40,242.990 Billion USD,316.190 Billion USD,Shantanu Narayen,USA
20,TENCENT,11,545.360 Billion USD,609.440 Billion USD,Ma Huateng,China
21,J P MORGAN CHASE & CO,12,494.000 Billion USD,477.960 Billion USD,William B. Harrison Jr.,USA
22,VISA,13,471.630 Billion USD,502.740 Billion USD,Alfred F Kelly Jr,USA
23,JOHNSON & JOHNSON,14,457.940 Billion USD,455.760 Billion USD,William C. Weldon,USA
