name,codice,pricecap,price,country
Apple,AAPL,$2.143 T,$134.76,USA
Saudi Aramco,2222.SR,$1.878 T,$8.54,S. Arabia
Microsoft,MSFT,$1.783 T,$239.23,USA
Alphabet (Google),GOOG,$1.195 T,$92.80,USA
Amazon,AMZN,$1.000 T,$98.12,USA
Berkshire Hathaway,BRK-B,$700.57 B,$317.64,USA
Visa,V,$472.35 B,$223.06,USA
Exxon Mobil,XOM,$465.98 B,$113.15,USA
Tencent,TCEHY,$458.31 B,$47.80,China
UnitedHealth,UNH,$457.42 B,$489.57,USA
Johnson & Johnson,JNJ,$453.42 B,$173.43,USA
TSMC,TSM,$450.14 B,$86.80,Taiwan
LVMH,MC.PA,$427.45 B,$853.07,France
NVIDIA,NVDA,$421.12 B,$168.99,USA
JPMorgan Chase,JPM,$419.47 B,$143.01,USA
Walmart,WMT,$391.81 B,$145.29,USA
Tesla,TSLA,$386.50 B,$122.40,USA
Mastercard,MA,$361.04 B,$375.52,USA
Meta Platforms (Facebook),META,$359.18 B,$136.98,USA
Kweichow Moutai,600519.SS,$358.62 B,$285.49,China
Procter & Gamble,PG,$357.54 B,$150.88,USA
Eli Lilly,LLY,$343.60 B,$361.62,USA
Chevron,CVX,$343.33 B,$177.56,USA
Nestlé,NESN.SW,$339.24 B,$123.36,Switzerland
Home Depot,HD,$337.56 B,$331.21,USA
Samsung,005930.KS,$331.69 B,$49.38,S. Korea
Alibaba,BABA,$310.68 B,$117.01,China
Novo Nordisk,NVO,$306.65 B,$136.32,Denmark
Merck,MRK,$284.59 B,$112.25,USA
Bank of America,BAC,$281.72 B,$35.23,USA
AbbVie,ABBV,$271.63 B,$153.60,USA
Pfizer,PFE,$268.59 B,$47.85,USA
ASML,ASML,$265.94 B,$659.69,Netherlands
Coca-Cola,KO,$265.65 B,$61.43,USA
Roche,ROG.SW,$259.53 B,$315.84,Switzerland
International Holding Company,IHC.AE,$242.29 B,$110.46,UAE
Broadcom,AVGO,$241.95 B,$579.00,USA
Pepsico,PEP,$241.42 B,$175.24,USA
Oracle,ORCL,$240.50 B,$89.20,USA
Thermo Fisher Scientific,TMO,$228.97 B,$583.84,USA
AstraZeneca,AZN,$222.25 B,$71.08,UK
ICBC,1398.HK,$221.13 B,$0.54,China
