name,market_capitalization_USD,price,country
Apple,2062000000000,130,USA
Saudi Aramco,1848000000000,8,S. Arabia
Microsoft,1676000000000,225,USA
Alphabet (Google),1137000000000,88,USA
Amazon,878160000000,86,USA
Berkshire Hathaway,702840000000,319,USA
Johnson & Johnson,471260000000,180,USA
Visa,461110000000,218,USA
UnitedHealth,457830000000,490,USA
Exxon Mobil,455190000000,111,USA
Tencent,436090000000,46,China
TSMC,404870000000,78,Taiwan
JPMorgan Chase,404600000000,138,USA
LVMH,400240000000,788,France
Walmart,395830000000,147,USA
NVIDIA,370280000000,149,USA
Procter & Gamble,364740000000,154,USA
Tesla,357010000000,113,USA
Mastercard,353500000000,368,USA
Eli Lilly,344850000000,363,USA
Chevron,341400000000,177,USA
Meta Platforms (Facebook),340930000000,130,USA
Kweichow Moutai,329340000000,262,China
Nestlé,326280000000,119,Switzerland
Home Depot,323620000000,318,USA
Novo Nordisk,311970000000,139,Denmark
Samsung,311550000000,46,S. Korea
AbbVie,294540000000,167,USA
Merck,291160000000,115,USA
Pfizer,285820000000,51,USA
Alibaba,284340000000,107,China
Bank of America,276050000000,34,USA
Coca-Cola,274170000000,63,USA
Roche,258320000000,314,Switzerland
Pepsico,249500000000,181,USA
Broadcom,245890000000,588,USA
ASML,240640000000,596,Netherlands
Oracle,230960000000,86,USA
AstraZeneca,219450000000,71,UK
ICBC,214970000000,1,China
Costco,214260000000,483,USA
Thermo Fisher Scientific,209820000000,535,USA
Reliance Industries,207930000000,31,India
Shell,206370000000,57,UK
L'Oréal,203250000000,378,France
Novartis,199600000000,92,Switzerland
Cisco,198500000000,48,USA
McDonald,197360000000,269,USA
Abbott Laboratories,195850000000,112,USA
Nike,194830000000,125,USA
Toyota,191820000000,139,Japan
T-Mobile US,184840000000,149,USA
Danaher,183800000000,252,USA
Verizon,177190000000,42,USA
Hermès,175670000000,1676,France
Walt Disney,171270000000,94,USA
Accenture,169660000000,269,Ireland
BHP Group,167110000000,66,Australia
Nextera Energy,166220000000,84,USA
Comcast,163810000000,38,USA
Wells Fargo,163080000000,43,USA
China Construction Bank,161340000000,1,China
Philip Morris,160430000000,103,USA
Texas Instruments,158970000000,175,USA
Charles Schwab,157810000000,85,USA
Linde,155720000000,316,UK
Bristol-Myers Squibb,155200000000,73,USA
United Parcel Service,154770000000,179,USA
Adobe,154690000000,333,USA
Prosus,153640000000,77,Netherlands
TotalEnergies,153350000000,62,France
Raytheon Technologies,150620000000,102,USA
CATL,150080000000,61,China
China Mobile,149060000000,7,China
Morgan Stanley,147980000000,88,USA
ConocoPhillips,147320000000,118,USA
Amgen,146840000000,275,USA
Agricultural Bank of China,146200000000,0,China
Meituan,144720000000,23,China
Tata Consultancy Services,142350000000,39,India
CM Bank,142160000000,6,China
Dior,142000000000,782,France
Honeywell,141360000000,210,USA
Salesforce,140500000000,141,USA
Netflix,140420000000,316,USA
AT&T,139190000000,20,USA
HSBC,137020000000,34,UK
Royal Bank Of Canada,135090000000,97,Canada
AIA,132370000000,11,Hong Kong
Ping An Insurance,132050000000,7,China
Union Pacific Corporation,130340000000,212,USA
Unilever,129930000000,51,UK
Caterpillar,129500000000,249,USA
QUALCOMM,129290000000,115,USA
Bank of China,129290000000,0,China
IBM,128800000000,144,USA
SAP,127660000000,109,Germany
Deere & Company,127180000000,426,USA
Boeing,126940000000,213,USA
PetroChina,126620000000,1,China
China Life Insurance,125360000000,5,China
Anheuser-Busch Inbev,125300000000,61,Belgium
HDFC Bank,125290000000,67,India
Lockheed Martin,124020000000,473,USA
Sanofi,123030000000,48,France
Starbucks,122450000000,107,USA
Lowe's Companies,121520000000,201,USA
Pinduoduo,121330000000,96,China
CVS Health,120350000000,92,USA
Rio Tinto,120050000000,74,UK
Intel,118560000000,29,USA
Goldman Sachs,117870000000,348,USA
Toronto Dominion Bank,117800000000,64,Canada
Commonwealth Bank,117650000000,70,Australia
Siemens,113590000000,143,Germany
Elevance Health,113550000000,475,USA
S&P Global,113320000000,348,USA
American Express,112210000000,150,USA
BlackRock,110840000000,738,USA
Gilead Sciences,110470000000,88,USA
Jingdong Mall,109910000000,64,China
Intuit,108580000000,387,USA
Prologis,107670000000,117,USA
Medtronic,107550000000,81,Ireland
Wuliangye Yibin,107450000000,28,China
BP,104370000000,34,UK
Deutsche Telekom,103540000000,21,Germany
AMD,103120000000,64,USA
Sony,101890000000,81,Japan
American Tower,101730000000,219,USA
Diageo,101530000000,179,UK
Automatic Data Processing,99620000000,240,USA
Equinor,99460000000,32,Norway
NTT (Nippon Telegraph & Telephone),98830000000,29,Japan
BYD,98610000000,39,China
Stryker Corporation,96970000000,256,USA
Airbus,96780000000,123,Netherlands
TJX Companies,95580000000,83,USA
Intuitive Surgical,95550000000,270,USA
Chubb,94980000000,229,Switzerland
Estee Lauder,94130000000,264,USA
Keyence,93710000000,386,Japan
Mondelez,92880000000,68,USA
Cigna,92540000000,303,USA
Porsche,91830000000,101,Germany
Citigroup,91630000000,47,USA
British American Tobacco,90970000000,41,UK
CSL,90620000000,188,Australia
Allianz,89930000000,223,Germany
Mitsubishi UFJ Financial,89730000000,7,Japan
Inditex,89720000000,14,Spain
Applied Materials,88010000000,104,USA
PayPal,87180000000,76,USA
Merck KGaA,85660000000,197,Germany
Marsh & McLennan Companies,84790000000,171,USA
Booking Holdings (Booking.com),84530000000,2179,USA
