name,marketCap,stock,sector,industry,country
Apple Inc.,$2.825 T,AAPL,Technology,Consumer Electronics,United States
Microsoft Corporation,$2.328 T,MSFT,Technology,Software—Infrastructure,United States
Saudi Arabian Oil Company,$2.297 T,2222,Energy,Oil & Gas Integrated,Saudi Arabia
Alphabet Inc.,$1.825 T,GOOG,Communication Services,Internet Content & Information,United States
"Amazon.com, Inc.",$1.642 T,AMZN,Consumer Discretionary,Internet Retail,United States
"Tesla, Inc.",$1.016 T,TSLA,Consumer Discretionary,Auto Manufacturers,United States
Berkshire Hathaway Inc.,$798.47 B,BRK.A,Financials,Financial Conglomerates,United States
Nvidia Corporation,$660.38 B,NVDA,Technology,Semiconductors,United States
"Meta Platforms, Inc.",$617.50 B,META,Communication Services,Internet Content & Information,United States
Taiwan Semiconductor Manufacturing Company Limited,$527.89 B,2330,Technology,Semiconductors,Taiwan
UnitedHealth Group Incorporated,$488.52 B,UNH,Healthcare,Healthcare Plans,United States
Visa Inc.,$486.77 B,V,Financials,Credit Services,United States
Johnson & Johnson,$475.93 B,JNJ,Healthcare,Drug Manufacturers—General,United States
Tencent Holdings Ltd,$441.17 B,0700,Communication Services,Internet Content & Information,China
Walmart Inc.,$429.05 B,WMT,Consumer Staples,Discount Stores,United States
JPMorgan Chase & Co.,$410.84 B,JPM,Financials,Banks,United States
The Procter & Gamble Company,$384.60 B,PG,Consumer Staples,Household & Personal Products,United States
"Samsung Electronics Co., Ltd.",$378.35 B,005930,Technology,Consumer Electronics,South Korea
"LVMH Moët Hennessy - Louis Vuitton, SE",$359.26 B,MC,Consumer Discretionary,Luxury Goods,France
Mastercard Incorporated,$358.60 B,MA,Financials,Credit Services,United States
Bank of America Corporation,$350.84 B,BAC,Financials,Banks,United States
Roche Holding AG,$349.50 B,ROG,Healthcare,Drug Manufacturers—General,Switzerland
Exxon Mobil Corporation,$348.72 B,XOM,Energy,Oil & Gas Integrated,United States
Kweichow Moutai Co. Ltd,$348.22 B,600519,Consumer Staples,Beverages—Wineries & Distilleries,China
"The Home Depot, Inc.",$321.47 B,HD,Consumer Discretionary,Home Improvement Retail,United States
Chevron Corporation,$315.13 B,CVX,Energy,Oil & Gas Integrated,United States
Pfizer Inc.,$300.79 B,PFE,Healthcare,Drug Manufacturers—General,United States
AbbVie Inc.,$294.27 B,ABBV,Healthcare,Drug Manufacturers—General,United States
Alibaba Group Holding Limited,$290.40 B,9988,Consumer Discretionary,Internet Retail,China
ASML Holding N.V.,$274.35 B,ASML,Technology,Semiconductor Equipment & Materials,Netherlands
The Coca-Cola Company,$273.20 B,KO,Consumer Staples,Beverages—Non-Alcoholic,United States
Eli Lilly and Company,$273.01 B,LLY,Healthcare,Drug Manufacturers—General,United States
Broadcom Inc.,$265.27 B,AVGO,Technology,Semiconductors,United States
Costco Wholesale Corporation,$258.15 B,COST,Consumer Staples,Discount Stores,United States
Novo Nordisk A/S,$257.24 B,NOVO.B,Healthcare,Biotechnology,Denmark
Industrial & Commercial Bank of China Ltd,$250.37 B,601398,Financials,Banks,China
The Walt Disney Company,$247.88 B,DIS,Communication Services,Entertainment,United States
"PepsiCo, Inc.",$241.05 B,PEP,Consumer Staples,Beverages—Non-Alcoholic,United States
"Cisco Systems, Inc.",$238.45 B,CSCO,Technology,Communication Equipment,United States
Thermo Fisher Scientific Inc.,$236.15 B,TMO,Healthcare,Diagnostics & Research,United States
Oracle Corporation,$228.18 B,ORCL,Technology,Software—Infrastructure,United States
L'Oréal SA,$225.24 B,OR,Consumer Staples,Household & Personal Products,France
Accenture plc,$219.03 B,ACN,Technology,Information Technology Services,Ireland
Comcast Corporation,$218.90 B,CMCSA,Communication Services,Entertainment,United States
Verizon Communications Inc.,$216.68 B,VZ,Communication Services,Telecom Services,United States
Abbott Laboratories,$215.02 B,ABT,Healthcare,Medical Devices,United States
"Nike, Inc.",$213.60 B,NKE,Consumer Discretionary,Footwear & Accessories,United States
BHP Group,$211.25 B,BHP,Basic Materials,Other Industrial Metals & Mining,Australia
"Merck & Co., Inc.",$210.38 B,MRK,Healthcare,Drug Manufacturers—General,United States
Danaher Corporation,$208.03 B,DHR,Healthcare,Diagnostics & Research,United States
Sea Limited,$62.66 B,SE,Communication Services,Electronic Gaming & Multimedia,Singapore
"Uber Technologies, Inc.",$62.66 B,UBER,Technology,Software—Application,United States
Moody's Corporation,$62.58 B,MCO,Financials,Financial Data & Stock Exchanges,United States
Nintendo Co Ltd,$62.20 B,7974,Communication Services,Electronic Gaming & Multimedia,Japan
Pioneer Natural Resources Company,$62.19 B,PXD,Energy,Oil & Gas E&P,United States
Eaton Corporation plc,$62.17 B,ETN,Industrials,Specialty Industrial Machinery,Ireland
"Analog Devices, Inc.",$62.00 B,ADI,Technology,Semiconductors,United States
"Fidelity National Information Services, Inc.",$61.73 B,FIS,Technology,Information Technology Services,United States
"Banco Santander, SA",$61.67 B,SAN,Financials,Banks,Spain
Hapag-Lloyd AG,$61.46 B,HLAG,Industrials,Marine Shipping,Germany
Adyen N.V.,$61.11 B,ADYEN,Technology,Software—Infrastructure,Netherlands
