name,market_capitalization_USD,stock,country,sector,industry
Apple Inc.,2825000000000,AAPL,United States,Technology,Consumer Electronics
Microsoft Corporation,2328000000000,MSFT,United States,Technology,Software—Infrastructure
Saudi Arabian Oil Company,2297000000000,2222,Saudi Arabia,Energy,Oil & Gas Integrated
Alphabet Inc.,1825000000000,GOOG,United States,Communication Services,Internet Content & Information
"Amazon.com, Inc.",1642000000000,AMZN,United States,Consumer Discretionary,Internet Retail
"Tesla, Inc.",1016000000000,TSLA,United States,Consumer Discretionary,Auto Manufacturers
Berkshire Hathaway Inc.,798470000000,BRK.A,United States,Financials,Financial Conglomerates
Nvidia Corporation,660380000000,NVDA,United States,Technology,Semiconductors
"Meta Platforms, Inc.",617500000000,META,United States,Communication Services,Internet Content & Information
Taiwan Semiconductor Manufacturing Company Limited,527890000000,2330,Taiwan,Technology,Semiconductors
UnitedHealth Group Incorporated,488520000000,UNH,United States,Healthcare,Healthcare Plans
Visa Inc.,486770000000,V,United States,Financials,Credit Services
Johnson & Johnson,475930000000,JNJ,United States,Healthcare,Drug Manufacturers—General
Tencent Holdings Ltd,441170000000,0700,China,Communication Services,Internet Content & Information
Walmart Inc.,429050000000,WMT,United States,Consumer Staples,Discount Stores
JPMorgan Chase & Co.,410840000000,JPM,United States,Financials,Banks
The Procter & Gamble Company,384600000000,PG,United States,Consumer Staples,Household & Personal Products
"Samsung Electronics Co., Ltd.",378350000000,005930,South Korea,Technology,Consumer Electronics
"LVMH Moët Hennessy - Louis Vuitton, SE",359260000000,MC,France,Consumer Discretionary,Luxury Goods
Mastercard Incorporated,358600000000,MA,United States,Financials,Credit Services
Bank of America Corporation,350840000000,BAC,United States,Financials,Banks
Roche Holding AG,349500000000,ROG,Switzerland,Healthcare,Drug Manufacturers—General
Exxon Mobil Corporation,348720000000,XOM,United States,Energy,Oil & Gas Integrated
Kweichow Moutai Co. Ltd,348220000000,600519,China,Consumer Staples,Beverages—Wineries & Distilleries
"The Home Depot, Inc.",321470000000,HD,United States,Consumer Discretionary,Home Improvement Retail
Chevron Corporation,315130000000,CVX,United States,Energy,Oil & Gas Integrated
Pfizer Inc.,300790000000,PFE,United States,Healthcare,Drug Manufacturers—General
