Unnamed: 0,Name,MarketCap,Stock,Country,Sector,Industry
0,Apple Inc.,$2.825 T,AAPL,United States,Technology,Consumer Electronics
1,Microsoft Corporation,$2.328 T,MSFT,United States,Technology,Software—Infrastructure
2,Saudi Arabian Oil Company,$2.297 T,2222,Saudi Arabia,Energy,Oil & Gas Integrated
3,Alphabet Inc.,$1.825 T,GOOG,United States,Communication Services,Internet Content & Information
4,"Amazon.com, Inc.",$1.642 T,AMZN,United States,Consumer Discretionary,Internet Retail
5,"Tesla, Inc.",$1.016 T,TSLA,United States,Consumer Discretionary,Auto Manufacturers
6,Berkshire Hathaway Inc.,$798.47 B,BRK.A,United States,Financials,Financial Conglomerates
7,Nvidia Corporation,$660.38 B,NVDA,United States,Technology,Semiconductors
8,"Meta Platforms, Inc.",$617.50 B,META,United States,Communication Services,Internet Content & Information
9,Taiwan Semiconductor Manufacturing Company Limited,$527.89 B,2330,Taiwan,Technology,Semiconductors
10,UnitedHealth Group Incorporated,$488.52 B,UNH,United States,Healthcare,Healthcare Plans
11,Visa Inc.,$486.77 B,V,United States,Financials,Credit Services
12,Johnson & Johnson,$475.93 B,JNJ,United States,Healthcare,Drug Manufacturers—General
13,Tencent Holdings Ltd,$441.17 B,0700,China,Communication Services,Internet Content & Information
14,Walmart Inc.,$429.05 B,WMT,United States,Consumer Staples,Discount Stores
15,JPMorgan Chase & Co.,$410.84 B,JPM,United States,Financials,Banks
16,The Procter & Gamble Company,$384.60 B,PG,United States,Consumer Staples,Household & Personal Products
17,"Samsung Electronics Co., Ltd.",$378.35 B,005930,South Korea,Technology,Consumer Electronics
18,"LVMH Moët Hennessy - Louis Vuitton, SE",$359.26 B,MC,France,Consumer Discretionary,Luxury Goods
19,Mastercard Incorporated,$358.60 B,MA,United States,Financials,Credit Services
20,Bank of America Corporation,$350.84 B,BAC,United States,Financials,Banks
21,Roche Holding AG,$349.50 B,ROG,Switzerland,Healthcare,Drug Manufacturers—General
22,Exxon Mobil Corporation,$348.72 B,XOM,United States,Energy,Oil & Gas Integrated
23,Kweichow Moutai Co. Ltd,$348.22 B,600519,China,Consumer Staples,Beverages—Wineries & Distilleries
24,"The Home Depot, Inc.",$321.47 B,HD,United States,Consumer Discretionary,Home Improvement Retail
25,Chevron Corporation,$315.13 B,CVX,United States,Energy,Oil & Gas Integrated
26,Pfizer Inc.,$300.79 B,PFE,United States,Healthcare,Drug Manufacturers—General
27,AbbVie Inc.,$294.27 B,ABBV,United States,Healthcare,Drug Manufacturers—General
28,Alibaba Group Holding Limited,$290.40 B,9988,China,Consumer Discretionary,Internet Retail
29,ASML Holding N.V.,$274.35 B,ASML,Netherlands,Technology,Semiconductor Equipment & Materials
30,The Coca-Cola Company,$273.20 B,KO,United States,Consumer Staples,Beverages—Non-Alcoholic
31,Eli Lilly and Company,$273.01 B,LLY,United States,Healthcare,Drug Manufacturers—General
32,Broadcom Inc.,$265.27 B,AVGO,United States,Technology,Semiconductors
33,Costco Wholesale Corporation,$258.15 B,COST,United States,Consumer Staples,Discount Stores
34,Novo Nordisk A/S,$257.24 B,NOVO.B,Denmark,Healthcare,Biotechnology
35,Industrial & Commercial Bank of China Ltd,$250.37 B,601398,China,Financials,Banks
36,The Walt Disney Company,$247.88 B,DIS,United States,Communication Services,Entertainment
37,"PepsiCo, Inc.",$241.05 B,PEP,United States,Consumer Staples,Beverages—Non-Alcoholic
38,"Cisco Systems, Inc.",$238.45 B,CSCO,United States,Technology,Communication Equipment
39,Thermo Fisher Scientific Inc.,$236.15 B,TMO,United States,Healthcare,Diagnostics & Research
40,Oracle Corporation,$228.18 B,ORCL,United States,Technology,Software—Infrastructure
41,L'Oréal SA,$225.24 B,OR,France,Consumer Staples,Household & Personal Products
42,Accenture plc,$219.03 B,ACN,Ireland,Technology,Information Technology Services
43,Comcast Corporation,$218.90 B,CMCSA,United States,Communication Services,Entertainment
44,Verizon Communications Inc.,$216.68 B,VZ,United States,Communication Services,Telecom Services
45,Abbott Laboratories,$215.02 B,ABT,United States,Healthcare,Medical Devices
46,"Nike, Inc.",$213.60 B,NKE,United States,Consumer Discretionary,Footwear & Accessories
47,BHP Group,$211.25 B,BHP,Australia,Basic Materials,Other Industrial Metals & Mining
48,"Merck & Co., Inc.",$210.38 B,MRK,United States,Healthcare,Drug Manufacturers—General
49,Danaher Corporation,$208.03 B,DHR,United States,Healthcare,Diagnostics & Research
50,Shell plc,$207.68 B,SHEL,United Kingdom,Energy,Oil & Gas Integrated
