link,name,industry,founded,country,ceo,employees,revenue
https://www.forbes.com/companies/berkshire-hathaway,Berkshire Hathaway,Diversified Financials,1939,United States,Warren Edward Buffett,"372,000",$276.1B
https://www.forbes.com/companies/icbc,ICBC,Banking,1984,China,Shu Gu,"434,089",$208.1B
https://www.forbes.com/companies/saudi-arabian-oil-company-saudi-aramco,Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,1933,Saudi Arabia,Amin bin Hasan Al-Nasser,"68,493",$400.4B
https://www.forbes.com/companies/jpmorgan-chase,JPMorgan Chase,Banking and Financial Services,2000,United States,Jamie Dimon,"270,000",$124.5B
https://www.forbes.com/companies/china-construction-bank,China Construction Bank,Banking,2014,China,Wang Zuji,"349,671",$202.1B
https://www.forbes.com/companies/amazon,Amazon,Retail and Wholesale,1994,United States,Andy Jassy,"1,608,000",$469.8B
https://www.forbes.com/companies/apple,Apple,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1976,United States,Tim Cook,"154,000",$378.7B
https://www.forbes.com/companies/agricultural-bank-of-china,Agricultural Bank of China,Banking,1979,China,Not found,"455,174",$181.4B
https://www.forbes.com/companies/bank-of-america,Bank of America,Banking and Financial Services,1904,United States,Brian Moynihan,"166,400",$96.8B
https://www.forbes.com/companies/toyota-motor,Toyota Motor,Consumer Durables,1937,Japan,Akio Toyoda,"366,283",$281.7B
https://www.forbes.com/companies/alphabet,Alphabet,"IT, Internet, Software & Services",1998,United States,Sundar Pichai,"156,500",$257.5B
https://www.forbes.com/companies/microsoft,Microsoft,"IT, Internet, Software & Services",1975,United States,Satya Nadella,"103,000",$184.9B
https://www.forbes.com/companies/bank-of-china,Bank of China,Banking,1929,China,Wang Jiang,"306,322",$152.4B
https://www.forbes.com/companies/samsung-electronics,Samsung Group,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1969,South Korea,Jay Y. Lee,"266,673",$244.2B
https://www.forbes.com/companies/exxon-mobil,ExxonMobil,Oil & Gas Operations,1999,United States,Darren W. Woods,"63,000",$280.5B
https://www.forbes.com/companies/shell,Shell,"Construction, Oil & Gas Operations, Mining and Chemicals",1907,United Kingdom,Bernardus van Beurden,"82,000",$261.8B
https://www.forbes.com/companies/ping-an-insurance,Ping An Insurance Group,Insurance,1988,China,Yonglin Xie Sin Yin Tan,"355,982",$181.4B
https://www.forbes.com/companies/wells-fargo,Wells Fargo,Banking,1852,United States,Charles William Scharf,"247,848",$84.1B
https://www.forbes.com/companies/verizon-communications,Verizon Communications,"Telecommunications Services, Cable Supplier",1983,United States,Hans Vestberg,"118,400",$134.3B
https://www.forbes.com/companies/att,AT&T,Telecommunications Services,1876,United States,John Stankey,"203,000",$163B
https://www.forbes.com/companies/petrochina,PetroChina,Oil & Gas Operations,1999,China,Yi Lin Wang,"476,223",$380.3B
https://www.forbes.com/companies/unitedhealth-group,UnitedHealth Group,Insurance,1977,United States,Andrew Witty,"360,000",$297.6B
https://www.forbes.com/companies/walmart,Walmart,Retailing,1962,United States,C. Douglas McMillon,"2,300,000",$572.8B
https://www.forbes.com/companies/china-merchants-bank,China Merchants Bank,Banking,1987,China,Miao Jianmin,"103,669",$71.1B
https://www.forbes.com/companies/volkswagen-group,Volkswagen Group,Consumer Durables,1937,Germany,Herbert Diess,"672,789",$295.7B
https://www.forbes.com/companies/chevron,Chevron,"Construction, Oil & Gas Operations, Mining and Chemicals",1879,United States,Michael K. Wirth,"23,729",$156.3B
https://www.forbes.com/companies/citigroup,Citigroup,Banking and Financial Services,1812,United States,Jane Fraser,"223,400",$79.9B
https://www.forbes.com/companies/tencent-holdings,Tencent Holdings,IT Software & Services,1998,China,Hua Teng Ma,"112,771",$86.9B
https://www.forbes.com/companies/total,Total,Oil & Gas Operations,1924,France,Patrick Pouyanné,"101,309",$185.1B
https://www.forbes.com/companies/postal-savings-bank-of-china,Postal Savings Bank Of China (PSBC),Banking,1919,China,Xue Wen Zhang,"193,946",$77.6B
https://www.forbes.com/companies/china-mobile,China Mobile,Telecommunications Services,1997,Hong Kong,Xin Dong,"449,934",$131.5B
https://www.forbes.com/companies/comcast,Comcast,Media & Advertising,1963,United States,Brian L. Roberts,"132,300",$116.4B
https://www.forbes.com/companies/alibaba-group,Alibaba Group,Retailing,1999,China,Yong Zhang,"251,462",$129.8B
https://www.forbes.com/companies/meta-platforms,Meta Platforms,"IT, Internet, Software & Services",2004,United States,Mark Elliot Zuckerberg,"71,970",$117.9B
https://www.forbes.com/companies/allianz,Allianz,Insurance,1890,Germany,Oliver Bäte,"155,411",$138.6B
https://www.forbes.com/companies/morgan-stanley,Morgan Stanley,Diversified Financials,1924,United States,James P. Gorman,"74,814",$60.2B
https://www.forbes.com/companies/goldman-sachs-group,Goldman Sachs Group,Diversified Financials,1869,United States,David Michael Solomon,"43,900",$62.8B
https://www.forbes.com/companies/hsbc-holdings,HSBC Holdings,Banking,1865,United Kingdom,Noel Paul Quinn,"220,000",$59.3B
https://www.forbes.com/companies/bnp-paribas,BNP Paribas,Banking,1953,France,Jean-Laurent Bonnafé,"205,771",$127.4B
https://www.forbes.com/companies/johnson-johnson,Johnson & Johnson,Drugs & Biotechnology,1886,United States,Joaquin Duato,"130,000",$94.9B
https://www.forbes.com/companies/mercedes-benz-group,Mercedes-Benz Group,Consumer Durables,1883,Germany,Ola Källenius,"172,425",$178.9B
https://www.forbes.com/companies/cvs-health,CVS Health,Retailing,1963,United States,Karen S. Lynch,"300,000",$292B
https://www.forbes.com/companies/pfizer,Pfizer,Drugs & Biotechnology,1849,United States,Albert Bourla,"29,000",$81.5B
https://www.forbes.com/companies/softbank,Softbank,Telecommunications Services,1981,Japan,Masayoshi Son,"58,786",$96.9B
https://www.forbes.com/companies/sinopec,Sinopec,Oil & Gas Operations,2000,China,Fu Chengyu,"385,691",$384.8B
https://www.forbes.com/companies/rbc,RBC,Banking and Financial Services,1864,Canada,David Ian McKay,"89,000",$45.2B
https://www.forbes.com/companies/nestle,Nestlé,"Food, Drink & Tobacco",1866,Switzerland,Ulf Mark Schneider,"276,000",$95.3B
https://www.forbes.com/companies/axa-group,AXA Group,Insurance,1816,France,Thomas Buberl,"110,477",$145.2B
https://www.forbes.com/companies/gazprom,Gazprom,Oil & Gas Operations,1989,Russia,Alexei Borisovich Miller,"477,600",$117.3B
https://www.forbes.com/companies/bp,BP,Oil & Gas Operations,1909,United Kingdom,Bernard Looney,"65,900",$158B
https://www.forbes.com/companies/intel,Intel,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1968,United States,Patrick Gelsinger,"121,100",$79B
https://www.forbes.com/companies/td-bank-group,TD Bank Group,Banking and Financial Services,1855,Canada,Bharat B. Masrani,"90,000",$38.5B
https://www.forbes.com/companies/nippon-tel-tel,Nippon Telegraph & Tel,Telecommunications Services,1952,Japan,Jun Sawada,"324,667",$110.4B
https://www.forbes.com/companies/reliance-industries,Reliance Industries,Oil & Gas Operations,1973,India,Mukesh Dhirubhai Ambani,"236,334",$86.9B
https://www.forbes.com/companies/industrial-bank,Industrial Bank ,Banking,1988,China,Yiping Tao,"62,537",$60.5B
https://www.forbes.com/companies/sony,Sony,Consumer Durables,1960,Japan,Kenichiro Yoshida,"109,700",$89.9B
https://www.forbes.com/companies/santander,Santander,Banking and Financial Services,1857,Spain,José Antonio Álvarez,"200,651",$78.2B
https://www.forbes.com/companies/mitsubishi-ufj-financial,Mitsubishi UFJ Financial,Banking,2005,Japan,Hironori Kamezawa,"138,161",$48.3B
https://www.forbes.com/companies/taiwan-semiconductor,Taiwan Semiconductor,Semiconductors,1987,Taiwan,Che Chia Wei,"65,152",$61.5B
https://www.forbes.com/companies/ford-motor,Ford Motor,Automotive (Automotive and Suppliers),1903,Canada,James D. Farley Jr.,"183,000",$136.3B
https://www.forbes.com/companies/lvmh-moet-hennessy-louis-vuitton,LVMH Moët Hennessy Louis Vuitton,"Clothing, Shoes, Sports Equipment",1987,France,Bernard Arnault,"175,000",$75.9B
https://www.forbes.com/companies/bank-of-communications,Bank of Communications,Banking,1908,China,Ren Deqi,"90,238",$76B
https://www.forbes.com/companies/procter-gamble,Procter & Gamble,Packaged Goods,1837,United States,Jon R. Moeller,"26,000",$79.6B
https://www.forbes.com/companies/bmw-group,BMW Group,Consumer Durables,1916,Germany,Oliver Zipse,"118,909",$131.5B
https://www.forbes.com/companies/petrobras,Petrobras,Oil & Gas Operations,1953,Brazil,José Mauro Ferreira,"45,532",$83.9B
https://www.forbes.com/companies/deutsche-telekom,Deutsche Telekom,"Telecommunications Services, Cable Supplier",1995,Germany,Timotheus Höttges,"217,000",$128.6B
https://www.forbes.com/companies/abbvie,AbbVie,Drugs & Biotechnology,2013,United States,Richard A. Gonzalez,"50,000",$56.2B
https://www.forbes.com/companies/novartis,Novartis,Drugs & Biotechnology,1996,Switzerland,Vasant Narasimhan,"108,000",$51.6B
https://www.forbes.com/companies/general-motors,General Motors,Automotive (Automotive and Suppliers),1908,United States,Mary T. Barra,"94,448",$127B
