name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
Swappie,Finland,Technology,97611814,507000,218,1,2016
Kilo Health,Lithuania,Health,57318766,344428,177,10,2013
OCI,UK,Financial Services,568322073,4325512,32,4,2012
OnlyFans,UK,Technology,316732986,2652185,800,4,2016
Enpal,Germany,Energy,56109613,486165,365,9,2017
MR Consulting,Germany,Waste management & recycling,13165586,150908,9,2,2017
Thriva,UK,Health,18732563,251668,57,12,2015
Exotec,France,Industrial Goods,47597000,706700,200,15,2015
Winelivery,Italy,Ecommerce,7337290,111500,10,1,2015
Instabox,Sweden,Technology,24484879,392055,117,5,2015
Waterdrop,Austria,Food & Beverage,41205930,680197,180,12,2016
One Lease,France,Support Services,9015211,153046,11,2,2016
Datlas*,Italy,Technology,9034926,155406,251,13,2017
Zego,UK,Fintech,12158046,229201,224,36,2016
HCL-Logistics,Germany,Transport,11387156,238118,24,5,2017
Popsa,UK,Technology,21455864,454975,34,4,2016
Unit8,Switzerland,Technology,7234981,149397,41,2,2017
Luoto Company,Finland,Technology,14338668,325585,49,6,2016
Journi Print,Austria,Ecommerce,6851839,160624,29,9,2014
Portify,France,Support Services,11583215,274575,228,23,2017
Tibber,Norway,Energy,30886935,782918,45,8,2015
Rascal Industry,Poland,Fashion,9008822,238451,18,6,2013
Pegaso Security,Italy,Support Services,8375180,207120,509,20,2017
Tide,UK,Fintech,16136633,416562,581,72,2016
Euro Top Brand,Italy,Retail,13888900,363010,1,1,2017
Bold Security Group,UK,Support Services,6238378,181772,26,6,2011
Play Magnus Group,Norway,Games industry,6461790,214673,140,10,2013
Blue Whale Growth Fund,UK,Financial Services,5189391,170950,7,1,2016
Kazidomi,Belgium,Ecommerce,8042499,263663,65,3,2016
Sun Finance,Latvia,Fintech,121306296,4044537,800,90,2012
Credimi,Italy,Financial Services,11301520,381830,56,21,2015
SIRPLUS,Germany,Retail,4540000,155043,133,8,2017
AIHR | Academy to Innovate HR,The Netherlands,Education,3584553,125682,31,6,2016
Logistics Capital Partners (LCP),Luxembourg,Property,210563743,7403458,27,9,2015
Südwest Invest,Germany,Property,5820402,210820,10,2,2017
CORADE (Plurimmo),France,Property,56018731,2039961,7,7,2000
Carranco,Spain,Food & Beverage,4176440,155310,5,4,2006
Telemedi,Poland,Health,4452513,182100,50,10,2014
Inkitt,Germany,Technology,5926970,229713,56,22,2014
