id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
d60823f20d864692b517a8ad6c1418ed,Enel Spa,"VIALE REGINA MARGHERITA 137, ROMA, 00198, ROMA, ITALY",IT00934061003,H-IT0031426662,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1962
c7856532ca8b4dd286a9602c77221035,Esselunga Spa,"VIA GIAMBOLOGNA 1, PIOLTELLO, 20096, MILANO, ITALY",IT04916380159,H-IT0068388950,Retail Trade,Ret mail-order house (5961),Corporation,1957
e8e04ae3e4594e3b836e62077155b19a,Superit Srl,"VIA VITTOR PISANI 20, MILANO, 20124, MILANO, ITALY",IT11068950960,H-IT0289899385,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2019
37290f39faa54935813c0c6f840d7353,Saras Spa,"GALLERIA PASSARELLA 2, MILANO, 20122, MILANO, ITALY",IT00136440922,H-IT0018414451,Manufacturing,Petroleum refiner (2911),Corporation,1962
bb3a80a40f704c688f804f627667fd31,Unicredit Spa,"PIAZZA GAE AULENTI 3 TOWER A, MILANO, 20154, MILANO, ITALY",IT00348170101,H-IT0009571558,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1870
4883354f373d44a292f4a65e1bfcc713,Send To Me Srl,"VIALE UNGHERIA 46, MILANO, 20138, MILANO, ITALY",IT11386820960,H-IT0587927934,Services,Computer related services (7379),Corporation,2020
74c186ec773c4e51be51af78f8c2677f,Intesa Sanpaolo Vita Spa,"CORSO INGHILTERRA 3, TORINO, 10138, TORINO, ITALY",IT02505650370,H-IT0075504235,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1980
ced3963e442b46ddb59a19c8a6657673,Unipolsai Assicurazioni Spa,"VIA STALINGRADO 45, BOLOGNA, 40128, BOLOGNA, ITALY",IT00818570012,H-IT0009030107,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1921
ee1d7d948fe14782af9e862a4168657e,Totalenergies Petrochemicals & Refining Sa Nv,"VIA ROMBON 11, MILANO, 20134, MILANO, ITALY",IT04488120967,H-IT0074190970,Wholesale Trade,Whol chemicals/products (5169),Foreign Company,2004
c16581f085eb47f2acc45d01ac375d83,Sanastera Spa,"PIAZZA MINGHETTI 4/D, BOLOGNA, 40124, BOLOGNA, ITALY",IT02755811201,H-IT0002023660,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2007
