name,world_rank,marketValue,marketCap,CEO,country
APPLE,1,"2,825.000 Billion USD","2,510.000 Billion USD",Tim Cook,USA
MICROSOFT CORPORATION,2,"2,358.000 Billion USD","2,269.000 Billion USD",,USA
SAUDI ARABIAN OIL COMPANY (Saudi Aramco),3,"1,889.600 Billion USD","1,891.600 Billion USD",H.E. Yasir Othman Al-Rumayyan,Saudi Arabia
ALPHABET,4,"1,820.000 Billion USD","1,934.000 Billion USD",John L. Hennessy,USA
AMAZON.COM,5,"1,649.000 Billion USD","1,758.000 Billion USD",Andy Jassy,USA
TESLA,6,"1,031.000 Billion USD",737.020 Billion USD,Elon Musk,USA
META PLATFORMS,7,922.960 Billion USD,"1,070.000 Billion USD",Mark Zuckerberg,USA
BERKSHIRE HATHAWAY,8,711.750 Billion USD,646.790 Billion USD,Warren Buffett,USA
NVIDIA CORPORATION,9,679.000 Billion USD,557.830 Billion USD,Jensen Huang,USA
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),10,640.480 Billion USD,617.200 Billion USD,Mark Liu,Taiwan
TOYOTA MOTOR CORPORATION,31,276.740 Billion USD,244.750 Billion USD,,Japan
COCA-COLA COMPANY,32,260.590 Billion USD,243.070 Billion USD,James Quincey,USA
CISCO SYSTEMS,33,257.820 Billion USD,248.720 Billion USD,Chuck Robbins,USA
BROADCOM,34,255.630 Billion USD,203.990 Billion USD,Henry Samueli,USA
PROSUS,35,254.550 Billion USD,283.050 Billion USD,,Netherlands
ICBC,36,252.550 Billion USD,244.010 Billion USD,Chen Siqing,China
L'OREAL,37,249.140 Billion USD,262.430 Billion USD,,France
NIKE,38,248.460 Billion USD,260.800 Billion USD,Mark Parker,USA
ELI LILLY AND COMPANY,39,248.240 Billion USD,247.070 Billion USD,Juan R. Luciano,USA
ADOBE,40,242.990 Billion USD,316.190 Billion USD,Shantanu Narayen,USA
TENCENT,11,545.360 Billion USD,609.440 Billion USD,Ma Huateng,China
J P MORGAN CHASE & CO,12,494.000 Billion USD,477.960 Billion USD,William B. Harrison Jr.,USA
VISA,13,471.630 Billion USD,502.740 Billion USD,Alfred F Kelly Jr,USA
JOHNSON & JOHNSON,14,457.940 Billion USD,455.760 Billion USD,William C. Weldon,USA
SAMSUNG ELECTRONICS,15,438.840 Billion USD,444.460 Billion USD,Lee Kun-hee,South Korea
UNITEDHEALTH GROUP,16,431.930 Billion USD,392.510 Billion USD,Andrew Witty,USA
HOME DEPOT,17,411.020 Billion USD,345.210 Billion USD,Frank Blake,USA
LVMH,18,409.480 Billion USD,380.100 Billion USD,Bernard Arnault,France
BANK OF AMERICA CORPORATION,19,402.490 Billion USD,351.320 Billion USD,Brian Moynihan,USA
WALMART,20,401.910 Billion USD,415.000 Billion USD,Doug McMillon,USA
PROCTER & GAMBLE COMPANY,21,393.820 Billion USD,345.770 Billion USD,Jon R. Moeller,USA
KWEICHOW MOUTAI,22,382.350 Billion USD,305.700 Billion USD,Li Bao Fang,China
NESTLE AG,23,372.720 Billion USD,348.550 Billion USD,Suresh Narayanan,Switzerland
MASTERCARD,24,363.200 Billion USD,341.650 Billion USD,Michael Miebach,USA
ROCHE HOLDING AG,25,356.150 Billion USD,350.650 Billion USD,Christoph Franz,Switzerland
ALIBABA GROUP HOLDING,26,351.900 Billion USD,453.300 Billion USD,Daniel Zhang,China
PFIZER,27,312.750 Billion USD,258.300 Billion USD,Albert Bourla,USA
ASML HOLDING,28,307.330 Billion USD,341.360 Billion USD,Gerard Kleisterlee,Netherlands
EXXON MOBIL CORPORATION,29,291.610 Billion USD,230.810 Billion USD,Darren W. Woods,USA
THE WALT DISNEY COMPANY,30,286.880 Billion USD,329.450 Billion USD,Susan Arnold,USA
QUALCOMM,60,202.060 Billion USD,165.470 Billion USD,Paul E. Jacobs,USA
NOVARTIS AG,61,201.260 Billion USD,206.760 Billion USD,Joerg Reinhardt,Switzerland
CHINA MERCHANTS BANK,62,199.860 Billion USD,198.770 Billion USD,MIAO Jianmin,China
MCDONALD'S CORPORATION,63,199.560 Billion USD,177.340 Billion USD,Enrique Hernandez,USA
CONTEMPORARY AMPEREX TECHNOLOGY,64,197.130 Billion USD,170.700 Billion USD,Ying Ming Wu,China
TATA CONSULTANCY SERVICES (TCS),65,193.870 Billion USD,195.160 Billion USD,,India
UNITED PARCEL SERVICE (UPS),66,189.610 Billion USD,170.400 Billion USD,William R. Johnson,USA
AT&T,67,187.740 Billion USD,195.780 Billion USD,Edward Whitacre Jr.,USA
MORGAN STANLEY,68,186.710 Billion USD,190.540 Billion USD,James P. Gorman,USA
CHINA CONSTRUCTION BANK CORPORATION,69,182.170 Billion USD,186.030 Billion USD,Tian Guoli,China
ROYAL DUTCH SHELL,70,181.560 Billion USD,155.530 Billion USD,,Netherlands
ASTRAZENECA,71,178.120 Billion USD,181.450 Billion USD,,UK
THE CHARLES SCHWAB CORPORATION,72,173.440 Billion USD,137.540 Billion USD,Charles R. Schwab,USA
HERMES INTERNATIONAL,73,172.040 Billion USD,155.710 Billion USD,,France
LINDE AG,74,171.940 Billion USD,162.340 Billion USD,,UK
NEXTERA ENERGY,75,169.550 Billion USD,164.770 Billion USD,James L Robo,USA
LOWE'S COMPANIES,76,169.170 Billion USD,141.940 Billion USD,Marvin Ellison,USA
TEXAS INSTRUMENTS,77,165.720 Billion USD,176.730 Billion USD,Thomas J Engibous,USA
UNION PACIFIC CORPORATION,78,163.790 Billion USD,141.410 Billion USD,Lance M. Fritz,USA
BHP GROUP,79,162.910 Billion USD,167.240 Billion USD,,Australia
CHEVRON CORPORATION,41,241.020 Billion USD,187.140 Billion USD,mike wirth,USA
PEPSICO,42,240.690 Billion USD,216.150 Billion USD,Ramon L. Laguarta,USA
ABBOTT LABORATORIES,43,239.710 Billion USD,224.030 Billion USD,Robert Ford,USA
NETFLIX,44,239.660 Billion USD,251.920 Billion USD,Reed Hastings,USA
TATA GROUP,44,44,,Ratan N Tata,India
THERMO FISHER SCIENTIFIC,45,239.220 Billion USD,219.270 Billion USD,Marc N. Casper,USA
ABBVIE,46,238.450 Billion USD,213.440 Billion USD,Richard A. Gonzalez,USA
COSTCO WHOLESALE CORPORATION,47,237.760 Billion USD,201.360 Billion USD,Hamilton E. James,USA
ACCENTURE,48,234.500 Billion USD,213.430 Billion USD,Pierre Nanterme,Ireland
ORACLE CORPORATION,49,233.690 Billion USD,249.740 Billion USD,Larry Ellison,USA
SAP SE,80,162.540 Billion USD,178.440 Billion USD,Hasso Plattner,Germany
TORONTO-DOMINION BANK,90,144.320 Billion USD,118.220 Billion USD,Brian M. Levitt,Canada
