Name,Industry,Sector,Headquarters,Founded
3H Biomedical,Health care,Biotechnology,Uppsala,2004
AarhusKarlshamn,Consumer goods,Food products,Malmö,2005
Abba Seafood,Consumer goods,Food products,Gothenburg,1883
ABU Garcia,Consumer goods,Recreational products,Svängsta,1921
Acando,Technology,Software,Stockholm,2001
Acast,Technology,Software,Stockholm,2014
Acne Studios,Consumer goods,Clothing & accessories,Stockholm,1997
ÅF,Industrials,Business support services,Stockholm,1895
AGA,Oil & gas,Exploration & production,Luleå,1904
Åhléns,Consumer services,Broadline retailers,Stockholm,1899
Alfa Laval,Industrials,Industrial machinery,Lund,1883
Alfdex,Industrials,Industrial machinery,Landskrona,2002
AP&T,Industrials,Industrial machinery,Ulricehamn,1989
Apoteket,Health care,Pharmaceuticals,Stockholm,1970
Aptilo Networks,Telecommunications,Mobile telecommunications,Stockholm,2001
Arcam,Industrials,Industrial suppliers,Mölndal,1997
ASEA,Industrials,Diversified industrials,Västerås,1883
ABB,Industrials,Industrial machinery,Västerås,1988
Assa Abloy,Industrials,Industrial suppliers,Stockholm,1994
Astra AB,Health care,Pharmaceuticals,Södertälje,1913
Atlas Copco,Industrials,Diversified industrials,Nacka,1873
Atlet,Industrials,Commercial vehicles & trucks,Mölnlycke,1958
Autoliv,Industrials,Business support services,Stockholm,1997
Avalanche Studios,Technology,Software,Stockholm,2003
Avanza,Financials,Investment services,Stockholm,1999
Axel Johnson,Conglomerates,-,Stockholm,1873
Axel Johnson Group,Conglomerates,-,Stockholm,1873
Axfood,Consumer services,Food retailers & wholesalers,Stockholm,1964
Axis Communications,Technology,Computer hardware,Lund,1984
BAE Systems,Industrials,Defense,Örnsköldsvik,2006
Bahco,Industrials,Diversified industrials,Enköping,1886
Bahnhof,Telecommunications,Fixed line telecommunications,Stockholm,1994
Ballograf,Consumer goods,Nondurable household products,Gothenburg,1945
Berg Propulsion,Industrials,Industrial machinery,Gothenburg,1912
Betsson,Consumer services,Gambling,Stockholm,1963
Biacore,Health care,Biotechnology,Uppsala,1984
BillerudKorsnäs,Basic materials,Paper,Solna,2012
Bindomatic,Industrials,Industrial suppliers,Stockholm,1974
BioGaia,Health care,Pharmaceuticals,Stockholm,1990
Björn Borg,Consumer goods,Clothing & accessories,Stockholm,2004
Bofors,Industrials,Defense,Karlskoga,1873
Boghammar Marin AB,Industrials,Commercial vehicles & trucks,Lidingö,1906
Boliden,Basic materials,General mining,Stockholm,1931
Bolinder-Munktell,Industrials,Commercial vehicles & trucks,Eskilstuna,1932
Bona AB,Industrials,Building materials & fixtures,Malmö,1919
Bonnier Group,Consumer services,Broadcasting & entertainment,Stockholm,1804
Braathens Regional Aviation,Consumer services,Airlines,Malmö,1981
Bredbandsbolaget,Telecommunications,Fixed line telecommunications,Stockholm,1998
Brio,Consumer goods,Toys,Malmö,1884
Bure Equity,Financials,Investment services,Stockholm,1992
Camfil,Industrials,Industrial machinery,Stockholm,1963
Carnegie Investment Bank,Financials,Investment services,Stockholm,1803
Casino Cosmopol,Consumer services,Gambling,Stockholm,1999
