,name,market_capitalization_USD,price,country
0,Apple,2062000000000,130,USA
1,Saudi Aramco,1848000000000,8,S. Arabia
2,Microsoft,1676000000000,225,USA
3,Alphabet (Google),1137000000000,88,USA
4,Amazon,878160000000,86,USA
5,Berkshire Hathaway,702840000000,319,USA
6,Johnson & Johnson,471260000000,180,USA
7,Visa,461110000000,218,USA
8,UnitedHealth,457830000000,490,USA
9,Exxon Mobil,455190000000,111,USA
10,Tencent,436090000000,46,China
11,TSMC,404870000000,78,Taiwan
12,JPMorgan Chase,404600000000,138,USA
13,LVMH,400240000000,788,France
14,Walmart,395830000000,147,USA
15,NVIDIA,370280000000,149,USA
16,Procter & Gamble,364740000000,154,USA
17,Tesla,357010000000,113,USA
18,Mastercard,353500000000,368,USA
19,Eli Lilly,344850000000,363,USA
20,Chevron,341400000000,177,USA
21,Meta Platforms (Facebook),340930000000,130,USA
22,Kweichow Moutai,329340000000,262,China
23,Nestlé,326280000000,119,Switzerland
24,Home Depot,323620000000,318,USA
25,Novo Nordisk,311970000000,139,Denmark
26,Samsung,311550000000,46,S. Korea
27,AbbVie,294540000000,167,USA
28,Merck,291160000000,115,USA
29,Pfizer,285820000000,51,USA
30,Alibaba,284340000000,107,China
31,Bank of America,276050000000,34,USA
32,Coca-Cola,274170000000,63,USA
33,Roche,258320000000,314,Switzerland
34,Pepsico,249500000000,181,USA
35,Broadcom,245890000000,588,USA
36,ASML,240640000000,596,Netherlands
37,Oracle,230960000000,86,USA
38,AstraZeneca,219450000000,71,UK
39,ICBC,214970000000,1,China
40,Costco,214260000000,483,USA
41,Thermo Fisher Scientific,209820000000,535,USA
42,Reliance Industries,207930000000,31,India
43,Shell,206370000000,57,UK
44,L'Oréal,203250000000,378,France
45,Novartis,199600000000,92,Switzerland
46,Cisco,198500000000,48,USA
47,McDonald,197360000000,269,USA
48,Abbott Laboratories,195850000000,112,USA
49,Nike,194830000000,125,USA
50,Toyota,191820000000,139,Japan
51,T-Mobile US,184840000000,149,USA
52,Danaher,183800000000,252,USA
53,Verizon,177190000000,42,USA
