,Name,MasterCap,Country,Industry,Sector
0,Shell plc,$207.68 B,United Kingdom,Oil & Gas Integrated,Energy
1,AstraZeneca plc,$201.75 B,United Kingdom,Drug ManufacturersGeneral,Healthcare
2,Linde plc,$166.07 B,United Kingdom,Specialty Chemicals,Basic Materials
3,HSBC Holdings plc,$140.15 B,United Kingdom,Banks,Financials
4,Rio Tinto Group,$125.84 B,United Kingdom,Other Industrial Metals & Mining,Basic Materials
5,Unilever plc,$117.84 B,United Kingdom,Household & Personal Products,Consumer Staples
6,Diageo plc,$115.58 B,United Kingdom,BeveragesWineries & Distilleries,Consumer Staples
7,GlaxoSmithKline plc,$109.98 B,United Kingdom,Drug ManufacturersGeneral,Healthcare
8,British American Tobacco plc,$101.44 B,United Kingdom,Tobacco,Consumer Staples
9,BP plc,$96.24 B,United Kingdom,Oil & Gas Integrated,Energy
10,Aon Plc,$73.33 B,United Kingdom,Insurance Brokers,Financials
11,Anglo American plc,$71.48 B,United Kingdom,Other Industrial Metals & Mining,Basic Materials
12,Reckitt Benckiser Group plc,"(March 13, 2021)",United Kingdom,Household & Personal Products,Consumer Staples
13,RELX plc,$58.53 B,United Kingdom,Publishing,Communication Services
14,IHS Markit Ltd.,"(Jan. 1, 2022)",United Kingdom,Consulting Services,Industrials
15,National Grid plc,$55.88 B,United Kingdom,UtilitiesDiversified,Utilities
16,London Stock Exchange Group plc,$53.33 B,United Kingdom,Financial Data & Stock Exchanges,Financials
17,General Accident plc,$51.43 B,United Kingdom,InsuranceProperty & Casualty,Financials
18,Vodafone Group plc,$45.74 B,United Kingdom,Telecom Services,Communication Services
19,Lloyds Banking Group plc,$43.70 B,United Kingdom,Banks,Financials
20,Prudential plc,$39.00 B,United Kingdom,InsuranceLife,Financials
21,Compass Group plc,$37.73 B,United Kingdom,Restaurants,Consumer Discretionary
22,NatWest Group plc,$32.72 B,United Kingdom,Banks,Financials
23,Barclays plc,$32.19 B,United Kingdom,Banks,Financials
24,Ferguson plc,$30.52 B,United Kingdom,Industrial Distribution,Industrials
25,BAE Systems plc,$30.51 B,United Kingdom,Aerospace & Defense,Industrials
26,Willis Towers Watson plc,"(Jan. 1, 2022)",United Kingdom,Insurance Brokers,Financials
27,Ashtead Group plc,$28.28 B,United Kingdom,Rental & Leasing Services,Industrials
28,Tesco plc,$28.11 B,United Kingdom,Grocery Stores,Consumer Staples
29,BT Group plc,$24.09 B,United Kingdom,Telecom Services,Communication Services
30,SSE plc,$23.73 B,United Kingdom,UtilitiesDiversified,Utilities
31,Coca-Cola Europacific Partners plc,$22.53 B,United Kingdom,BeveragesNon-Alcoholic,Consumer Staples
32,CNH Industrial N.V.,$21.93 B,United Kingdom,Farm & Heavy Construction Machinery,Industrials
33,Legal & General Group plc,$21.34 B,United Kingdom,InsuranceLife,Financials
34,SEGRO plc,$21.08 B,United Kingdom,REITIndustrial,Real Estate
35,Standard Chartered plc,$20.78 B,United Kingdom,Banks,Financials
36,Imperial Brands plc,$20.14 B,United Kingdom,Tobacco,Consumer Staples
37,Aviva plc,$19.82 B,United Kingdom,InsuranceDiversified,Financials
38,Croda International plc,"(Jan. 1, 2022)",United Kingdom,Specialty Chemicals,Basic Materials
39,Scottish Mortgage Investment Trust plc,$18.78 B,United Kingdom,Asset Management,Financials
40,Antofagasta plc,"(Jan. 1, 2022)",United Kingdom,Copper,Basic Materials
41,3i Group plc,$17.60 B,United Kingdom,Asset Management,Financials
42,Associated British Foods plc,$17.49 B,United Kingdom,Packaged Foods,Consumer Staples
43,WPP plc,$15.76 B,United Kingdom,Advertising Agencies,Communication Services
44,Smith & Nephew plc,$14.09 B,United Kingdom,Medical Devices,Healthcare
45,Liberty Global plc,$13.61 B,United Kingdom,Entertainment,Communication Services
46,Bunzl plc,$13.07 B,United Kingdom,Food Distribution,Consumer Staples
47,Rentokil Initial plc,$12.78 B,United Kingdom,Specialty Business Services,Industrials
48,InterContinental Hotels Group plc,$12.20 B,United Kingdom,Lodging,Consumer Discretionary
49,EVRAZ plc,"(Jan. 1, 2022)",United Kingdom,Steel,Basic Materials
50,Spirax-Sarco Engineering plc,$12.14 B,United Kingdom,Specialty Industrial Machinery,Industrials
51,Informa plc,$11.80 B,United Kingdom,Publishing,Communication Services
52,Ocado Group plc,$11.54 B,United Kingdom,Grocery Stores,Consumer Staples
53,Intertek Group plc,$11.03 B,United Kingdom,Consulting Services,Industrials
54,Rolls-Royce Holdings plc,$10.97 B,United Kingdom,Aerospace & Defense,Industrials
55,Schroders plc,$10.48 B,United Kingdom,Asset Management,Financials
56,NEXT plc,$10.44 B,United Kingdom,Apparel Retail,Consumer Discretionary
57,United Utilities Group plc,$10.30 B,United Kingdom,UtilitiesRegulated Water,Utilities
58,St. James's Place plc,$10.21 B,United Kingdom,Financial Conglomerates,Financials
59,Severn Trent plc,$10.12 B,United Kingdom,UtilitiesRegulated Water,Utilities
60,JD Sports Fashion plc,$10.00 B,United Kingdom,Specialty Retail,Consumer Discretionary
61,Admiral Group plc,$9.96 B,United Kingdom,InsuranceProperty & Casualty,Financials
62,The Sage Group plc,$9.83 B,United Kingdom,SoftwareApplication,Technology
63,Wm Morrison Supermarkets plc,"(Oct. 1, 2021)",United Kingdom,Grocery Stores,Consumer Staples
64,AVEVA Group plc,$9.60 B,United Kingdom,SoftwareApplication,Technology
65,Mondi plc,$9.51 B,United Kingdom,Paper & Paper Products,Basic Materials
66,Standard Life Aberdeen plc,"(March 13, 2021)",United Kingdom,Asset Management,Financials
67,Pentair plc,$9.32 B,United Kingdom,Specialty Industrial Machinery,Industrials
68,Persimmon plc,$9.07 B,United Kingdom,Residential Construction,Consumer Discretionary
69,Burberry Group plc,$8.90 B,United Kingdom,Luxury Goods,Consumer Discretionary
70,NovoCure Limited,$8.54 B,United Kingdom,Medical Instruments & Supplies,Healthcare
71,Endava plc,$8.10 B,United Kingdom,SoftwareInfrastructure,Technology
72,Phoenix Group Holdings plc,$8.10 B,United Kingdom,InsuranceLife,Financials
73,Auto Trader Group plc,$8.03 B,United Kingdom,Internet Content & Information,Communication Services
