,link,name,country,industry,revenue,employees,founded
0,https://www.greatdealscorp.com/,Great Deals E-Commerce Corp.,Philippines,Ecommerce,88.77,385,2017
1,http://www.pclchip.com/,PCL Inc.,South Korea,Pharmaceuticals,45.48,63,2008
2,https://www.spolive.com/,Spolive,South Korea,Games industry,9.49,47,2013
3,https://www.workmate.asia/,Workmate,Singapore,Support Services,12.44,82,2015
4,http://www.taimedbiologics.com/,TaiMed Biologics,Taiwan,Pharmaceuticals,24.42,78,2007
5,https://www.sciecomm.com/,SCI Ecommerce,Singapore,Ecommerce,108.46,164,2014
6,http://www.icychaya.co.th/,I-CY CHAYA ,Thailand,Food & Beverage,44.04,7,2012
7,https://www.grow.com.au/,Grow Finance,Australia,Fintech,15.02,52,2016
8,https://sambhv.com/,SAMBHV Steel,India,Industrial Goods,64.65,355,2017
9,https://www.inteluck.com/,INTELUCK,Philippines,Technology,7.06,108,2014
10,https://carro.sg/,Carro,Singapore,Technology,86.35,400,2015
11,https://www.gopizza.kr/,GOPIZZA,South Korea,Food & Beverage,6.17,101,2017
12,https://www.interviewbit.com/,Scaler by InterviewBit,India,Education,31.04,594,2016
13,https://pixiedusttech.com/,Pixie Dust Technologies,Japan,Technology,4.56,61,2017
14,http://www.kioson.com/,Kioson,Indonesia,Ecommerce,204.99,54,2015
15,https://www.sciecomm.com/,SCI Ecommerce,Singapore,Ecommerce,46.08,92,2014
16,https://www.electrickiwi.co.nz/,Electric Kiwi,New Zealand,Energy,35.63,22,2014
17,https://swappie.com/,Swappie,Finland,Technology,"97,611,814",218,2016
18,https://www.haulio.io/,Haulio,Singapore,Transport,5.62,21,2016
19,https://www.digio.in/,Digio,India,Technology,6.75,13,2016
20,https://www.skillmatics.in/,Skillmatics,India,Ecommerce,7.42,60,2016
21,http://www.strgl.co.jp/,Struggle,Japan,Sales & Marketing,24.81,40,2015
22,https://themathcompany.com/,TheMathCompany,India,Technology,7.56,285,2016
23,https://kilo.health/,Kilo Health,Lithuania,Health,"57,318,766",177,2013
24,https://www.oci-group.co.uk/,OCI,UK,Financial Services,"568,322,073",32,2012
25,https://www.roinetsolution.com/,ROINET Solution,India,Fintech,23.52,202,2012
26,https://glints.com/,Glints Intern,Singapore,Support Services,9.78,318,2013
27,https://reqrea.co.jp/,Reqrea,Japan,Property,3.36,34,2016
28,http://www.roinetsolution.com/,ROINET Solution,India,Financial Services,17.91,182,2014
29,https://www.gvm-av.com/,Global Vision Multimedia,Japan,Technology,7.18,28,2016
30,https://onlyfans.com/,OnlyFans,UK,Technology,"316,732,986",800,2016
31,https://bulb.com,Bulb Energy,UK,Energy,"1,737,586,657",575,2015
32,https://amberstudent.com/,Amberstudent,India,Property,3.64,120,2015
33,https://www.tangerinetelecom.com.au/,Tangerine Telecom,Australia,Telecoms,35.24,100,2014
