,Name,Industry,Sector,Headquarters,Founded
0,3H Biomedical,Health care,Biotechnology,Uppsala,2004
1,AarhusKarlshamn,Consumer goods,Food products,Malmö,2005
2,Abba Seafood,Consumer goods,Food products,Gothenburg,1883
3,ABU Garcia,Consumer goods,Recreational products,Svängsta,1921
4,Acando,Technology,Software,Stockholm,2001
5,Acast,Technology,Software,Stockholm,2014
6,Acne Studios,Consumer goods,Clothing & accessories,Stockholm,1997
7,ÅF,Industrials,Business support services,Stockholm,1895
8,AGA,Oil & gas,Exploration & production,Luleå,1904
9,Åhléns,Consumer services,Broadline retailers,Stockholm,1899
10,Alfa Laval,Industrials,Industrial machinery,Lund,1883
11,Alfdex,Industrials,Industrial machinery,Landskrona,2002
12,AP&T,Industrials,Industrial machinery,Ulricehamn,1989
13,Apoteket,Health care,Pharmaceuticals,Stockholm,1970
14,Aptilo Networks,Telecommunications,Mobile telecommunications,Stockholm,2001
15,Arcam,Industrials,Industrial suppliers,Mölndal,1997
16,ASEA,Industrials,Diversified industrials,Västerås,1883
17,ABB,Industrials,Industrial machinery,Västerås,1988
18,Assa Abloy,Industrials,Industrial suppliers,Stockholm,1994
19,Astra AB,Health care,Pharmaceuticals,Södertälje,1913
20,Atlas Copco,Industrials,Diversified industrials,Nacka,1873
21,Atlet,Industrials,Commercial vehicles & trucks,Mölnlycke,1958
22,Autoliv,Industrials,Business support services,Stockholm,1997
23,Avalanche Studios,Technology,Software,Stockholm,2003
24,Avanza,Financials,Investment services,Stockholm,1999
25,Axel Johnson,Conglomerates,-,Stockholm,1873
26,Axel Johnson Group,Conglomerates,-,Stockholm,1873
27,Axfood,Consumer services,Food retailers & wholesalers,Stockholm,1964
28,Axis Communications,Technology,Computer hardware,Lund,1984
29,BAE Systems,Industrials,Defense,Örnsköldsvik,2006
30,Bahco,Industrials,Diversified industrials,Enköping,1886
31,Bahnhof,Telecommunications,Fixed line telecommunications,Stockholm,1994
32,Ballograf,Consumer goods,Nondurable household products,Gothenburg,1945
33,Berg Propulsion,Industrials,Industrial machinery,Gothenburg,1912
34,Betsson,Consumer services,Gambling,Stockholm,1963
35,Biacore,Health care,Biotechnology,Uppsala,1984
36,BillerudKorsnäs,Basic materials,Paper,Solna,2012
37,Bindomatic,Industrials,Industrial suppliers,Stockholm,1974
38,BioGaia,Health care,Pharmaceuticals,Stockholm,1990
39,Björn Borg,Consumer goods,Clothing & accessories,Stockholm,2004
40,Bofors,Industrials,Defense,Karlskoga,1873
