,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev,cluster
0,00-avengers_id,0.0,1.0,0.5759596125881417,0.0,0.0,0.0,0.8485188184791342,0.0,0.0,0.0,0.0,0.0,11
1,00-avengers_name,0.0,1.0,0.255858606092286,0.21273602872752645,0.4612331609148745,0.6200698003231435,0.004042142349944851,0.0,0.0,0.0,0.0,0.0,6
2,00-avengers_rank,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5155189136760425e-09,3.4822467357394644e-07,1.6207060591426817e-15,4.02579937297263e-08,2
3,00-avengers_market_cap,0.0,0.75,0.2031945092420094,0.0011798288652305395,0.03434863702143856,0.9976821164432096,0.3900096062726881,0.0,0.0,0.0,0.0,0.0,3
4,00-avengers_country,0.0,1.0,0.08146929156895276,0.02280324634305386,0.1510074380388392,0.03853837130149737,0.0,0.0,0.0,0.0,0.0,0.0,1
5,00-avengers_share_price,0.0,0.75,0.17433298927991692,0.0021017551262179908,0.04584490294697974,0.0,0.5074571618248865,0.0,0.0,0.0,0.0,0.0,4
6,00-avengers_change_1_day,0.0,0.25,0.16798923773337465,0.001009593702156813,0.03177410426993676,0.0,0.43582475184278857,0.0,0.0,0.0,0.0,0.0,7
7,00-avengers_change_1_year,0.0,0.25,0.18901224184350576,0.002026415945326987,0.045015729976609145,0.0,0.4667445339226234,0.0,0.0,0.0,0.0,0.0,7
8,00-avengers_categories,0.0,1.0,0.5194925620065214,0.7273241249367413,0.8528329994417087,0.5227211060270466,0.000558799464037447,0.0,0.0,0.0,0.0,0.0,0
9,01-DDD_name,0.0,1.0,0.25880823401488845,0.22033715888239325,0.46940085096044865,0.6048057845664598,0.0035180143919823366,0.0,0.0,0.0,0.0,0.0,6
10,01-DDD_rank,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.506304558680892e-09,3.1356826200231046e-07,1.5896507127743147e-15,3.9870424035546884e-08,2
11,01-DDD_marketcap,0.0,0.75,0.20315825414681285,0.0011124761452559746,0.03335380256066728,0.9977408622557842,0.38921171435866464,0.0,0.0,0.0,0.0,0.0,3
12,01-DDD_country,0.0,1.0,0.0912456454628063,0.037281860702688435,0.19308511258688082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,01-DDD_share_price,0.0,0.75,0.1750359790474292,0.00208431926498306,0.04565434552135273,0.0,0.5109250375413282,0.0,0.0,0.0,0.0,0.0,4
14,01-DDD_change1d,0.0,0.25,0.16681939555052652,0.000880065275367148,0.02966589414406969,0.0,0.43723407151659455,0.0,0.0,0.0,0.0,0.0,7
15,01-DDD_change1y,0.0,0.25,0.18643669806809926,0.006195497064517689,0.07871147987757371,0.0,0.47342881980950263,0.0,0.0,0.0,0.0,0.0,7
16,01-DDD_categories,0.0,1.0,0.349859352450442,0.6096634814775405,0.7808095039621,0.8738990625158299,0.0007767589469790955,0.0,0.0,0.0,0.0,0.0,0
17,02-GioPonSpiz_name,0.0,1.0,0.25346222673410096,0.21595713963250865,0.46471188884351633,0.6182612210758525,0.003654774285251635,0.0,0.0,0.0,0.0,0.0,6
18,02-GioPonSpiz_codice,0.0,1.0,0.09020120373903917,0.02256339345950973,0.15021116289913256,0.0,0.09244648272581892,0.0,0.0,0.0,0.0,0.0,1
19,02-GioPonSpiz_pricecap,0.0,0.75,0.20316825344564252,0.0011110714804290728,0.03333273886780193,0.9976882774450911,0.3901810358658872,0.0,0.0,0.0,0.0,0.0,3
20,02-GioPonSpiz_price,0.0,0.75,0.1750188470924293,0.0020885468402477665,0.045700621880317635,0.0,0.5110466983983344,0.0,0.0,0.0,0.0,0.0,4
21,02-GioPonSpiz_country,0.0,1.0,0.08384912033607399,0.02215055338208142,0.14883061977322215,0.05023065049595036,0.0,0.0,0.0,0.0,0.0,0.0,1
22,03-gren_name,0.0,1.0,0.2528668140670592,0.21492365987207296,0.46359859778915746,0.616088706118401,0.0036736527786977212,0.0,0.0,0.0,0.0,0.0,6
23,03-gren_market_capitalization_usd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
24,03-gren_price,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.452473326867119e-09,4.415311271494029e-09,2.41470512178259e-17,4.913964918253477e-09,8
25,03-gren_country,0.0,1.0,0.08417670241912757,0.02257420286342483,0.15024713928532826,0.050786524170482975,0.0,0.0,0.0,0.0,0.0,0.0,1
26,04-iGMM_name,0.0,1.0,0.25261925186798284,0.2153641934291517,0.46407347848067304,0.6144592685733788,0.0037099076348247263,0.0,0.0,0.0,0.0,0.0,6
27,04-iGMM_code,0.0,1.0,0.09022971352556666,0.022561613350799436,0.15020523742799197,0.0,0.09363152615002153,0.0,0.0,0.0,0.0,0.0,1
28,04-iGMM_rank,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4456838021338505e-09,3.0814376054385586e-07,1.5348581475768043e-15,3.9177265698065305e-08,2
29,04-iGMM_marketcap,0.0,0.75,0.2030379487605764,0.0010906864655340527,0.03302554262285562,0.9982875014929742,0.38947883846116205,0.0,0.0,0.0,0.0,0.0,3
30,04-iGMM_country,0.0,1.0,0.08499728245828807,0.02480067530248311,0.15748230155316856,0.04462070515994971,0.0,0.0,0.0,0.0,0.0,0.0,1
31,04-iGMM_shareprice,0.0,0.75,0.17466957001075034,0.0019857441933970135,0.044561689750244146,0.0,0.5090313319542489,0.0,0.0,0.0,0.0,0.0,4
32,04-iGMM_change_1day,0.0,0.25,0.17244328648250185,0.0011778589095477769,0.03431994914838565,0.0,0.4249206074232251,0.0,0.0,0.0,0.0,0.0,7
33,04-iGMM_change_1year,0.0,0.25,0.190357943872506,0.0018478682601079694,0.0429868382194826,0.0,0.47424458049596185,0.0,0.0,0.0,0.0,0.0,7
34,04-iGMM_categories,0.0,1.0,0.4172291668748238,1.0,1.0,0.25261597934436175,0.000621007766646743,0.0,0.0,0.0,0.0,0.0,12
35,05-MalPatSaj_name,0.0,1.0,0.2523654464996139,0.21574308072388892,0.464481518172563,0.6177943020574426,0.0036100117427318055,0.0,0.0,0.0,0.0,0.0,6
36,05-MalPatSaj_symbol,0.0,1.0,0.0903974331230281,0.02277459761337571,0.1509125495556142,0.0,0.0946558434244688,0.0,0.0,0.0,0.0,0.0,1
37,05-MalPatSaj_marketcap,0.0,0.75,0.20327517451955676,0.0010991129108990014,0.033152871834865254,0.9971263226610961,0.39067224080084234,0.0,0.0,0.0,0.0,0.0,3
38,05-MalPatSaj_price,0.0,0.75,0.17476260244817327,0.0019452358155438916,0.04410482757639908,0.0,0.5101898326805318,0.0,0.0,0.0,0.0,0.0,4
