,Name,Industry,headQuarters,Founded,Area Served
0,85°C Bakery Cafe,Food and Beverage,Taipei,2004; 18 years ago (2004),Worldwide
1,10.or,Smartphones,Taipei,2004; 18 years ago (2004),Worldwide
2,2U (company),Smartphones,"Lanham, Maryland",2008; 14 years ago (2008),Global
3,3i,Corporate finance,London,1945; 77 years ago (1945),
4,3M,Conglomerate,London,"June 13, 1902; 120 years ago (1902-06-13) in Two Harbors, Minnesota, U.S.[1]",Worldwide
5,7-Eleven,Retail (convenience stores),London,1927 (95 years ago) (1927) (as Southland Ice Company),
6,4F (company),Textile,Wieliczka,2007; 15 years ago (2007),Europe
7,Ajinomoto,Food Biotechnology,"Ch??, Tokyo",17 June 1917; 105 years ago (1917-06-17) (as S. Suzuki & Co. Ltd.),36 countries
8,ABN AMRO,Financial services,Amsterdam,"September 21, 1991; 31 years ago (September 21, 1991)",
9,Abbott Laboratories,Health care Medical devices Pharmaceutical,Illinois,"1888; 134 years ago (1888) (as Abbott Alkaloidal Company) in Ravenswood, Chicago",Worldwide
10,Abiomed,Medical Devices,"Danvers, Massachusetts",1981; 41 years ago (1981),
11,AbbVie,Biopharmaceutical,"North Chicago, Illinois",2013; 9 years ago (2013),Worldwide (170+ countries)
12,Accenture,Professional services Information technology Consulting,Dublin,1989; 33 years ago (1989),Worldwide
13,ANZ (bank),Banking Financial services,Collins Street,1 October 1970; 52 years ago (1970-10-01),Worldwide
14,Acer Inc.,Electronics,Collins Street,1 August 1976; 46 years ago (1976-08-01),Worldwide
15,Activision Blizzard,Video games,Collins Street,"July 10, 2008; 14 years ago (2008-07-10)",
16,Adidas,"Textile, footwear",Collins Street,"July 1924; 98 years ago (1924-07) in Herzogenaurach, Germany (as Gebrüder Dassler Schuhfabrik) 18 August 1949; 73 years ago (1949-08-18) (as Adidas)[1]","Worldwide (except North Korea, Russia, Turkmenistan, Afghanistan, South Sudan, Chad and Palestine)"
17,Aldi,Retail,Essen,"10 July 1946; 76 years ago (1946-07-10) (split in two parts in 1960, renamed to Aldi Nord and Aldi Süd in 1962)[1]",International
18,Adient,Retail,"Plymouth, Michigan, U.S.","October 31, 2016; 6 years ago (2016-10-31)[1]",Worldwide
19,Aditi Technologies,IT Services IT Consulting,Bellevue,1994,
20,Aditya Birla Group,Conglomerate,Mumbai,1857; 165 years ago (1857)[1],Worldwide
21,AMD,Semiconductors Artificial intelligence GPUs Graphics cards Consumer electronics Video games Computer hardware,Mumbai,"May 1, 1969; 53 years ago (1969-05-01)",Worldwide
22,Aegon N.V.,Financial services,Mumbai,1983; 39 years ago (1983),Worldwide
23,AEON (company),Retail,Mihama-ku,"1758; 264 years ago (1758) (as Shinoharaya, later Okadaya) in Yokkaichi",Asia
24,Ahold Delhaize,Retail Wholesaling,Zaandam,25 July 2016; 6 years ago (2016-07-25),
25,Asics,"Sports equipment, textile",Zaandam,"September 1, 1949; 73 years ago (September 1, 1949) (as Onitsuka Tiger) 1977; 45 years ago (1977) (renamed to Asics)",Worldwide
26,Airbus,"Aerospace, defence",,18 December 1970; 52 years ago (1970-12-18) (as Airbus Industrie GIE),Worldwide
27,AkzoNobel,Chemicals,Amsterdam,1994; 28 years ago (1994),Worldwide
28,Akai,Electronics,Hong Kong,"as Akai Electric Company Ltd, Tokyo, Japan (1946; 76 years ago (1946))",
29,Alfa Laval,"Manufacturing, engineering and service",Lund,1883; 139 years ago (1883)[2],
30,All Nippon Airways,"Manufacturing, engineering and service",Shiodome City Center,27 December 1952; 69 years ago (1952-12-27) (as Japan Helicopter and Aeroplane),
31,Alliance Global,"Manufacturing, engineering and service",Taguig,"Manila, Philippines October 12, 1993; 29 years ago (1993-10-12)",
32,Allianz,Financial services,Munich,5 February 1890; 132 years ago (5 February 1890),Worldwide
33,Alibaba Group,Technology company,[2],"28 June 1999; 23 years ago (1999-06-28)[1] Hangzhou, Zhejiang, China",Worldwide
34,Almarai,Food processing,[2],1977; 45 years ago (1977),
35,Alstom,Rail transport,Saint-Ouen-sur-Seine,1928; 94 years ago (1928),
36,Alphabet Inc.,Conglomerate,Googleplex,"October 2, 2015; 7 years ago (2015-10-02)",Worldwide
37,Altice (company),Telecommunications Mass media,Googleplex,2001; 21 years ago (2001),Worldwide
38,Altria,Tobacco,Reynolds Metals Company International Headquarters,"1985; 37 years ago (1985) (as Philip Morris Companies, Inc.)",Worldwide
39,Amazon (company),E-commerce Cloud Computing Artificial intelligence Consumer electronics Entertainment Digital distribution Self-driving cars Supermarket,Reynolds Metals Company International Headquarters,"July 5, 1994; 28 years ago (1994-07-05) Bellevue, Washington, U.S.",Worldwide
40,Amcor,Packaging,Zurich,1896; 126 years ago (1896),
41,American Airlines Group,Aviation,"Fort Worth, Texas","December 9, 2013; 9 years ago (2013-12-09)",Worldwide[2]
42,American International Group,Financial services,"New York City, New York","December 19, 1919; 103 years ago (1919-12-19)[1] Shanghai, China",Worldwide
43,Andritz AG,Industrial processing,"New York City, New York",1852; 170 years ago (1852),
44,Aon (company),Professional services,London,1982; 40 years ago (1982),Worldwide
45,Apollo Tyres,Tyres,Gurugram,1972; 50 years ago (1972)[1],
46,Apple Inc.,Consumer electronics Software services Online services,1 Apple Park Way,"April 1, 1976; 46 years ago (1976-04-01) in Los Altos, California, U.S.",Worldwide
47,Grupo Arcor,Consumer electronics Software services Online services,1 Apple Park Way,5 July 1951; 71 years ago (1951-07-05),Worldwide
48,Assicurazioni Generali,Financial services,1 Apple Park Way,1831; 191 years ago (1831),Worldwide
49,Aston Martin,Automotive,Gaydon,15 January 1913; 109 years ago (1913-01-15),Worldwide
50,Asus,Computer hardware Electronics Networking hardware,Beitou District,2 April 1989; 33 years ago (1989-04-02),Worldwide
51,Asus,Computer hardware Electronics Networking hardware,Beitou District,2 April 1989; 33 years ago (1989-04-02),Worldwide
52,AT&T,Telecommunications Technology,Whitacre Tower,"October 5, 1983; 39 years ago (1983-10-05)[2]",Worldwide
53,Atari,Telecommunications Technology,Whitacre Tower,"October 5, 1983; 39 years ago (1983-10-05)[2]",
54,Avast,Computer software,Whitacre Tower,1988; 34 years ago (1988),Worldwide
55,Avianca,Computer software,Registered office:,"December 5, 1919; 103 years ago (1919-12-05) (as SCADTA)",
56,Axa,Financial services,Paris,1816; 206 years ago (1816)[1],Worldwide
57,Axiata,Telecommunications,Paris,12 June 1992; 30 years ago (1992-06-12),
58,Axis Bank,Financial services,Maharashtra,3 December 1993; 29 years ago (1993-12-03) as UTI Bank,
59,BP,Oil and gas,London,"14 April 1909 (1909-04-14) (as the Anglo-Persian Oil Company) 10 January 1870 (1870-01-10) (as Standard Oil, which partially broke up into Standard Oil of Ohio, ARCO, and Amoco which all merged into BP) 16 December 1954; 68 years ago (1954-12-16) (as British Petroleum)",Worldwide
60,Baker Hughes,Petroleum industry,"Houston, Texas",1907; 115 years ago (1907),
61,Ball Corporation,"Packaging, aerospace","Broomfield, Colorado",1880; 142 years ago (1880),
62,Bacardi,Beverage,"Hamilton, Bermuda",4 February 1862 Santiago de Cuba,
63,Banco Bilbao Vizcaya Argentaria,Financial services,"Hamilton, Bermuda","Bilbao, Spain May 28, 1857; 165 years ago (1857-05-28)",
64,Banco Santander,Financial services,"Hamilton, Bermuda",15 May 1857; 165 years ago (1857-05-15),Worldwide
65,Bandai Namco Entertainment,Video games,"Minato-ku, Tokyo",31 March 2006; 16 years ago (2006-03-31)[1][2],Worldwide
66,Bank of India,Banking Financial services,Mumbai,7 September 1906; 116 years ago (1906-09-07),
67,Bank of Ireland,Banking Financial services,Ballsbridge,5 April 1783; 239 years ago (1783-04-05),Ireland United Kingdom
68,Bank of Montreal,Financial services,,"Montreal Bank (23 June 1817; 205 years ago (1817-06-23)) Montreal, Lower Canada Bank of Montreal (22 July 1822; 200 years ago (1822-07-22))",
69,Barclays,Banking Financial services,,"17 November 1690; 332 years ago (1690-11-17) in the City of London, Kingdom of England",
70,Barilla (company),Food processing,,1877; 145 years ago (1877),Worldwide
71,Barnes & Noble,bookselling,New York City,"1886; 136 years ago (1886) (as Arthur Hinds & Company) in New York City, U.S.",
72,Barrick Gold,Metals and mining,New York City,1983; 39 years ago (1983),
73,BASF,Chemicals,Ludwigshafen,"6 April 1865; 157 years ago (6 April 1865) (as Badische Anilin- und Sodafabrik); Mannheim, Baden",
