,name,website,locations,size,industry,founded
0,Proteus Digital Health Careers,www.proteus.com,"Redwood City, CA",201 to 500 employees,Pharmaceuticals,2004
1,Zelis Careers,www.zelis.com,"Bedminster, NJ","1,001 to 5,000 employees",Information Technology & Services,2016
2,UpNest Careers,www.upnest.com,"Burlingame, CA",1 to 50 employees,Real Estate,2013
3,conferacity Careers,conferacity.com,"Menlo Park, CA",1 to 50 employees,Broadcast & Online Media,2013
4,Zenoti Careers,www.zenoti.com,"Bellevue, WA","501 to 1,000 employees",Computer Software,2010
5,LeaseLock Careers,leaselock.com,"Marina del Rey, CA",51 to 200 employees,Insurance,2016
6,Kespry Careers,www.kespry.com,"Menlo Park, CA",51 to 200 employees,Computer Software,2013
7,NewsCred Careers,www.newscred.com,"New York, NY",201 to 500 employees,Marketing & Advertising,2008
8,Brane Enterprises Careers,nslhub.com,"Hyderabad, India",201 to 500 employees,Information Technology & Services,2017
9,Markel Careers,www.markel.com,"Glen Allen, VA","1,001 to 5,000 employees",Insurance,1930
10,ESO Fund Careers,www.esofund.com,"San Mateo, CA",1 to 50 employees,Venture Capital & Private Equity,2012
11,Indigo Ag Careers,www.indigoag.com,"Boston, MA","501 to 1,000 employees",Food & Beverages,2013
12,"MSIG Holdings (Americas), Inc. Careers",www.msigusa.com,"Warren, NJ",201 to 500 employees,Insurance,1988
13,MindGeek Careers,mindgeek.com,"Luxembourg City, Luxembourg","1,001 to 5,000 employees",Internet,2004
14,ForeScout Technologies Careers,www.crunchbase.com/#/entity,"San Jose, CA","1,001 to 5,000 employees",Computer & Network Security,2000
15,Marketplace Careers,www.marketplace.org,"Los Angeles, CA",51 to 200 employees,Broadcast & Online Media,1989
16,SanDisk Careers,www.sandisk.com,"Milpitas, CA","5,001 to 10,000 employees",Semiconductors,1988
17,Wag Careers,www.wagwalking.com,"Mountain View, CA",51 to 200 employees,Consumer Goods,2014
18,Maisonette Careers,www.maisonette.com,"Brooklyn, NY",51 to 200 employees,"Apparel, Fashion & Luxury",2017
19,Fox Thermal Careers,www.foxthermal.com,"Marina, CA",1 to 50 employees,Industrial Automation,1994
20,Optimity Advisors Careers,www.optimityadvisors.com,"Washington, DC",201 to 500 employees,Management Consulting,2009
21,potenit Careers,potenit.com,"San Jose, CA",1 to 50 employees,Information Technology & Services,2010
22,Plexus Careers,www.plexus.com,"Neenah, WI","10,000+ employees",Computer Hardware,1979
23,CureMatch Careers,www.curematch.com,"San Diego, CA",1 to 50 employees,Biotechnology,2015
24,intertrend communications Careers,www.intertrend.com,"Long Beach, CA",51 to 200 employees,Marketing & Advertising,1991
