name,country,market_value_apr_2022,sector,stock
Apple Inc.,united states,$2.825 T,technology,AAPL
Microsoft Corporation,united states,$2.328 T,technology,MSFT
Saudi Arabian Oil Company,saudi arabia,$2.297 T,energy,2222
Alphabet Inc.,united states,$1.825 T,communication services,GOOG
"Amazon.com, Inc.",united states,$1.642 T,consumer discretionary,AMZN
"Tesla, Inc.",united states,$1.016 T,consumer discretionary,TSLA
Berkshire Hathaway Inc.,united states,$798.47 B,financials,BRK.A
Nvidia Corporation,united states,$660.38 B,technology,NVDA
"Meta Platforms, Inc.",united states,$617.50 B,communication services,META
Taiwan Semiconductor Manufacturing Company Limited,taiwan,$527.89 B,technology,2330
UnitedHealth Group Incorporated,united states,$488.52 B,healthcare,UNH
Visa Inc.,united states,$486.77 B,financials,V
Johnson & Johnson,united states,$475.93 B,healthcare,JNJ
Tencent Holdings Ltd,china,$441.17 B,communication services,700
Walmart Inc.,united states,$429.05 B,consumer staples,WMT
JPMorgan Chase & Co.,united states,$410.84 B,financials,JPM
The Procter & Gamble Company,united states,$384.60 B,consumer staples,PG
"Samsung Electronics Co., Ltd.",south korea,$378.35 B,technology,5930
"LVMH Moët Hennessy - Louis Vuitton, SE",france,$359.26 B,consumer discretionary,MC
Mastercard Incorporated,united states,$358.60 B,financials,MA
Bank of America Corporation,united states,$350.84 B,financials,BAC
Roche Holding AG,switzerland,$349.50 B,healthcare,ROG
Exxon Mobil Corporation,united states,$348.72 B,energy,XOM
Kweichow Moutai Co. Ltd,china,$348.22 B,consumer staples,600519
"The Home Depot, Inc.",united states,$321.47 B,consumer discretionary,HD
Chevron Corporation,united states,$315.13 B,energy,CVX
Pfizer Inc.,united states,$300.79 B,healthcare,PFE
AbbVie Inc.,united states,$294.27 B,healthcare,ABBV
Alibaba Group Holding Limited,china,$290.40 B,consumer discretionary,9988
ASML Holding N.V.,netherlands,$274.35 B,technology,ASML
The Coca-Cola Company,united states,$273.20 B,consumer staples,KO
Eli Lilly and Company,united states,$273.01 B,healthcare,LLY
Broadcom Inc.,united states,$265.27 B,technology,AVGO
Costco Wholesale Corporation,united states,$258.15 B,consumer staples,COST
Novo Nordisk A/S,denmark,$257.24 B,healthcare,NOVO.B
Industrial & Commercial Bank of China Ltd,china,$250.37 B,financials,601398
The Walt Disney Company,united states,$247.88 B,communication services,DIS
"PepsiCo, Inc.",united states,$241.05 B,consumer staples,PEP
"Cisco Systems, Inc.",united states,$238.45 B,technology,CSCO
Thermo Fisher Scientific Inc.,united states,$236.15 B,healthcare,TMO
Oracle Corporation,united states,$228.18 B,technology,ORCL
L'Oréal SA,france,$225.24 B,consumer staples,OR
Accenture plc,ireland,$219.03 B,technology,ACN
Comcast Corporation,united states,$218.90 B,communication services,CMCSA
Verizon Communications Inc.,united states,$216.68 B,communication services,VZ
Abbott Laboratories,united states,$215.02 B,healthcare,ABT
"Nike, Inc.",united states,$213.60 B,consumer discretionary,NKE
BHP Group,australia,$211.25 B,basic materials,BHP
"Merck & Co., Inc.",united states,$210.38 B,healthcare,MRK
Danaher Corporation,united states,$208.03 B,healthcare,DHR
Shell plc,united kingdom,$207.68 B,energy,SHEL
Novartis AG,switzerland,$204.13 B,healthcare,NOVN
AstraZeneca plc,united kingdom,$201.75 B,healthcare,AZN
Intel Corporation,united states,$201.72 B,technology,INTC
Wells Fargo & Company,united states,$200.01 B,financials,WFC
Adobe Inc.,united states,$199.57 B,technology,ADBE
"salesforce.com, inc.",united states,$193.80 B,technology,CRM
"United Parcel Service, Inc.",united states,$190.50 B,industrials,UPS
China Construction Bank Corp,china,$189.37 B,financials,601939
McDonald's Corporation,united states,$186.57 B,consumer discretionary,MCD
China Merchants Bank Co Ltd,china,$185.98 B,financials,600036
Contemporary Amperex Technology Co. Ltd,china,$185.67 B,industrials,300750
Union Pacific Corporation,united states,$184.19 B,industrials,UNP
AT&T Inc.,united states,$175.88 B,communication services,T
Qualcomm Incorporated,united states,$172.25 B,technology,QCOM
Texas Instruments Incorporated,united states,$171.28 B,technology,TXN
