URL,ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date
https://ariregister.rik.ee/eng/company/14318875/10Dspace-OÃœ?search_id=6b4eef4&pos=1,1,10DspaceOÃœ(14318875),14318875.0,Private limited company,Deleted,25.08.2017,,,29.05.2020
https://ariregister.rik.ee/eng/company/16270291/21-Sparrows-OÃœ?search_id=6b4eef4&pos=2,2,21SparrowsOÃœ(16270291),16270291.0,Private limited company,Enteredintotheregister,14.07.2021,Capitalis10Â 000Â â‚¬,                        Harju maakond Tallinn Kesklinna linnaosa Toom-Kuninga tn 15-77 10122                            ,
https://ariregister.rik.ee/eng/company/12454634/3DST-OÃœ?search_id=6b4eef4&pos=3,3,3DSTOÃœ(12454634),12454634.0,Private limited company,Enteredintotheregister,15.04.2013,Capitalis2Â 500Â â‚¬,                        Harju maakond Tallinn Kesklinna linnaosa Pikk tn 67-3 10133                            ,
https://ariregister.rik.ee/eng/company/14867109/8-Bits-Space-OÃœ?search_id=6b4eef4&pos=4,4,8BitsSpaceOÃœ(14867109),14867109.0,Private limited company,Enteredintotheregister,11.12.2019,Capitalis2Â 500Â â‚¬,                        Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551                            ,
https://ariregister.rik.ee/eng/company/16451101/A1-Ehituspartner-OÃœ?search_id=6b4eef4&pos=5,5,A1EhituspartnerOÃœ(16451101),16451101.0,Private limited company,Enteredintotheregister,28.02.2022,Capitalis2Â 500Â â‚¬,                        PÃµlva maakond PÃµlva vald Adiste kÃ¼la Naima 63204                            ,
https://ariregister.rik.ee/eng/company/10166769/osaÃ¼hing-Aarspak?search_id=6b4eef4&pos=6,6,osaÃ¼hingAarspak(10166769),10166769.0,Private limited company,Enteredintotheregister,28.11.1996,Capitalis2Â 550Â â‚¬,                        Harju maakond Viimsi vald Lubja kÃ¼la Ampri tee 7 74010                            ,
https://ariregister.rik.ee/eng/company/11959421/Aarspak-Tootmine-OÃœ?search_id=6b4eef4&pos=7,7,AarspakTootmineOÃœ(11959421),11959421.0,Private limited company,Enteredintotheregister,22.06.2010,Capitalis2Â 556Â â‚¬,                        Harju maakond Viimsi vald Lubja kÃ¼la Ampri tee 7 74010                            ,
https://ariregister.rik.ee/eng/company/11945353/AA-Spamarket-OÃœ?search_id=6b4eef4&pos=8,8,A&ASpamarketOÃœ(11945353),11945353.0,Private limited company,Deleted,25.05.2010,,,07.09.2022
https://ariregister.rik.ee/eng/company/16008334/OÃœ-ABC-Online-Solution?search_id=6b4eef4&pos=9,9,OÃœABCOnlineSolution(16008334),16008334.0,Private limited company,Enteredintotheregister,13.07.2020,Capitalis2Â 500Â â‚¬,                        Harju maakond Tallinn Kesklinna linnaosa Raua tn 51-2 10120                            ,
https://ariregister.rik.ee/eng/company/11739760/OÃœ-ABC-Rakennuspalvelut?search_id=6b4eef4&pos=10,10,OÃœABCRakennuspalvelut(11739760),11739760.0,Private limited company,Deleted,20.10.2009,,,26.03.2014
https://ariregister.rik.ee/eng/company/16322007/Abovespace-OÃœ?search_id=6b4eef4&pos=11,11,AbovespaceOÃœ(16322007),16322007.0,Private limited company,Enteredintotheregister,21.09.2021,Capitalis2Â 500Â â‚¬,                        Harju maakond Tallinn Kesklinna linnaosa Estonia pst 5 10143                            ,
https://ariregister.rik.ee/eng/company/16042743/Abruka-SPA-OÃœ?search_id=6b4eef4&pos=12,12,AbrukaSPAOÃœ(16042743),16042743.0,Private limited company,Enteredintotheregister,02.09.2020,Capitalis2Â 500Â â‚¬,                        Saare maakond Saaremaa vald Abruka kÃ¼la PÃ¤hkla 93826                            ,
https://ariregister.rik.ee/eng/company/14166276/A-Building-Group-OÃœ?search_id=6b4eef4&pos=13,13,ABuildingGroupOÃœ(14166276),14166276.0,Private limited company,Deleted,09.12.2016,,,02.12.2019
https://ariregister.rik.ee/eng/company/12613707/Ace-of-Space-OÃœ?search_id=6b4eef4&pos=14,14,AceofSpaceOÃœ(12613707),12613707.0,Private limited company,Enteredintotheregister,13.02.2014,Capitalis2Â 500Â â‚¬,                        Harju maakond Tallinn LasnamÃ¤e linnaosa Sikupilli tn 9 11414                            ,
https://ariregister.rik.ee/eng/company/10337568/Admiral-Ferdinand-von-Wrangelli-MÃ¤lestuspaikade-Hooldamise-ja-JÃ¤Ã¤dvustamise-OsaÃ¼hing?search_id=6b4eef4&pos=15,15,AdmiralFerdinandvonWrangelliMÃ¤lestuspaikadeHooldamisejaJÃ¤Ã¤dvustamiseOsaÃ¼hing(10337568),10337568.0,Private limited company,Deleted,08.12.1997,,,24.11.2000
https://ariregister.rik.ee/eng/company/12561784/ADUSPA-GROUP-OÃœ?search_id=6b4eef4&pos=16,16,ADUSPAGROUPOÃœ(12561784),12561784.0,Private limited company,Deleted,30.10.2013,,,03.08.2020
https://ariregister.rik.ee/eng/company/11515492/AdvokaadibÃ¼roo-Lion-Law-OÃœ?search_id=6b4eef4&pos=17,17,AdvokaadibÃ¼rooLionLawOÃœ(11515492),11515492.0,Private limited company,Enteredintotheregister,08.07.2008,Capitalis2Â 556Â â‚¬,                        Harju maakond Harku vald Vaila kÃ¼la PÃµrgupÃµhja tee 3 76917                            ,
https://ariregister.rik.ee/eng/company/14568307/Aerospace-Quality-OÃœ?search_id=6b4eef4&pos=18,18,AerospaceQualityOÃœ(14568307),14568307.0,Private limited company,Enteredintotheregister,17.09.2018,Capitalis2Â 500Â â‚¬,                        Harju maakond Tallinn Kesklinna linnaosa F. R. Faehlmanni tn 5 10125                            ,
https://ariregister.rik.ee/eng/company/12366410/Aespa-angaar-OÃœ?search_id=6b4eef4&pos=19,19,AespaangaarOÃœ(12366410),12366410.0,Private limited company,Enteredintotheregister,22.10.2012,Capitalis2Â 500Â â‚¬,                        Rapla maakond Kohila vald Aespa alevik Aespa ringtee 3 79732                            ,
https://ariregister.rik.ee/eng/company/11373307/OsaÃ¼hing-Aespa-Ehitus?search_id=6b4eef4&pos=20,20,OsaÃ¼hingAespaEhitus(11373307),11373307.0,Private limited company,Enteredintotheregister,18.04.2007,Capitalis40Â 000Â EEK,                        Rapla maakond Kohila vald Aespa alevik Looduse tn 9 79701                            ,
https://ariregister.rik.ee/eng/company/14855410/Aespa-Invest-OÃœ?search_id=6b4eef4&pos=21,21,AespaInvestOÃœ(14855410),14855410.0,Private limited company,Enteredintotheregister,25.11.2019,Capitalis2Â 500Â â‚¬,                        Rapla maakond Kohila vald Aespa alevik Karmeni tn 5 79705                            ,
https://ariregister.rik.ee/eng/company/12260290/OÃœ-AESPA-JUUKSUR?search_id=6b4eef4&pos=22,22,OÃœAESPAJUUKSUR(12260290),12260290.0,Private limited company,Enteredintotheregister,03.04.2012,Capitalis2Â 500Â â‚¬,                        Rapla maakond Kohila vald Aespa alevik RÃµÃµmu tn 4 79705                            ,
https://ariregister.rik.ee/eng/company/80329470/MittetulundusÃ¼hing-Aespa-Kodu?search_id=6b4eef4&pos=23,23,MittetulundusÃ¼hingAespaKodu(80329470),80329470.0,Non-profit association,Enteredintotheregister,06.07.2011,,                        Rapla maakond Kohila vald Aespa alevik Astra tn 12 79705                            ,
https://ariregister.rik.ee/eng/company/11079513/OÃœ-Aespa-L?search_id=6b4eef4&pos=24,24,OÃœAespaL(11079513),11079513.0,Private limited company,Enteredintotheregister,19.10.2004,Capitalis60Â 000Â EEK,                        Rapla maakond Kohila vald Aespa alevik Aespa ringtee 3 79732                            ,
https://ariregister.rik.ee/eng/company/16126714/Aespan-OÃœ?search_id=6b4eef4&pos=25,25,AespanOÃœ(16126714),16126714.0,Private limited company,Enteredintotheregister,23.12.2020,Capitalis2Â 500Â â‚¬,                        Rapla maakond Kohila vald Aespa alevik Kapa vkt 18 79705                            ,
https://ariregister.rik.ee/eng/company/11468211/OsaÃ¼hing-A-Floors?search_id=6b4eef4&pos=26,26,OsaÃ¼hingAFloors(11468211),11468211.0,Private limited company,Deleted,08.02.2008,,,22.01.2016
https://ariregister.rik.ee/eng/company/11459782/Agnesium-OÃœ?search_id=6b4eef4&pos=27,27,AgnesiumOÃœ(11459782),11459782.0,Private limited company,Enteredintotheregister,15.01.2008,Capitalis2Â 556Â â‚¬,                        Ida-Viru maakond Narva linn Tehase tn 3 20104                            ,
https://ariregister.rik.ee/eng/company/80171891/AiandusÃ¼hing-AESPA-SÃ•PRUS?search_id=6b4eef4&pos=28,28,AiandusÃ¼hingAESPASÃ•PRUS(80171891),80171891.0,Non-profit association,Deleted,10.07.2002,,,15.12.2015
https://ariregister.rik.ee/eng/company/80161303/AiandusÃ¼histu-Aespa?search_id=6b4eef4&pos=29,29,AiandusÃ¼histuAespa(80161303),80161303.0,Non-profit association,Deleted,04.01.2002,,,02.05.2012
https://ariregister.rik.ee/eng/company/80074981/AiandusÃ¼histu-AESPA-12?search_id=6b4eef4&pos=30,30,AiandusÃ¼histuAESPA-12(80074981),80074981.0,Non-profit association,Deleted,09.03.1999,,,06.07.2018
https://ariregister.rik.ee/eng/company/80067372/AiandusÃ¼histu-Aespa-14?search_id=6b4eef4&pos=31,31,AiandusÃ¼histuAespa14(80067372),80067372.0,Non-profit association,Deleted,28.01.1999,,,06.06.2017
https://ariregister.rik.ee/eng/company/80074828/AiandusÃ¼histu-Aespa-29?search_id=6b4eef4&pos=32,32,AiandusÃ¼histuAespa-29(80074828),80074828.0,Non-profit association,Deleted,09.03.1999,,,25.02.2021
https://ariregister.rik.ee/eng/company/80092855/AiandusÃ¼histu-Aespa-Allika?search_id=6b4eef4&pos=33,33,AiandusÃ¼histuAespaAllika(80092855),80092855.0,Non-profit association,Enteredintotheregister,07.05.1999,,                        Rapla maakond Kohila vald Aespa alevik 79701                            ,
https://ariregister.rik.ee/eng/company/80063612/AiandusÃ¼histu-Aespa-Fantaasia?search_id=6b4eef4&pos=34,34,AiandusÃ¼histuAespaFantaasia(80063612),80063612.0,Non-profit association,Enteredintotheregister,28.12.1998,,                        Rapla maakond Kohila vald Aespa alevik Fantaasia vkt 15 79705                            ,
