,URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees
0,https://companiesmarketcap.com/vertex-pharmaceuticals/marketcap/,1.0,Vertex Pharmaceuticals,VRTX,$77.24 B,$300.94,$4.08 B,$8.70 B,256.500.000,3.9
1,https://companiesmarketcap.com/verano-holdings/marketcap/,2.0,Verano Holdings,VRNOF,$0.97 B,$3.00,-$62.2 M,$0.81 B,,3.888
2,https://companiesmarketcap.com/azz/marketcap/,3.0,AZZ,AZZ,$1.09 B,$43.85,$0.12 B,$1.17 B,,3.885
3,https://companiesmarketcap.com/fnb-corp/marketcap/,4.0,F.N.B. Corporation,FNB,$4.83 B,$13.41,$0.50 B,$1.33 B,,3.884
4,https://companiesmarketcap.com/quanex-building-products/marketcap/,5.0,Quanex Building Products,NX,$0.82 B,$24.96,$0.10 B,$1.22 B,,3.86
5,https://companiesmarketcap.com/sensient-technologies/marketcap/,6.0,Sensient Technologies,SXT,$3.27 B,$77.99,$0.18 B,$1.42 B,,3.844
6,https://companiesmarketcap.com/cts-corporation/marketcap/,7.0,CTS Corporation,CTS,$1.47 B,$46.31,$76.74 M,$0.57 B,,3.82
7,https://companiesmarketcap.com/amn-healthcare-services/marketcap/,8.0,AMN Healthcare Services,AMN,$4.50 B,$103.86,$0.69 B,$5.48 B,,3.8
8,https://companiesmarketcap.com/ashland/marketcap/,9.0,Ashland,ASH,$6.09 B,$112.25,$0.26 B,$2.39 B,54.000.000,3.8
9,https://companiesmarketcap.com/graco/marketcap/,10.0,Graco,GGG,$11.90 B,$70.62,$0.55 B,$2.12 B,169.166.000,3.8
10,https://companiesmarketcap.com/horizon-global/marketcap/,11.0,Horizon Global,HZN,$48.25 M,$1.74,-$59.26 M,$0.67 B,,3.8
11,https://companiesmarketcap.com/penumbra/marketcap/,12.0,Penumbra,PEN,$9.03 B,$237.78,-$38.81 M,$0.82 B,37.918.452,3.8
12,https://companiesmarketcap.com/churchill-downs/marketcap/,13.0,Churchill Downs,CHDN,$8.39 B,$224.40,$0.66 B,$1.69 B,37.800.000,3.8
13,https://companiesmarketcap.com/integra-lifesciences/marketcap/,14.0,Integra LifeSciences,IART,$4.79 B,$57.40,$0.25 B,$1.56 B,,3.8
14,https://companiesmarketcap.com/standex/marketcap/,15.0,Standex,SXI,$1.31 B,$109.75,$84.28 M,$0.74 B,,3.8
15,https://companiesmarketcap.com/conmed/marketcap/,16.0,CONMED,CNMD,$2.92 B,$95.99,-$3.65 M,$1.06 B,,3.8
16,https://companiesmarketcap.com/construction-partners/marketcap/,17.0,Construction Partners,ROAD,$1.45 B,$27.64,$28.31 M,$1.30 B,,3.8
17,https://companiesmarketcap.com/hr-block/marketcap/,18.0,H&R Block,HRB,$5.88 B,$37.85,$0.71 B,$3.45 B,158.887.736,3.8
18,https://companiesmarketcap.com/blackstone-group/marketcap/,19.0,Blackstone Group,BX,$61.39 B,$85.04,$6.23 B,$9.84 B,742.345.646,3.795
19,https://companiesmarketcap.com/grid-dynamics/marketcap/,20.0,Grid Dynamics,GDYN,$0.86 B,$11.71,-$16.93 M,$0.29 B,,3.763
20,https://companiesmarketcap.com/strategic-education/marketcap/,21.0,Strategic Education,STRA,$2.19 B,$89.70,$84.25 M,$1.06 B,,3.742
21,https://companiesmarketcap.com/coinbase/marketcap/,22.0,Coinbase,COIN,$13.08 B,$49.98,-$1.51 B,$5.06 B,223.916.000,3.73
22,https://companiesmarketcap.com/pinterest/marketcap/,23.0,Pinterest,PINS,$18.10 B,$26.69,$86.49 M,$2.77 B,669.171.000,3.728
23,https://companiesmarketcap.com/spire-energy/marketcap/,24.0,Spire Energy,SR,$3.84 B,$73.12,$0.27 B,$2.19 B,,3.71
24,https://companiesmarketcap.com/leslies/marketcap/,25.0,Leslie's,LESL,$2.58 B,$14.10,$0.20 B,$1.56 B,,3.7
25,https://companiesmarketcap.com/aspentech/marketcap/,26.0,AspenTech,AZPN,$12.95 B,$200.74,$0.15 B,$0.84 B,64.454.000,3.7
26,https://companiesmarketcap.com/moderna/marketcap/,27.0,Moderna,MRNA,$73.76 B,$192.00,$13.35 B,$20.67 B,390.000.000,3.7
27,https://companiesmarketcap.com/ryan-specialty-group/marketcap/,28.0,Ryan Specialty Group,RYAN,$11.41 B,$43.88,$0.25 B,$1.66 B,109.428.073,3.69
28,https://companiesmarketcap.com/healthequity/marketcap/,29.0,HealthEquity,HQY,$5.06 B,$59.87,-$37.01 M,$0.83 B,,3.688
29,https://companiesmarketcap.com/ribbon-communications/marketcap/,30.0,Ribbon Communications,RBBN,$0.51 B,$3.07,-$0.24 B,$0.81 B,,3.685
30,https://companiesmarketcap.com/e2open/marketcap/,31.0,E2open,ETWO,$1.80 B,$5.98,-$0.53 B,$0.60 B,,3.682
31,https://companiesmarketcap.com/grand-canyon-education/marketcap/,32.0,Grand Canyon Education,LOPE,$3.47 B,$111.67,$0.25 B,$0.90 B,,3.68
32,https://companiesmarketcap.com/calavo-growers/marketcap/,33.0,Calavo Growers,CVGW,$0.56 B,$31.95,-$1.11 M,$1.19 B,,3.676
33,https://companiesmarketcap.com/groupon/marketcap/,34.0,Groupon,GRPN,$0.26 B,$8.57,-$0.19 B,$0.67 B,,3.675
34,https://companiesmarketcap.com/rogers-corp/marketcap/,35.0,Rogers Corporation,ROG,$2.44 B,$130.01,$80.44 M,$0.97 B,,3.675
35,https://companiesmarketcap.com/sunpower/marketcap/,36.0,SunPower,SPWR,$3.25 B,$18.66,$0.14 B,$1.62 B,,3.66
