,INDEX,URL,Name,Trade Name,Address Name,Postalcode,City,State,Country,Location type
0,0,https://www.info-clipper.com/en/company/united-states/cnhi-llc.usdg0my8a.html,"CNHI, LLC",,445 DEXTER AVE,361043892,MONTGOMERY,Alabama(AL),UNITED STATES,Headquarter
1,1,https://www.info-clipper.com/en/company/united-kingdom/craig-rose-limited.gbd3nvwwq.html,CRAIG & ROSE LIMITED,,7th Floor Suite 1 50 Broadway,              SW1H 0BL,LONDON,UNITED KINGDOM,UNITED KINGDOM,Single address
2,2,https://www.info-clipper.com/en/company/italy/segretariato-generale-della-presidenza-della-repubblica.itdau24gz.html,SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA,,VIA DELLA DATARIA 96,187,ROMA,ITALY,ITALY,Headquarter
3,3,https://www.info-clipper.com/en/company/estonia/bih-real-estate-ou.eed8vckdq.html,BIH REAL ESTATE OU,,Narva mnt 6-44,10117,Tallinn,ESTONIA,ESTONIA,Single address
4,4,https://www.info-clipper.com/en/company/united-states/developmental-services-california-department-of.usd97cr8n.html,"DEVELOPMENTAL SERVICES, CALIFORNIA DEPARTMENT OF",,1215 O ST,958145804,SACRAMENTO,California(CA),UNITED STATES,Headquarter
5,5,https://www.info-clipper.com/en/company/united-kingdom/qioptiq-photonics-limited.gbd5rolmu.html,QIOPTIQ PHOTONICS LIMITED,,"Mitchell Point Ensign Way, Hamble",              SO31 4RF,SOUTHAMPTON,UNITED KINGDOM,UNITED KINGDOM,Single address
6,6,https://www.info-clipper.com/en/company/italy/cristina-srl.itd73jx12.html,CRISTINA SRL,,VIA FAVA 56,28024,GOZZANO,ITALY,ITALY,Headquarter
7,7,https://www.info-clipper.com/en/company/estonia/recticel-ou.eed8uixf6.html,RECTICEL OU,,Peterburi tee 48a,11415,Tallinn,ESTONIA,ESTONIA,Single address
8,8,https://www.info-clipper.com/en/company/united-states/laird-technologies-inc.usd1abyt.html,"LAIRD TECHNOLOGIES, INC.",,16401 SWINGLEY RIDGE RD STE 700,630170744,CHESTERFIELD,Missouri(MO),UNITED STATES,Headquarter
9,9,https://www.info-clipper.com/en/company/united-kingdom/designers-guild-limited.gbd3hxgcj.html,DESIGNERS GUILD LIMITED,,3 Latimer Place,              W10 6QT,LONDON,UNITED KINGDOM,UNITED KINGDOM,Headquarter
10,10,https://www.info-clipper.com/en/company/italy/banca-piccolo-credito-valtellinese-spa.itd74pwaf.html,BANCA PICCOLO CREDITO VALTELLINESE SPA,CREDITO VALTELLINESE,PIAZZA QUADRIVIO 8,23100,SONDRIO,ITALY,ITALY,
11,11,https://www.info-clipper.com/en/company/estonia/seb-pank-as.eedao2lxh.html,SEB PANK AS,,2 Tornimae tn 2,15010,Tallinn,ESTONIA,ESTONIA,Headquarter
12,12,https://www.info-clipper.com/en/company/united-states/universal-music-group-distribution-corp.usd7or0w.html,"UNIVERSAL MUSIC GROUP DISTRIBUTION, CORP.",UNIVERSAL MUSIC GROUP,2220 COLORADO AVE,904043506,SANTA MONICA,California(CA),UNITED STATES,Headquarter
13,13,https://www.info-clipper.com/en/company/united-kingdom/national-grid-grain-lng-limited.gbd70w3cc.html,NATIONAL GRID GRAIN LNG LIMITED,,Isle Of Grain Road Isle Of Grain,              ME3 0AB,ROCHESTER,UNITED KINGDOM,UNITED KINGDOM,Single address
14,14,https://www.info-clipper.com/en/company/italy/iveco-group-nv.itd7b13qv.html,IVECO GROUP N.V.,,VIA PUGLIA 35,10156,TORINO,ITALY,ITALY,Headquarter
15,15,https://www.info-clipper.com/en/company/estonia/tbb-pank-as.eed94zzu3.html,TBB PANK AS,,Vana-Viru tn 7,15097,Tallinn,ESTONIA,ESTONIA,Headquarter
16,16,https://www.info-clipper.com/en/company/united-states/universal-music-group-inc.usdbnbiz.html,"UNIVERSAL MUSIC GROUP, INC.",,2220 COLORADO AVE,904043506,SANTA MONICA,California(CA),UNITED STATES,Headquarter
17,17,https://www.info-clipper.com/en/company/united-kingdom/lactalis-mclelland-limited.gbd3jofn3.html,LACTALIS MCLELLAND LIMITED,,RED CENTRAL 60 HIGH STREET,              RH1 1SH,REDHILL,UNITED KINGDOM,UNITED KINGDOM,Headquarter
18,18,https://www.info-clipper.com/en/company/italy/dalmata-spa.itd77hhiw.html,DALMATA SPA,,VIA DELLE NAZIONI UNITE 4,43044,COLLECCHIO,ITALY,ITALY,Headquarter
19,19,https://www.info-clipper.com/en/company/estonia/simpes-grupp-ou.eed98p600.html,SIMPES GRUPP OU,,Veski poik 3,75301,"Assaku alevik, Rae vald",ESTONIA,ESTONIA,Headquarter
20,20,https://www.info-clipper.com/en/company/united-states/universal-music-investments-inc.usd1bakpn.html,"UNIVERSAL MUSIC INVESTMENTS, INC.",,2220 COLORADO AVE,904043506,SANTA MONICA,California(CA),UNITED STATES,Headquarter
21,21,https://www.info-clipper.com/en/company/united-kingdom/lactalis-limited.gbd3r6yv9.html,LACTALIS (UK) LIMITED,,Redcentral 60 High Street,              RH1 1SH,REDHILL,UNITED KINGDOM,UNITED KINGDOM,Single address
22,22,https://www.info-clipper.com/en/company/italy/intesa-sanpaolo-assicura-spa.itd7lgovc.html,INTESA SANPAOLO ASSICURA SPA,,CORSO INGHILTERRA 3,10138,TORINO,ITALY,ITALY,Headquarter
