"Name","Master Cap","Country","Rank","Share Price"
"Apple","$2.183 T","USA","#1","$137.87"
"Saudi Aramco","$1.887 T","Saudi Arabia","#2","$8.58"
"Microsoft","$1.790 T","USA","#3","$240.22"
"Alphabet (Google)","$1.278 T","USA","#4","$99.28"
"Amazon","$992.11 B","USA","#5","$97.25"
"Berkshire Hathaway","$683.33 B","USA","#6","$309.87"
"Tencent","$481.92 B","China","#7","$50.42"
"Visa","$475.00 B","USA","#8","$224.31"
"TSMC","$472.08 B","Taiwan","#9","$91.03"
"Exxon Mobil","$466.80 B","USA","#10","$113.35"
"UnitedHealth","$454.76 B","USA","#11","$486.72"
"NVIDIA","$444.54 B","USA","#12","$178.39"
"Johnson & Johnson","$441.16 B","USA","#13","$168.74"
"LVMH","$425.98 B","France","#14","$850.14"
"Tesla","$421.30 B","USA","#15","$133.42"
"JPMorgan Chase","$396.36 B","USA","#16","$135.08"
"Walmart","$379.00 B","USA","#17","$140.54"
"Meta Platforms (Facebook)","$365.45 B","USA","#18","$139.37"
"Mastercard","$361.77 B","USA","#19","$376.28"
"Chevron","$349.79 B","USA","#20","$180.90"
"Kweichow Moutai","$348.71 B","China","#21","$277.59"
"Procter & Gamble","$338.79 B","USA","#22","$142.97"
"Samsung","$335.28 B","South Korea","#23","$49.95"
"Nestlé","$332.30 B","Switzerland","#24","$120.84"
"Eli Lilly","$328.82 B","USA","#25","$346.07"
"Home Depot","$321.04 B","USA","#26","$315.00"
"Novo Nordisk","$317.35 B","Denmark","#27","$141.10"
"Alibaba","$317.33 B","China","#28","$119.86"
"Merck","$278.74 B","USA","#29","$109.94"
"ASML","$274.76 B","Netherlands","#30","$648.85"
"Bank of America","$270.69 B","USA","#31","$33.85"
"AbbVie","$264.54 B","USA","#32","$149.59"
"Roche","$260.56 B","Switzerland","#33","$317.41"
"Coca-Cola","$259.81 B","USA","#34","$60.08"
"Pfizer","$253.21 B","USA","#35","$45.11"
"International Holding Company","$241.52 B","United Arab Emirates","#36","$110.11"
"Broadcom","$238.52 B","USA","#37","$570.78"
"Oracle","$235.24 B","USA","#38","$87.25"
"Thermo Fisher Scientific","$232.83 B","USA","#40","$593.66"
"L'Oréal","$225.20 B","France","#41","$413.12"
"ICBC","$219.38 B","China","#42","$0.54"
"AstraZeneca","$216.21 B","UK","#43","$69.15"
"Costco","$213.03 B","USA","#44","$480.11"
"Shell","$205.69 B","UK","#45","$58.90"
"Reliance Industries","$203.40 B","India","#46","$30.06"
"Toyota","$201.11 B","Japan","#47","$146.11"
"Danaher","$199.75 B","USA","#48","$274.40"
"Novartis","$198.08 B","Switzerland","#49","$92.07"
"McDonald","$196.71 B","USA","#50","$268.58"
"Abbott Laboratories","$196.70 B","USA","#51","$112.82"
"Nike","$196.33 B","USA","#52","$126.62"
"Cisco","$192.17 B","USA","#53","$46.78"
"Hermès","$190.26 B","France","#54","$1,768"
"Walt Disney","$188.70 B","USA","#55","$103.48"
"T-Mobile US","$180.55 B","USA","#56","$145.12"
"Accenture","$176.76 B","Ireland","#57","$280.47"
"BHP Group","$175.76 B","Australia","#58","$69.46"
"Comcast","$170.21 B","USA","#59","$39.37"
"Wells Fargo","$168.38 B","USA","#60","$43.92"
"Verizon","$167.99 B","USA","#61","$40.00"
"China Construction Bank","$165.55 B","China","#62","$0.84"
"CATL","$164.76 B","China","#63","$67.46"
"Prosus","$164.08 B","Netherlands","#64","$81.85"
"Adobe","$163.15 B","USA","#65","$356.38"
"Nextera Energy","$162.58 B","USA","#66","$81.82"
"Linde","$161.86 B","UK","#67","$328.62"
"Morgan Stanley","$161.20 B","USA","#68","$96.24"
