"Name","MasterCap","Country","Industry","Sector"
"Shell plc","$207.68 B","United Kingdom","Oil & Gas Integrated","Energy"
"AstraZeneca plc","$201.75 B","United Kingdom","Drug Manufacturers—General","Healthcare"
"Linde plc","$166.07 B","United Kingdom","Specialty Chemicals","Basic Materials"
"HSBC Holdings plc","$140.15 B","United Kingdom","Banks","Financials"
"Rio Tinto Group","$125.84 B","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Unilever plc","$117.84 B","United Kingdom","Household & Personal Products","Consumer Staples"
"Diageo plc","$115.58 B","United Kingdom","Beverages—Wineries & Distilleries","Consumer Staples"
"GlaxoSmithKline plc","$109.98 B","United Kingdom","Drug Manufacturers—General","Healthcare"
"British American Tobacco plc","$101.44 B","United Kingdom","Tobacco","Consumer Staples"
"BP plc","$96.24 B","United Kingdom","Oil & Gas Integrated","Energy"
"Aon Plc","$73.33 B","United Kingdom","Insurance Brokers","Financials"
"Anglo American plc","$71.48 B","United Kingdom","Other Industrial Metals & Mining","Basic Materials"
"Reckitt Benckiser Group plc","(March 13, 2021)","United Kingdom","Household & Personal Products","Consumer Staples"
"RELX plc","$58.53 B","United Kingdom","Publishing","Communication Services"
"IHS Markit Ltd.","(Jan. 1, 2022)","United Kingdom","Consulting Services","Industrials"
"National Grid plc","$55.88 B","United Kingdom","Utilities—Diversified","Utilities"
"London Stock Exchange Group plc","$53.33 B","United Kingdom","Financial Data & Stock Exchanges","Financials"
"General Accident plc","$51.43 B","United Kingdom","Insurance—Property & Casualty","Financials"
"Vodafone Group plc","$45.74 B","United Kingdom","Telecom Services","Communication Services"
"Lloyds Banking Group plc","$43.70 B","United Kingdom","Banks","Financials"
"Prudential plc","$39.00 B","United Kingdom","Insurance—Life","Financials"
"Compass Group plc","$37.73 B","United Kingdom","Restaurants","Consumer Discretionary"
"NatWest Group plc","$32.72 B","United Kingdom","Banks","Financials"
"Barclays plc","$32.19 B","United Kingdom","Banks","Financials"
"Ferguson plc","$30.52 B","United Kingdom","Industrial Distribution","Industrials"
"BAE Systems plc","$30.51 B","United Kingdom","Aerospace & Defense","Industrials"
"Willis Towers Watson plc","(Jan. 1, 2022)","United Kingdom","Insurance Brokers","Financials"
"Ashtead Group plc","$28.28 B","United Kingdom","Rental & Leasing Services","Industrials"
"Tesco plc","$28.11 B","United Kingdom","Grocery Stores","Consumer Staples"
"BT Group plc","$24.09 B","United Kingdom","Telecom Services","Communication Services"
"SSE plc","$23.73 B","United Kingdom","Utilities—Diversified","Utilities"
"Coca-Cola Europacific Partners plc","$22.53 B","United Kingdom","Beverages—Non-Alcoholic","Consumer Staples"
"CNH Industrial N.V.","$21.93 B","United Kingdom","Farm & Heavy Construction Machinery","Industrials"
"Legal & General Group plc","$21.34 B","United Kingdom","Insurance—Life","Financials"
"SEGRO plc","$21.08 B","United Kingdom","REIT—Industrial","Real Estate"
"Standard Chartered plc","$20.78 B","United Kingdom","Banks","Financials"
"Imperial Brands plc","$20.14 B","United Kingdom","Tobacco","Consumer Staples"
"Aviva plc","$19.82 B","United Kingdom","Insurance—Diversified","Financials"
"Croda International plc","(Jan. 1, 2022)","United Kingdom","Specialty Chemicals","Basic Materials"
"Scottish Mortgage Investment Trust plc","$18.78 B","United Kingdom","Asset Management","Financials"
"Antofagasta plc","(Jan. 1, 2022)","United Kingdom","Copper","Basic Materials"
"3i Group plc","$17.60 B","United Kingdom","Asset Management","Financials"
"Associated British Foods plc","$17.49 B","United Kingdom","Packaged Foods","Consumer Staples"
"WPP plc","$15.76 B","United Kingdom","Advertising Agencies","Communication Services"
"Smith & Nephew plc","$14.09 B","United Kingdom","Medical Devices","Healthcare"
"Liberty Global plc","$13.61 B","United Kingdom","Entertainment","Communication Services"
"Bunzl plc","$13.07 B","United Kingdom","Food Distribution","Consumer Staples"
"Rentokil Initial plc","$12.78 B","United Kingdom","Specialty Business Services","Industrials"
"InterContinental Hotels Group plc","$12.20 B","United Kingdom","Lodging","Consumer Discretionary"
"EVRAZ plc","(Jan. 1, 2022)","United Kingdom","Steel","Basic Materials"
"Spirax-Sarco Engineering plc","$12.14 B","United Kingdom","Specialty Industrial Machinery","Industrials"
"Informa plc","$11.80 B","United Kingdom","Publishing","Communication Services"
"Ocado Group plc","$11.54 B","United Kingdom","Grocery Stores","Consumer Staples"
"Intertek Group plc","$11.03 B","United Kingdom","Consulting Services","Industrials"
"Rolls-Royce Holdings plc","$10.97 B","United Kingdom","Aerospace & Defense","Industrials"
"Schroders plc","$10.48 B","United Kingdom","Asset Management","Financials"
"NEXT plc","$10.44 B","United Kingdom","Apparel Retail","Consumer Discretionary"
"United Utilities Group plc","$10.30 B","United Kingdom","Utilities—Regulated Water","Utilities"
"St. James's Place plc","$10.21 B","United Kingdom","Financial Conglomerates","Financials"
"Severn Trent plc","$10.12 B","United Kingdom","Utilities—Regulated Water","Utilities"
"JD Sports Fashion plc","$10.00 B","United Kingdom","Specialty Retail","Consumer Discretionary"
"Admiral Group plc","$9.96 B","United Kingdom","Insurance—Property & Casualty","Financials"
"The Sage Group plc","$9.83 B","United Kingdom","Software—Application","Technology"
"Wm Morrison Supermarkets plc","(Oct. 1, 2021)","United Kingdom","Grocery Stores","Consumer Staples"
"AVEVA Group plc","$9.60 B","United Kingdom","Software—Application","Technology"
"Mondi plc","$9.51 B","United Kingdom","Paper & Paper Products","Basic Materials"
"Standard Life Aberdeen plc","(March 13, 2021)","United Kingdom","Asset Management","Financials"
"Pentair plc","$9.32 B","United Kingdom","Specialty Industrial Machinery","Industrials"
