address_name,city,country,name,location_type,postalcode,state,trade_name
445 dexter ave,montgomery,united states,"cnhi, llc",headquarter,361043892,alabama(al),
7th floor suite 1 50 broadway,london,united kingdom,craig & rose limited,single address,              sw1h 0bl,united kingdom,
via della dataria 96,roma,italy,segretariato generale della presidenza della repubblica,headquarter,187,italy,
narva mnt 6-44,tallinn,estonia,bih real estate ou,single address,10117,estonia,
1215 o st,sacramento,united states,"developmental services, california department of",headquarter,958145804,california(ca),
"mitchell point ensign way, hamble",southampton,united kingdom,qioptiq photonics limited,single address,              so31 4rf,united kingdom,
via fava 56,gozzano,italy,cristina srl,headquarter,28024,italy,
peterburi tee 48a,tallinn,estonia,recticel ou,single address,11415,estonia,
16401 swingley ridge rd ste 700,chesterfield,united states,"laird technologies, inc.",headquarter,630170744,missouri(mo),
3 latimer place,london,united kingdom,designers guild limited,headquarter,              w10 6qt,united kingdom,
piazza quadrivio 8,sondrio,italy,banca piccolo credito valtellinese spa,,23100,italy,CREDITO VALTELLINESE
2 tornimae tn 2,tallinn,estonia,seb pank as,headquarter,15010,estonia,
2220 colorado ave,santa monica,united states,"universal music group distribution, corp.",headquarter,904043506,california(ca),UNIVERSAL MUSIC GROUP
isle of grain road isle of grain,rochester,united kingdom,national grid grain lng limited,single address,              me3 0ab,united kingdom,
via puglia 35,torino,italy,iveco group n.v.,headquarter,10156,italy,
vana-viru tn 7,tallinn,estonia,tbb pank as,headquarter,15097,estonia,
2220 colorado ave,santa monica,united states,"universal music group, inc.",headquarter,904043506,california(ca),
red central 60 high street,redhill,united kingdom,lactalis mclelland limited,headquarter,              rh1 1sh,united kingdom,
via delle nazioni unite 4,collecchio,italy,dalmata spa,headquarter,43044,italy,
veski poik 3,"assaku alevik, rae vald",estonia,simpes grupp ou,headquarter,75301,estonia,
2220 colorado ave,santa monica,united states,"universal music investments, inc.",headquarter,904043506,california(ca),
redcentral 60 high street,redhill,united kingdom,lactalis (uk) limited,single address,              rh1 1sh,united kingdom,
corso inghilterra 3,torino,italy,intesa sanpaolo assicura spa,headquarter,10138,italy,
liivalaia tn 8,tallinn,estonia,swedbank support ou,single address,10118,estonia,
4025 viscount ave,memphis,united states,"international sourcing company, inc.",headquarter,381186106,tennessee(tn),
201 haverstock hill,london,united kingdom,ronly limited,headquarter,              nw3 4qg,united kingdom,
viale delle industrie snc,arzano,italy,ciro paone spa,headquarter,80022,italy,
veski poik 3,"assaku alevik, rae vald",estonia,astel garden group ou,headquarter,75301,estonia,
200 4th ave s ste 100,nashville,united states,"bridgestone americas, inc.",headquarter,372012256,tennessee(tn),BRIDGESTONE AMERICAS SOURCING
industrial road hertburn industrial estate hertburn,washington,united kingdom,the encore group (envelopes and packaging) limited,headquarter,              ne37 2sa,united kingdom,
piazza sicilia 6,milano,italy,diamalteria italiana srl,headquarter,20146,italy,
variku tee 6-1,tallinn,estonia,abc garden ou,headquarter,11911,estonia,
100 1st stamford pl ste 700,stamford,united states,"united rentals, inc.",headquarter,69029200,connecticut(ct),
"unit 9, riley court milburn hill road",coventry,united kingdom,dassault systemes uk limited,headquarter,              cv4 7hp,united kingdom,
via modena 53,castelvetro di modena,italy,cremofin srl,headquarter,41014,italy,
erika tn 14,tallinn,estonia,brandgate group ou,headquarter,10416,estonia,
126 e lincoln ave,rahway,united states,merck sharp & dohme llc,headquarter,70654607,new jersey(nj),
"faculty building, level 1 south kensington campus",london,united kingdom,imperial college london limited,headquarter,              sw7 2az,united kingdom,
via enrico fermi 13/f,verona,italy,fedrigoni spa,headquarter,37135,italy,
kullassepa tn 4,tallinn,estonia,aurum ou,single address,10146,estonia,
