name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
3h biomedical,uppsala,2004,health care,biotechnology,,,,,,,,,,,
aarhuskarlshamn,malmö,2005,consumer goods,food products,,,,,,,,,,,
abba seafood,gothenburg,1883,consumer goods,food products,,,,,,,,,,,
abu garcia,svängsta,1921,consumer goods,recreational products,,,,,,,,,,,
acando,stockholm,2001,technology,software,,,,,,,,,,,
acast,stockholm,2014,technology,software,,,,,,,,,,,
acne studios,stockholm,1997,consumer goods,clothing & accessories,,,,,,,,,,,
åf,stockholm,1895,industrials,business support services,,,,,,,,,,,
aga,luleå,1904,oil & gas,exploration & production,,,,,,,,,,,
åhléns,stockholm,1899,consumer services,broadline retailers,,,,,,,,,,,
alfa laval,lund,1883,industrials,industrial machinery,,,,,,,,,,,
alfdex,landskrona,2002,industrials,industrial machinery,,,,,,,,,,,
ap&t,ulricehamn,1989,industrials,industrial machinery,,,,,,,,,,,
apoteket,stockholm,1970,health care,pharmaceuticals,,,,,,,,,,,
aptilo networks,stockholm,2001,telecommunications,mobile telecommunications,,,,,,,,,,,
arcam,mölndal,1997,industrials,industrial suppliers,,,,,,,,,,,
asea,västerås,1883,industrials,diversified industrials,,,,,,,,,,,
abb,västerås,1988,industrials,industrial machinery,,,,,,,,,,,
assa abloy,stockholm,1994,industrials,industrial suppliers,,,,,,,,,,,
astra ab,södertälje,1913,health care,pharmaceuticals,,,,,,,,,,,
atlas copco,nacka,1873,industrials,diversified industrials,,,,,,,,,,,
atlet,mölnlycke,1958,industrials,commercial vehicles & trucks,,,,,,,,,,,
autoliv,stockholm,1997,industrials,business support services,,,,,,,,,,,
avalanche studios,stockholm,2003,technology,software,,,,,,,,,,,
avanza,stockholm,1999,financials,investment services,,,,,,,,,,,
axel johnson,stockholm,1873,conglomerates,-,,,,,,,,,,,
axel johnson group,stockholm,1873,conglomerates,-,,,,,,,,,,,
axfood,stockholm,1964,consumer services,food retailers & wholesalers,,,,,,,,,,,
axis communications,lund,1984,technology,computer hardware,,,,,,,,,,,
bae systems,örnsköldsvik,2006,industrials,defense,,,,,,,,,,,
bahco,enköping,1886,industrials,diversified industrials,,,,,,,,,,,
bahnhof,stockholm,1994,telecommunications,fixed line telecommunications,,,,,,,,,,,
ballograf,gothenburg,1945,consumer goods,nondurable household products,,,,,,,,,,,
berg propulsion,gothenburg,1912,industrials,industrial machinery,,,,,,,,,,,
