ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
48,jana small finance bank,,,,2006,,,,,banking,,,;
72,jp morgan chase,,,,2000,,,,,investment banking / venture capital / private equity,,,;
93,jsw steel,,,,1982,,,,,iron & steel,,,;
100,jll,,,,1997,,,,,real estate,,,;
103,justdial,,,,1996,,,,,internet,,,;
137,jbm group,,,,1983,,,,,auto components,,,;
149,john deere,,,,2001,,,,,it services & consulting,,,;
226,jindal steel and power,,,,1952,,,,,iron & steel,,,;
250,jk cement,,,,1974,,,,,building material,,,;
269,jmc projects,,,,1982,,,,,engineering & construction,,,;
370,jk tyres,,,,1951,,,,,auto components,,,;
378,johnson controls,,,,1995,,,,,it services & consulting,,,;
382,jcb,,,,1945,,,,,industrial machinery,,,;
422,jet airways,,,,1993,,,,,aviation,,,;
441,jubilant foods works,,,,1995,,,,,retail,,,;
453,jindal stainless,,,,1970,,,,,iron & steel,,,;
497,johnson & johnson,,,,1957,,,,,pharma,,,;
554,j. kumar infraprojects,,,,1980,,,,,engineering & construction,,,;
571,jindal saw,,,,1984,,,,,building material,,,;
643,jw marriott,,,,1927,,,,,hospitality,,,;
694,johnson lifts,,,,1981,,,,,industrial machinery,,,;
722,jubilant pharmova,,,,1978,,,,,pharma,,,;
756,jindal x,,,,1998,,,,,bpo,,,;
791,jaquar,,,,1960,,,,,furniture & furnishing,,,;
801,jsw cement,,,,2009,,,,,building material,,,;
805,jk lakshmi cement,,,,1982,,,,,building material,,,;
917,jakson group,,,,1947,,,,,power,,,;
950,jacobs engineering group,,,,1947,,,,,engineering & construction,,,;
1011,jtekt,,,,2006,,,,,auto components,,,;
1060,jain irrigation systems,,,,1963,,,,,industrial machinery,,,;
1068,j b chemicals and pharmaceuticals,,,,1976,,,,,pharma,,,;
1112,jaya hind industries,,,,1947,,,,,auto components,,,;
1156,jiomart,,,,0,,,,,,,,;
1248,jyothy laboratories,,,,1983,,,,,fmcg,,,;
1329,jabil circuit india,,,,1966,,,,,electronics manufacturing,,,;
1346,jk paper,,,,1962,,,,,pulp & paper,,,;
1366,jaro education,,,,2009,,,,,edtech,,,;
1389,jubilant generics,,,,2013,,,,,pharma,,,;
1411,jai balaji group,,,,1999,,,,,iron & steel,,,;
1505,jk tech,,,,1994,,,,,it services & consulting,,,;
1553,j k fenner,,,,1987,,,,,engineering & construction,,,;
1610,jsw group,,,,1982,,,,,iron & steel,,,;
1648,jayaswal neco industries,,,,1972,,,,,iron & steel,,,;
1652,jiva ayurvedic pharmacy,,,,1992,,,,,healthcare,,,;
1685,jaypee cement,,,,1996,,,,,building material,,,;
1694,jtekt sona automotive india,,,,2007,,,,,auto components,,,;
1812,jm financial,,,,1984,,,,,financial services,,,;
1912,jbs enterprises,,,,1987,,,,,electronics manufacturing,,,;
1917,jio platforms,,,,0,,,,,it services & consulting,,,;
1980,jindal poly films,,,,1974,,,,,packaging,,,;
2068,jamna auto industries,,,,1954,,,,,auto components,,,;
2121,jawahar navodaya vidyalaya,,,,1985,,,,,education & training,,,;
2166,jyoti cnc automation,,,,1989,,,,,industrial machinery,,,;
2220,jns instruments,,,,2001,,,,,industrial machinery,,,;
2314,jumio,,,,2010,,,,,it services & consulting,,,;
2359,jetking infotrain,,,,1947,,,,,edtech,,,;
2396,johnson controls hitachi air conditioning,,,,0,,,,,consumer electronics & appliances,,,;
2404,johnson controls hitachi air conditioning,,,,0,,,,,consumer electronics & appliances,,,;
2445,johnson matthey,,,,1817,,,,,chemicals,,,;
