id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
96,quess,,,2007.0,,,,,['recruitment'],,
478,quest global,,,1997.0,,,,,['it services & consulting'],,
864,qualitykiosk technologies,,,2000.0,,,,,['it services & consulting'],,
1052,qualcomm,,,1996.0,,,,,['semiconductors'],,
1059,quest retail,,,2005.0,,,,,['retail'],,
1081,quatrro,,,2005.0,,,,,['it services & consulting'],,
1160,quikr,,,2008.0,,,,,['internet'],,
1350,qatar airways,,,1993.0,,,,,['aviation'],,
1418,quality austria central asia,,,2010.0,,,,,['management consulting'],,
1707,qhtalbros,,,1986.0,,,,,['auto components'],,
1750,quick heal technologies,,,1995.0,,,,,['software product'],,
1834,qcon,,,1975.0,,,,,['engineering & construction'],,
1837,quislex legal services,,,2004.0,,,,,['legal'],,
1896,quantiphi analytics solutions,,,2013.0,,,,,['it services & consulting'],,
1983,quest global engineering,,,,,,,,,,
2322,quintessence business solutions & services,,,2011.0,,,,,['it services & consulting'],,
2552,quinnox,,,2002.0,,,,,['it services & consulting'],,
3173,qatar petroleum,,,1974.0,,,,,['oil & gas'],,
3202,qburst technologies,,,2004.0,,,,,['it services & consulting'],,
3257,qx global group,,,2003.0,,,,,,,
3435,qdegrees services,,,2013.0,,,,,['management consulting'],,
3494,qa infotech,,,2003.0,,,,,['it services & consulting'],,
3727,qualitest,,,1997.0,,,,,['it services & consulting'],,
3795,qspiders,,,2003.0,,,,,['education & training'],,
3854,qentelli,,,2015.0,,,,,['it services & consulting'],,
4034,qatargas,,,1984.0,,,,,['oil & gas'],,
4418,quest diagnostics,,,1967.0,,,,,['clinical research'],,
4955,qdvc,,,2007.0,,,,,['engineering & construction'],,
5106,quale infotech,,,2017.0,,,,,['it services & consulting'],,
5164,qube cinema technologies,,,2004.0,,,,,['media & entertainment'],,
5175,qualtech consultants,,,2003.0,,,,,['it services & consulting'],,
5233,quadlabs technologies,,,2006.0,,,,,['software product'],,
5320,quantzig,,,,,,,,,,
5361,qr crypher,,,2019.0,,,,,['software product'],,
5628,qualsquad infotech,,,2015.0,,,,,['it services & consulting'],,
5832,quest global technologies,,,2013.0,,,,,['it services & consulting'],,
5838,q way technologies,,,2010.0,,,,,['bpo/kpo'],,
5989,qrg central hospital & research centre,,,2007.0,,,,,['healthcare'],,
6188,quality council of india,,,1997.0,,,,,['government'],,
6198,quadgen wireless solutions,,,2007.0,,,,,['telecom'],,
6365,qdigi services,,,,,,,,['recruitment'],,
6763,qd-sbg construction,,,2010.0,,,,,['engineering & construction'],,
6872,qwik supply chain,,,,,,,,,,
6964,quatrro mortgage solutions,,,2006.0,,,,,['financial services'],,
7015,qatar steel,,,1974.0,,,,,['iron & steel'],,
7081,qutone ceramic,,,2008.0,,,,,['building material'],,
7132,quadrant resource llc,,,,,,,,['it services & consulting'],,
7703,qbss,,,,,,,,['it services & consulting'],,
8118,quality evaluation and systems team,,,1985.0,,,,,['management consulting'],,
8139,quality evaluation and systems team,,,1985.0,,,,,['management consulting'],,
8798,quality control department,,,,,,,,['government'],,
8861,qwikcilver solutions,,,2007.0,,,,,['it services & consulting'],,
9095,qualitas global qa labs,,,2014.0,,,,,['it services & consulting'],,
9104,quaere e-technologies,,,2007.0,,,,,['it services & consulting'],,
9182,qatar petrochemical company,,,1974.0,,,,,['petrochemicals'],,
9438,qapitol qa,,,2015.0,,,,,['it services & consulting'],,
9527,qarmatek services,,,2011.0,,,,,['facility management services'],,
9545,qinecsa solutions,,,,,,,,,,
9892,qcon-qatar engineering & construction,,,,,,,,['engineering & construction'],,
10724,qualitypools&spasoãå(12528901),,,,,,,,,,
11584,quantum metric,united states,,2015.0,,,,,['data management & analytics'],,colorado springs
11590,quizlet,united states,,2005.0,,,,,['edtech'],,san francisco
11721,qingting fm,china,,,,,,,['internet software & services'],,shanghai
11785,qumulo,united states,,2012.0,,,,,['data management & analytics'],,seattle
12138,quora,united states,,2009.0,,,,,['internet software & services'],,mountain view
12169,qualia,united states,,2015.0,,,,,['fintech'],,san francisco
12437,qonto,france,,2016.0,,,,,['fintech'],,paris
12447,quintoandar,brazil,,2012.0,,,,,['e-commerce & direct-to-consumer'],,campinas
12685,quintoandar,brazil,,,,,,,['e-commerce & direct-to-consumer'],,campinas
12701,qonto,france,,,,,,,['fintech'],,paris
12975,qualia,united states,,,,,,,['fintech'],,san francisco
12996,quora,united states,,,,,,,['internet software & services'],,mountain view
13351,qumulo,united states,,,,,,,['data management & analytics'],,seattle
13422,qingting fm,china,,,,,,,['internet software & services'],,shanghai
13548,quizlet,united states,,,,,,,['edtech'],,san francisco
13556,quantum metric,united states,,,,,,,['data management & analytics'],,colorado springs
13830,qualcomm,united states,,,,doll_14.086000000000002 b,,,"['tech', 'semiconductors', 'tech hardware']",,
14543,quanta services,united states,,,,doll_2.1870000000000003 b,,,['engineering'],,
14737,quest diagnostics,united states,,,,doll_1.7129999999999999 b,,,['diagnostics and testing'],,
14950,q holding,united arab emirates,,,,doll_0.709 b,,,['investment'],,
14976,qualtrics,united states,,,,doll_0.663 b,,,"['software', 'tech']",,
15007,quidelortho,united states,,,,doll_0.5820000000000001 b,,,"['healthcare', 'diagnostics and testing', 'manufacturing']",,
15079,qualys,united states,,,,doll_0.414 b,,,"['it security', 'software', 'tech']",,
15114,qube holdings,australia,,,,doll_0.361 b,,,"['railways', 'transportation', 'infrastructure']",,
15128,quantumscape,united states,,,,doll_0.33599999999999997 b,,,"['electricity', 'batteries']",,
15139,quaker houghton,united states,,,,doll_0.339 b,,,['chemicals'],,
15282,q2,united states,,,,doll_0.183 b,,,"['financial services', 'tech']",,
15298,quilter,uk,,,,doll_0.17099999999999999 b,,,['financial services'],,
15443,qcr holdings,united states,,,,doll_0.08399999999999999 b,,,"['banks', 'financial services']",,
15575,quotient technology,united states,,,,doll_0.033 b,,,['advertising'],,
15635,quad,united states,,,,doll_0.024 b,,,['advertising'],,
15826,quanergy systems,united states,,,,doll_0.0011899999999999999 b,,,"['lidar', 'tech', 'tech hardware']",,
