id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
47,udaan,,,2016.0,,,,,['internet'],,
60,ultratech cement,,,1983.0,,,,,['building material'],,
68,ujjivan small finance bank,,,2017.0,,,,,['banking'],,
134,ust,,,2001.0,,,,,['it services & consulting'],,
144,unitedhealth,,,1977.0,,,,,['healthcare'],,
238,utkarsh small finance bank,,,2009.0,,,,,['banking'],,
285,united phosphorus,,,1969.0,,,,,['agro chemicals'],,
332,uno minda,,,1958.0,,,,,['auto components'],,
464,uflex,,,1985.0,,,,,['packaging'],,
503,usha international,,,1934.0,,,,,['consumer electronics & appliances'],,
504,usv,,,1961.0,,,,,['pharma'],,
520,unacademy,,,2015.0,,,,,['edtech'],,
596,unisys,,,1986.0,,,,,['it services & consulting'],,
669,unichem laboratories,,,1944.0,,,,,['pharma'],,
678,upgrad,,,2015.0,,,,,['edtech'],,
848,unicharm,,,1961.0,,,,,['beauty & personal care'],,
903,united alliance technology,,,,,,,,['it services & consulting'],,
947,united breweries,,,1857.0,,,,,['beverage'],,
963,ubs,,,2015.0,,,,,['it services & consulting'],,
971,urban company,,,2015.0,,,,,['internet'],,
1004,uber,,,2009.0,,,,,['internet'],,
1032,ugam solution,,,2000.0,,,,,['it services & consulting'],,
1078,united spirits,,,1997.0,,,,,['beverage'],,
1079,united spirits,,,1997.0,,,,,['beverage'],,
1144,uttam galva steels,,,1985.0,,,,,['iron & steel'],,
1230,ups logistics,,,1907.0,,,,,['logistics'],,
1245,union bank of india,,,1919.0,,,,,['banking'],,
1308,united colors of benetton info,,,1992.0,,,,,['retail'],,
1478,updater services,,,1985.0,,,,,['facility management services'],,
1502,ukb electronics,,,1996.0,,,,,['electronics manufacturing'],,
1572,usha martin,,,1961.0,,,,,['iron & steel'],,
1624,ufaber,,,2013.0,,,,,['edtech'],,
1669,unitedlex,,,2006.0,,,,,['legal'],,
1675,utility powertech,,,1995.0,,,,,['power'],,
1744,unimoni,,,2006.0,,,,,['fintech'],,
1783,uppcl,,,1999.0,,,,,['power'],,
1838,ucal fuel systems,,,1985.0,,,,,['auto components'],,
1853,universal sompo general insurance,,,2007.0,,,,,['insurance'],,
1991,udaan cargo & logistics,,,2015.0,,,,,['logistics'],,
2002,uplers,,,2012.0,,,,,['it services & consulting'],,
2184,urc construction,,,1956.0,,,,,['engineering & construction'],,
2251,uniparts group,,,1984.0,,,,,['industrial machinery'],,
2373,unitech,,,1971.0,,,,,['real estate'],,
2609,uco bank,,,1943.0,,,,,['banking'],,
2821,uae exchange & financial services,,,1980.0,,,,,['fintech'],,
3108,ubisoft entertainment,,,1986.0,,,,,['gaming'],,
3131,ubs business solutions,,,,,,,,,,
3198,urban ladder,,,2012.0,,,,,['retail'],,
3240,uniinfo telecom services,,,2010.0,,,,,['telecom'],,
3268,university of petroleum & energy studies,,,2003.0,,,,,['education & training'],,
3273,university of petroleum & energy studies,,,2003.0,,,,,['education & training'],,
3285,united india insurance company,,,1938.0,,,,,['insurance'],,
3319,uneecops technologies,,,1995.0,,,,,['it services & consulting'],,
3470,unibic foods,,,2004.0,,,,,['food processing'],,
3530,us tech solutions,,,2000.0,,,,,['recruitment'],,
3556,unique identification authority of india,,,2009.0,,,,,['it services & consulting'],,
3736,unicef,,,1946.0,,,,,['non-profit'],,
3829,ushodaya enterprises,,,1974.0,,,,,['fmcg'],,
3871,ugc supply chain solutions,,,1999.0,,,,,['logistics'],,
3887,ultimate kronos group,,,1977.0,,,,,['it services & consulting'],,
3996,ultra engineers,,,1991.0,,,,,['other'],,
4009,uae exchange,,,1995.0,,,,,['fintech'],,
4101,unilog content solutions ( p),,,1998.0,,,,,['it services & consulting'],,
4153,uttam value steels,,,1974.0,,,,,['iron & steel'],,
4160,unique engineers,,,1990.0,,,,,['industrial machinery'],,
4172,uttam value steels,,,1974.0,,,,,['iron & steel'],,
4492,unicorn infosolutions,,,2002.0,,,,,['retail'],,
4526,ujaas energy,,,1979.0,,,,,['power'],,
4579,university of delhi,,,1922.0,,,,,['education & training'],,
4674,uds,,,1985.0,,,,,['facility management services'],,
4684,university of engineering and management,,,2014.0,,,,,['education & training'],,
4699,united bank of india,,,1950.0,,,,,['banking'],,
4715,united bank of india,,,1950.0,,,,,['banking'],,
4884,unitedhealthcare parekh insurance tpa,,,1977.0,,,,,['healthcare'],,
4903,unitedhealthcare parekh insurance tpa,,,1977.0,,,,,['healthcare'],,
4921,ufo moviez,,,2005.0,,,,,['media & entertainment'],,
5053,unitile,,,1994.0,,,,,['building material'],,
5103,umlaut,,,1996.0,,,,,['management consulting'],,
5121,united nations development programme,,,1965.0,,,,,['non-profit'],,
5201,utkarsh india,,,1987.0,,,,,['industrial machinery'],,
5243,upwork,,,2015.0,,,,,['internet'],,
5247,urs scott wilson india,,,1951.0,,,,,['engineering & construction'],,
5382,umedica laboratories,,,1982.0,,,,,['pharma'],,
5419,uas international,,,,,,,,['financial services'],,
5438,uas international,,,,,,,,['financial services'],,
5572,uniqlo,,,,,,,,['retail'],,
5679,underwriters laboratories,,,1894.0,,,,,['financial services'],,
5693,ugro capital,,,1993.0,,,,,,,
5726,unimark remedies,,,1982.0,,,,,['pharma'],,
5822,utkal alumina international,,,1993.0,,,,,['chemicals'],,
5932,u.s. polo assn,,,1890.0,,,,,['retail'],,
5952,uttar pradesh jal nigam,,,1975.0,,,,,['government'],,
5999,unistal systems,,,1994.0,,,,,['software product'],,
6194,umang dairies,,,1994.0,,,,,['fmcg'],,
6239,unity infraprojects,,,1979.0,,,,,['engineering & construction'],,
6257,uti technology services,,,1993.0,,,,,['it services & consulting'],,
6270,unity infraprojects,,,1979.0,,,,,['engineering & construction'],,
6375,upstox,,,2011.0,,,,,['fintech'],,
6489,ultimate flexipack,,,1987.0,,,,,['petrochemicals'],,
6494,urbanpro,,,2011.0,,,,,['edtech'],,
6502,united industries,,,1985.0,,,,,['industrial machinery'],,
6520,ultimate flexipack,,,1987.0,,,,,['petrochemicals'],,
6528,urjanet energy solutions,,,2010.0,,,,,['it services & consulting'],,
6624,utility projects and services,,,2006.0,,,,,['engineering & construction'],,
6750,uni klinger,,,1983.0,,,,,['industrial machinery'],,
6769,ummeed housing finance,,,2016.0,,,,,['financial services'],,
6811,unison pharmaceuticals,,,1981.0,,,,,['pharma'],,
6926,uttam toyota,,,2000.0,,,,,['automobile'],,
6949,unschool learning,,,2019.0,,,,,['edtech'],,
6956,uti mutual fund,,,1963.0,,,,,['financial services'],,
7063,unify technologies,,,2015.0,,,,,['it services & consulting'],,
7258,ultratech cement ltd- rmc div,,,,,,,,['engineering & construction'],,
7277,ultratech cement ltd- rmc div,,,,,,,,['engineering & construction'],,
7426,ub engineering,,,1963.0,,,,,['engineering & construction'],,
7440,uma polymers,,,1987.0,,,,,['packaging'],,
7506,unitech power transmission,,,1995.0,,,,,['power'],,
7523,ust product engineering,,,1996.0,,,,,['it services & consulting'],,
7536,unicom infotel,,,1996.0,,,,,['telecom'],,
7563,ultratech india,,,1992.0,,,,,['pharma'],,
7587,ubs investment bank,,,,,,,,['investment banking / venture capital / private equity'],,
7603,ultratech india,,,1992.0,,,,,['pharma'],,
7617,utsav fashion,,,2000.0,,,,,['internet'],,
7748,ups supply chain solutions,,,2002.0,,,,,['logistics'],,
7752,ukay metal industries,,,1988.0,,,,,['metals & mining'],,
7871,upman placements,,,2002.0,,,,,['recruitment'],,
7894,uttam sugar mills,,,1993.0,,,,,['food processing'],,
7901,us technology,,,,,,,,['it services & consulting'],,
7987,united biotech,,,1997.0,,,,,['pharma'],,
8425,u k paints,,,1919.0,,,,,['building material'],,
8434,ubique systems,,,2000.0,,,,,['recruitment'],,
8530,utracon structural systems,,,1998.0,,,,,['engineering & construction'],,
8678,usha fire safety equipments,,,1988.0,,,,,['industrial machinery'],,
8716,unique builders,,,2002.0,,,,,['engineering & construction'],,
8783,u n mehta institute of cardiology & research centre,,,1982.0,,,,,['education & training'],,
8795,unthinkable solutions,,,2019.0,,,,,['it services & consulting'],,
8902,universal precision screws,,,2006.0,,,,,['industrial machinery'],,
8906,u c s k m public school,,,,,,,,['education & training'],,
8910,universal precision screws,,,2006.0,,,,,['industrial machinery'],,
8994,urbacon trading & contracting,,,2011.0,,,,,['engineering & construction'],,
9013,urbacon trading & contracting,,,2011.0,,,,,['engineering & construction'],,
9065,ujala credit co-operative society,,,2012.0,,,,,['financial services'],,
9120,usg boral building products,,,2014.0,,,,,['building material'],,
9135,utkal automobiles,,,1955.0,,,,,['automobile'],,
9211,uber eats,,,2014.0,,,,,['internet'],,
9242,unlistedguru,,,2021.0,,,,,['financial services'],,
9352,upl-2,,,,,,,,['agro chemicals'],,
9368,upl-2,,,,,,,,['agro chemicals'],,
9388,udaan express,,,,,,,,,,
9389,udaan express,,,,,,,,,,
9407,uniworld logistics,,,2002.0,,,,,['logistics'],,
9462,universal cables,,,1962.0,,,,,['building material'],,
9487,umasons auto compo,,,2000.0,,,,,['auto components'],,
9524,uniworld logistics,,,2002.0,,,,,['logistics'],,
9548,united nations,,,1945.0,,,,,['other'],,
9631,ucertify,,,2004.0,,,,,['edtech'],,
9646,unitech plasto components,,,2003.0,,,,,['petrochemicals'],,
9721,uv infratech systems,,,,,,,,,,
9790,universal construction machinery and equipment,,,1974.0,,,,,['industrial machinery'],,
11170,uãåsportsparadise(12252942),,,,,,,,,,
11266,uabsparrssbalticeestifiliaal(11478957),,,,,,,,,,
11268,uipsspaceoãå(16248245),,,,,,,,,,
11269,umeshspaceoãå(14489714),,,,,,,,,,
11271,upspacedigitaloãå(16623016),,,,,,,,,,
11272,upspawnoãå(16046688),,,,,,,,,,
11273,urbanspaoãå(12531228),,,,,,,,,,
11274,urmasuuspalu(12867543),,,,,,,,,,
11275,urspuudenmaanrakennus-jasaneerauspalveluoãå(12436211),,,,,,,,,,
11276,ustiginvestoãå(12136503),,,,,,,,,,
11277,uudenmaansisustus-japuhdistuspalvelutoãå(12441778),,,,,,,,,,
11399,unstoppable domains,united states,,2018.0,,,,,['internet software & services'],,las vegas
11434,upside foods,united states,,2015.0,,,,,['other'],,berkeley
11694,uisee technology,china,,2016.0,,,,,"['supply chain, logistics, & delivery']",,beijing
11760,unit,united states,,2019.0,,,,,['fintech'],,new york
11857,unisound,china,,2012.0,,,,,['artificial intelligence'],,beijing
11918,upside,united states,,2016.0,,,,,['mobile & telecommunications'],,dc
11959,uplight,united states,,2019.0,,,,,['other'],,boulder
12033,unite us,united states,,2014.0,,,,,['health'],,new york
12043,uniswap,united states,,2018.0,,,,,['fintech'],,new york
12069,upgrad,india,,2015.0,,,,,['edtech'],,mumbai
12134,unqork,united states,,2017.0,,,,,['fintech'],,new york
12161,urban company,india,,2014.0,,,,,['e-commerce & direct-to-consumer'],,gurgaon
12194,uptake,united states,,2014.0,,,,,['artificial intelligence'],,chicago
12216,uniphore,united states,,2008.0,,,,,['artificial intelligence'],,palo alto
12221,uala,argentina,,2017.0,,,,,['fintech'],,buenos aires
12234,unico,brazil,,2007.0,,,,,['artificial intelligence'],,sao paulo
12299,udaan,india,,2016.0,,,,,"['supply chain, logistics, & delivery']",,bengaluru
12334,unacademy,india,,2015.0,,,,,['edtech'],,bengaluru
12336,upstox,india,,2010.0,,,,,['fintech'],,mumbai
12411,ubtech robotics,china,,2012.0,,,,,['hardware'],,shenzhen
