id,name,country,address,founded,employees,market_cap,revenue,profit,categories,ceo,city
74,zydus cadila,,,1952.0,,,,,['pharma'],,
283,zensar technologies,,,2001.0,,,,,['it services & consulting'],,
387,zomato,,,2008.0,,,,,['internet'],,
516,zs,,,1983.0,,,,,['management consulting'],,
676,zf rane automotive,,,,,,,,['auto components'],,
1022,zf steering gear,,,1915.0,,,,,['auto components'],,
1191,zuventus healthcare,,,2002.0,,,,,['pharma'],,
1194,zydus wellness,,,1988.0,,,,,['fmcg'],,
1290,zte corporation,,,2003.0,,,,,['it services & consulting'],,
1397,zoho,,,1996.0,,,,,['software product'],,
1410,zydus lifesciences,,,1952.0,,,,,,,
1464,zydus healthcare,,,,,,,,,,
1517,ziqitza health care,,,2005.0,,,,,['healthcare'],,
1759,zee entertainment enterprises,,,1992.0,,,,,['media & entertainment'],,
1833,zealous services,,,2007.0,,,,,['bpo'],,
1988,zycus infotech,,,1997.0,,,,,['software product'],,
2196,zolo,,,2015.0,,,,,['internet'],,
2209,zeetech management and marketing,,,2011.0,,,,,,,
2225,zoomcar,,,2012.0,,,,,['internet'],,
2297,zara,,,1974.0,,,,,['fashion & textile'],,
2368,zetwerk manufacturing businesses,,,2018.0,,,,,['iron & steel'],,
2448,zimetrics technologies,,,2015.0,,,,,['it services & consulting'],,
2622,zf wind power,,,1923.0,,,,,['power'],,
2641,zuari cement,,,2000.0,,,,,['building material'],,
2731,zf india technology center,,,1915.0,,,,,['auto components'],,
2771,zovian technologies,,,2016.0,,,,,['it services & consulting'],,
2778,zydex industries,,,1997.0,,,,,['chemicals'],,
3004,zebronics,,,1997.0,,,,,['consumer electronics & appliances'],,
3115,zydus hospital,,,2015.0,,,,,['healthcare'],,
3320,zim laboratories,,,1984.0,,,,,['pharma'],,
3323,zee laboratories,,,1993.0,,,,,['pharma'],,
3368,zuari agro chemicals,,,1967.0,,,,,['agro chemicals'],,
3452,zepto,,,2021.0,,,,,['internet'],,
3846,zee learn,,,2016.0,,,,,['education & training'],,
4018,zyoin,,,2005.0,,,,,['recruitment'],,
4028,zamil steel buildings india,,,2008.0,,,,,['engineering & construction'],,
4033,zyoin,,,2005.0,,,,,['recruitment'],,
4092,zscaler softech,,,2008.0,,,,,['software product'],,
4335,zee media corporation,,,1999.0,,,,,['media & entertainment'],,
4519,zodiac clothing company,,,1984.0,,,,,['fashion & textile'],,
5098,zeta,,,2015.0,,,,,['it services & consulting'],,
5102,zf group,,,,,,,,['auto components'],,
5478,zerodha,,,2010.0,,,,,['fintech'],,
5580,zucol group,,,2010.0,,,,,['it services & consulting'],,
5737,zeco aircon,,,1989.0,,,,,['industrial machinery'],,
5806,ziff davis performance marketing,,,2005.0,,,,,['marketing & advertising'],,
5945,zeta global,,,2007.0,,,,,['marketing & advertising'],,
6373,zudio,,,,,,,,['retail'],,
6440,zcl chemicals,,,1991.0,,,,,['pharma'],,
6604,zacks research,,,1978.0,,,,,['financial services'],,
6685,zunroof tech,,,2016.0,,,,,['power'],,
6993,zamil,,,1920.0,,,,,['financial services'],,
7023,zamil,,,1920.0,,,,,['financial services'],,
7037,zydus hospira oncology,,,,,,,,,,
7146,zopper,,,2011.0,,,,,['internet'],,
7349,zigma technologies,,,2004.0,,,,,['it services & consulting'],,
7357,zivame.com,,,2011.0,,,,,['fashion & textile'],,
7362,zicom electronic security systems,,,1994.0,,,,,['consumer electronics & appliances'],,
7381,zigma technologies,,,2004.0,,,,,['it services & consulting'],,
7385,zicom electronic security systems,,,1994.0,,,,,['consumer electronics & appliances'],,
7412,zahran operation & maintenance,,,1975.0,,,,,['it services & consulting'],,
7432,zee news,,,1999.0,,,,,['broadcasting'],,
7724,zenith precision,,,1986.0,,,,,['aviation'],,
7731,zenith leisure holidays,,,1997.0,,,,,['travel & tourism'],,
7849,zinnov management consulting,,,2002.0,,,,,['management consulting'],,
8036,zeiss pharma,,,2014.0,,,,,['pharma'],,
8136,zenq,,,2003.0,,,,,['it services & consulting'],,
8258,ztt,,,1992.0,,,,,['industrial machinery'],,
8291,ztt,,,1992.0,,,,,['industrial machinery'],,
8349,zeon lifesciences,,,1987.0,,,,,['healthcare'],,
8370,zeon lifesciences,,,1987.0,,,,,['healthcare'],,
8429,zenith software,,,1996.0,,,,,['it services & consulting'],,
8492,zenith software,,,1996.0,,,,,['it services & consulting'],,
8569,zinghr,,,2002.0,,,,,['it services & consulting'],,
8605,zen technologies,,,1993.0,,,,,['consumer electronics & appliances'],,
8856,zieta technologies,,,2001.0,,,,,['it services & consulting'],,
9044,zopsmart technology,,,2014.0,,,,,['software product'],,
9219,zydus takeda healthcare,,,1781.0,,,,,['pharma'],,
9415,zensoft services,,,2013.0,,,,,['it services & consulting'],,
9536,zentiva,,,,,,,,,,
9636,zifo rnd solutions,,,2008.0,,,,,['it services & consulting'],,
9775,zymr systems,,,2012.0,,,,,['it services & consulting'],,
9852,zone by the park chennai,,,2011.0,,,,,['hospitality'],,
11186,zspaautotradeoãå(12828916),,,,,,,,,,
11489,zopa,united kingdom,,2005.0,,,,,['fintech'],,london
11551,zihaiguo,china,,2018.0,,,,,['consumer & retail'],,chongqing
11589,zwift,united states,,2014.0,,,,,['e-commerce & direct-to-consumer'],,long beach
11629,zhaogang,china,,2012.0,,,,,['e-commerce & direct-to-consumer'],,shanghai
11648,zhuan zhuan,china,,2015.0,,,,,['e-commerce & direct-to-consumer'],,beijing
11654,zebec,united states,,2021.0,,,,,['fintech'],,san francisco
11723,zego,united kingdom,,,,,,,['fintech'],,london
11790,zip,united states,,2020.0,,,,,['fintech'],,san francisco
11930,zeta,united states,,2015.0,,,,,['fintech'],,san francisco
11962,zenoti,united states,,2010.0,,,,,['internet software & services'],,bellevue
12023,zenbusiness,united states,,2015.0,,,,,['fintech'],,austin
12031,zhubajie,china,,,,,,,['internet software & services'],,chongqing
12057,zocdoc,united states,,2007.0,,,,,['health'],,new york
12082,zigbang,south korea,,2010.0,,,,,['mobile & telecommunications'],,seoul
12096,zilch,united kingdom,,2018.0,,,,,['fintech'],,london
12184,zume,united states,,2015.0,,,,,['consumer & retail'],,mountain view
12220,zetwerk,india,,2018.0,,,,,['internet software & services'],,bengaluru
12259,zipline,united states,,2014.0,,,,,"['supply chain, logistics, & delivery']",,south san francisco
12296,zuoyebang,china,,2014.0,,,,,['edtech'],,beijing
12394,zapier,united states,,,,,,,['internet software & services'],,sunnyvale
12439,zepz,united kingdom,,2010.0,,,,,['fintech'],,london
12483,ziroom,china,,2011.0,,,,,['e-commerce & direct-to-consumer'],,beijing
12520,zongmu technology,china,,2013.0,,,,,['auto & transportation'],,shanghai
12592,zongmu technology,china,,,,,,,['auto & transportation'],,shanghai
12653,ziroom,china,,,,,,,['e-commerce & direct-to-consumer'],,beijing
12695,zepz,united kingdom,,,,,,,['fintech'],,london
12753,zapier,united states,,,,,,,['internet software & services'],,sunnyvale
12843,zuoyebang,china,,,,,,,['edtech'],,beijing
12882,zipline,united states,,,,,,,"['supply chain, logistics, & delivery']",,south san francisco
12917,zetwerk,india,,,,,,,['internet software & services'],,bengaluru
12957,zume,united states,,,,,,,['consumer & retail'],,mountain view
13044,zilch,united kingdom,,,,,,,['fintech'],,london
13066,zigbang,south korea,,,,,,,['mobile & telecommunications'],,seoul
13083,zocdoc,united states,,,,,,,['health'],,new york
13114,zenbusiness,united states,,,,,,,['fintech'],,austin
13123,zhubajie,china,,,,,,,['internet software & services'],,chongqing
13181,zenoti,united states,,,,,,,['internet software & services'],,bellevue
13218,zeta,united states,,,,,,,['fintech'],,san francisco
13346,zip,united states,,,,,,,['fintech'],,san francisco
13419,zego,united kingdom,,,,,,,['fintech'],,london
13485,zebec,united states,,,,,,,['fintech'],,san francisco
13504,zhuan zhuan,china,,,,,,,['e-commerce & direct-to-consumer'],,beijing
13506,zhaogang,china,,,,,,,['e-commerce & direct-to-consumer'],,shanghai
13551,zwift,united states,,,,,,,['e-commerce & direct-to-consumer'],,long beach
13592,zihaiguo,china,,,,,,,['consumer & retail'],,chongqing
13659,zopa,united kingdom,,,,,,,['fintech'],,london
13941,zurich insurance group,switzerland,,,,doll_7.125 b,,,['insurance'],,
13947,zoetis,united states,,,,doll_7.336 b,,,"['pharmaceuticals', 'biotech']",,
14164,zijin mining,china,,,,doll_3.739 b,,,['mining'],,
14439,zimmer biomet,united states,,,,doll_2.58 b,,,['medical devices'],,
14540,zoom,united states,,,,doll_2.1719999999999997 b,,,"['tech', 'internet', 'software']",,
14556,z holdings,japan,,,,doll_2.116 b,,,['internet'],,
14598,zto express,china,,,,doll_2.0629999999999997 b,,,['courier'],,
14706,zscaler,united states,,,,doll_1.86 b,,,"['software', 'tech', 'it security']",,
14835,zoominfo,united states,,,,doll_1.218 b,,,"['software', 'tech']",,
14892,zillow,united states,,,,doll_1.019 b,,,"['real estate', 'internet', 'tech']",,
15017,zomato,india,,,,doll_0.541 b,,,"['food delivery', 'food', 'internet', 'tech']",,
15060,zai lab,china,,,,doll_0.445 b,,,"['pharmaceuticals', 'biotech']",,
15203,zee entertainment,india,,,,doll_0.263 b,,,"['entertainment', 'media/press']",,
15390,zhihu,china,,,,doll_0.10700000000000001 b,,,"['tech', 'internet']",,
15593,zengame technology,china,,,,doll_0.028999999999999998 b,,,"['video games', 'entertainment']",,
15759,zordix,sweden,,,,doll_0.03728 b,,,"['video games', 'entertainment']",,
15843,zovio,united states,,,,doll_0.00317 b,,,['education'],,
16038,zee learn,india,,,,doll_0.0264 b,,,['education'],,
16049,zk international group,china,,,,doll_0.02764 b,,,['steel industry'],,
16052,zynerba pharmaceuticals,united states,,,,doll_0.02776 b,,,['pharmaceuticals'],,
16122,zion oil & gas,united states,,,,doll_0.0426 b,,,"['oil&gas', 'energy']",,
16510,zentek,canada,,,,doll_0.014000000000000002 b,,,,,
16727,zimvie,united states,,,,doll_0.022 b,,,['medical devices'],,
16891,zomedica pharmaceuticals,united states,,,,doll_0.027000000000000003 b,,,"['pharmaceuticals', 'biotech']",,
16906,zevia,united states,,,,doll_0.028000000000000004 b,,,['beverages'],,
17274,zumiez,united states,,,,doll_0.047 b,,,"['retail', 'clothing']",,
17330,zur rose group,switzerland,,,,doll_0.049 b,,,"['drugstore', 'e-commerce', 'internet', 'retail']",,
17374,zerofox,united states,,,,doll_0.053000000000000005 b,,,"['it security', 'software', 'tech']",,
17463,zynex,united states,,,,doll_0.059 b,,,['medical devices'],,
17496,zensar,india,,,,doll_0.06 b,,,['professional services'],,
17521,zymeworks,canada,,,,doll_0.062 b,,,"['pharmaceuticals', 'biotech']",,
17658,zeal network,germany,,,,doll_0.073 b,,,,,
17753,zealand pharma,denmark,,,,doll_0.081 b,,,"['pharmaceuticals', 'biotech']",,
17844,zuora,united states,,,,doll_0.089 b,,,"['software', 'tech']",,
18083,zydus wellness,india,,,,doll_0.11299999999999999 b,,,"['consumer goods', 'wellness']",,
18276,zentalis pharmaceuticals,united states,,,,doll_0.135 b,,,"['pharmaceuticals', 'biotech']",,
18526,zhejiang jinke tom culture industry,china,,,,doll_0.16799999999999998 b,,,"['video games', 'entertainment']",,
18589,zeta global,united states,,,,doll_0.179 b,,,"['advertising', 'software', 'tech']",,
18654,zug estates holding,switzerland,,,,doll_0.187 b,,,['real estate'],,
18723,ziprecruiter,united states,,,,doll_0.202 b,,,"['staffing & employment services', 'internet', 'tech']",,
