_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
4416,69490,662,bnp paribas sa,france,,,,,doll_69.90 b,,,banks,financials,,,bnp paribas,,,,1848,,,,,financial services,,,,1
11942,101287,3457,brilliant polymers,india,,,,90,,doll_44.02 m,,,chemicals,,,bony polymers,,,,1981,,,,,auto components,,,,0
14182,163482,4414,breedon group,uk,,,,,doll_2.16 m,,92 million usd,['construction materials'],,,,bonn group,,,,1985,,,,,fmcg,,,,0
30297,13981,13981,bharti airtel,india,,,,,doll_61.78 b,,,,,['telecommunication'],,bharti airtel,india,,,,,doll_61.78 b,,,,,['telecommunication'],,1
47212,29464,20700,boston beer company,united states,,,,,doll_4.39 b,,,,,,,boston beer company,united states,,,,,doll_4.43 b,,,,,beverages alcoholic-beverages ,,1
48272,25009,20834,biosig technologies,united states,,,,,doll_37.04 m,,,,,medical-devices ,,bwx technologies,united states,,,,,doll_5.22 b,,,,,uranium ,,0
57395,19661,22337,bank of china,china,,,,,doll_133.02 b,,,,,banks financial-services ,,bank of ningbo,china,,,,,doll_33.23 b,,,,,none,,0
123062,53605,33723,bioxcel therapeutics,united states,,,,,doll_0.53 b,,,,,,,biora therapeutics,united states,,,,,doll_38.11 m,,,,,,,0
123534,33723,33826,biora therapeutics,united states,,,,,doll_38.11 m,,,,,,,bellerophon therapeutics,united states,,,,,doll_23.09 m,,,,,,,0
131518,19661,35061,bank of china,china,,,,,doll_133.02 b,,,,,banks financial-services ,,bank of jiangsu,china,,,,,doll_16.25 b,,,,,,,0
134648,28034,35281,bdo unibank,philippines,,,,,doll_13.77 b,,,,,,,bdo unibank,philippines,,,,,doll_12.41 b,,,,,,,1
135174,150982,35292,bank of zhengzhou,china,,,,,doll_3.62 b,,doll_401.0 m,,,,,bank of shanghai,china,,,,,doll_12.3 b,,,,,,,0
