_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
10945,9879,2069,cellplan technologies,,,,2003,,,,,telecom,,,,c-edge technologies,,,,2006,,,,,it services & consulting,,,,0
47072,94927,9613,china energy engineering,china,,,,,doll_4.17 b,doll_49.75 b,,,,,,chromewell engineering,,,,1958,,,,,industrial machinery,,,,0
77005,74178,17782,comcast corporation,united states,,,,,doll_218.90 b,,,,communication services,,,chase corporation,united states,,,,,doll_0.84 b,,,,,['chemicals'],,0
81790,139783,19604,conmed corporation,united states,,,,,doll_3.83 m,,,,,,,cabot corporation,united states,,,,,doll_4.07 b,,,,,['chemicals'],,0
83980,25327,19944,capricor therapeutics,united states,,,,,doll_0.10 b,,,,,pharmaceuticals biotech ,,corcept therapeutics,united states,,,,,doll_2.52 b,,,,,pharmaceuticals biotech ,,0
84340,58729,19969,commvault,united states,,,,,doll_2.57 b,,,,,,,commvault,united states,,,,,doll_2.54 b,,,,,none,,1
120706,22501,22501,caesars entertainment,united states,,,,,doll_10.52 b,,,,,gambling entertainment ,,caesars entertainment,united states,,,,,doll_10.52 b,,,,,gambling entertainment ,,1
158288,143258,25771,codexis,united states,,,,,doll_1.75 m,,,,,,,codexis,united states,,,,,doll_0.40 b,,,,,pharmaceuticals biotech ,,1
212840,57409,28956,chang hwa commercial bank,taiwan,,,,,doll_6.15 b,,,,,,,chang hwa commercial bank,taiwan,,,,,doll_6.15 b,,,,,,,1
226779,141676,30508,chesapeake utilities corporation,united states,,,,,doll_2.3 m,,,,,,,chesapeake utilities,united states,,,,,doll_2.20 b,,,,,,,1
236054,44901,31586,ceres power,uk,,,,,doll_0.89 b,,,,,['hydrogenfuelcell'],,ceres power,uk,,,,,doll_0.90 b,,,,,,,1
243163,64948,32277,canaan,,,,,346.0,doll_0.50 b,doll_0.94 b,doll_0.40 b,,,,,canaan,china,,,,,doll_0.50 b,,,,,,,1
245610,7848,32860,corecard software,,,,0,,,,,it services & consulting,,,,cognyte software,israel,,,,,doll_0.25 b,,,,,,,0
250643,63136,33345,citizens inc,,,,,215.0,doll_0.12 b,doll_0.23 b,-doll_16.21 m,,,,,citizens inc,united states,,,,,doll_0.12 b,,,,,,,1
300883,61761,36272,clearwater paper,,,,,3.0,doll_0.61 b,doll_2.04 b,doll_0.13 b,,,,,clearwater analytics,united states,,,,,doll_5.41 b,,,,,,,0
316588,23400,38162,cogent biosciences,united states,,,,,doll_0.88 b,,,,,pharmaceuticals biotech ,,cytek biosciences,united states,,,,,doll_1.46 b,,,,,,,0
351652,62422,44826,cryoport,,,,,900.0,doll_1.02 b,doll_0.23 b,-doll_0.29 b,,,,,cryoport,united states,,,,,doll_0.84 b,,,,,[],,1
406979,56681,49660,cna financial,united states,,,,,doll_11.35 b,,,,,,,cna financial,united states,,,,,doll_11.15 b,,,,,,,1
484685,92645,56420,ctbc financial,taiwan,,,,,doll_19.63 b,doll_14.93 b,doll_1.94 b,,,,,ctbc financial holding,taiwan,,,,,doll_15.00 b,,,,,,,1
