_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
735,148100,792,exact sciences corporation,united states,,,,,doll_13.04 b,,doll_-595.0 m,,,,,eaton corporation,,,,1911,,,,,power,,,,0
3710,37073,2798,esab,united states,,,,,doll_3.12 b,,,,,,,esab,,,,1987,,,,,industrial machinery,,,,1
11504,57729,8484,evoqua water technologies,united states,,,,,doll_5.00 b,,,,,,,edunext technologies,,,,2012,,,,,it services & consulting,,,,0
12888,16493,9483,eyepoint pharmaceuticals,united states,,,,,doll_0.14 b,,,,,['pharmaceuticals'],,exemed pharmaceuticals,,,,2009,,,,,pharma,,,,0
15305,34996,14583,eisai,japan,,,,,doll_17.52 b,,,,,,,eisai,japan,,,,,doll_20.40 b,,,,,['pharmaceuticals'],,1
15896,52629,15317,ero copper,canada,,,,,doll_1.27 b,,,,,,,ero copper,canada,,,,,doll_1.46 b,,,,,['mining'],,1
16748,40041,16840,emerald holding,united states,,,,,doll_230.0 m,,,,,,,emerald holding,united states,,,,,doll_0.25 b,,,,,,,1
17939,142599,18280,equinox gold,canada,,,,,doll_2.15 m,,,,,,,equinox gold,canada,,,,,doll_1.35 b,,,,,,,1
20978,36397,20836,euronet worldwide,united states,,,,,doll_4.97 b,,,,,,,euronet worldwide,united states,,,,,doll_5.25 b,,,,,none,,1
22803,67332,21911,equitable holdings,,,,,12.000,doll_11.76 b,doll_15.43 b,doll_4.11 b,,,,,equitable holdings,united states,,,,,doll_11.44 b,,,,,financial-services insurance ,,1
23291,69647,22343,electronic arts inc.,united states,,,,,doll_37.38 b,,,electronic gaming & multimedia,communication services,,,electronic arts,united states,,,,,doll_34.28 b,,,,,video-games esports entertainment tech ,,1
24195,94993,22638,east japan railway,japan,,,,,doll_20.31 b,doll_17.67 b,,,,,,east japan railway,japan,,,,,doll_21.25 b,,,,,railways transportation ,,1
24433,21624,22747,eqt corporation,united states,,,,,doll_12.81 b,,,,,none,,exelon corporation,united states,,,,,doll_42.66 b,,,,,electricity ,,0
24623,48611,22871,enterprise products,united states,,,,,doll_52.95 b,,,,,,,enterprise products,united states,,,,,doll_55.98 b,,,,,oil-gas energy ,,1
26164,143650,23807,enova international,united states,,,,,doll_1.22 m,,,,,,,enova international,united states,,,,,doll_1.28 b,,,,,financial-services ,,1
30504,23737,26516,eagle bancorp,united states,,,,,doll_1.41 b,,,,,banks financial-services ,,essa bancorp,united states,,,,,doll_0.21 b,,,,,banks financial-services ,,0
35465,29077,29077,element fleet management,canada,,,,,doll_5.66 b,,,,,,,element fleet management,canada,,,,,doll_5.66 b,,,,,,,1
38592,59009,30594,exp world holdings,united states,,,,,doll_2.11 b,,,,,,,exp world holdings,united states,,,,,doll_2.04 b,,,,,,,1
39652,59480,30930,elgi equipments,india,,,,,doll_1.48 b,,,,,,,elgi equipments,india,,,,,doll_1.59 b,,,,,,,1
