_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
8039,50495,4625,first american,united states,,,,,doll_5.58 b,,,,,,,first american title,,,,1889,,,,,insurance,,,,1
14333,6790,9118,firepro systems,,,,1992,,,,,law enforcement & security,,,,freight systems,,,,1988,,,,,ports & shipping,,,,0
18096,38471,15341,fuelcell energy,united states,,,,,doll_1.14 b,,,,,,,fuelcell energy,united states,,,,,doll_1.36 b,,,,,['energy'],,1
25389,37029,20312,frasers logistics & industrial trust,singapore,,,,,doll_3.22 b,,,,,,,frasers logistics & industrial trust,singapore,,,,,doll_3.39 b,,,,,real-estate investment reit ,,1
25673,36915,20440,faurecia,france,,,,,doll_3.52 b,,,,,,,faurecia,france,,,,,doll_3.96 b,,,,,none,,1
26459,69519,20788,fedex corporation,united states,,,,,doll_63.25 b,,,integrated freight & logistics,industrials,,,f.n.b. corporation,united states,,,,,doll_4.70 b,,,,,banks financial-services ,,0
35885,39307,24152,first financial,united states,,,,,doll_540.0 m,,,,,,,first bancorp,united states,,,,,doll_1.66 b,,,,,banks financial-services ,,0
38734,39307,24634,first financial,united states,,,,,doll_540.0 m,,,,,,,first financial bank,united states,,,,,doll_2.27 b,,,,,banks financial-services ,,1
42533,43899,26111,force motors,india,,,,,doll_0.24 b,,,,,[],,force motors,india,,,,,doll_0.24 b,,,,,none,,1
47788,70946,27903,first quantum minerals ltd.,canada,,,,,doll_23.47 b,,,copper,basic materials,,,first quantum minerals,canada,,,,,doll_16.15 b,,,,,,,1
48340,21717,28013,formosa chemicals & fibre,taiwan,,,,,doll_14.02 b,,,,,chemicals ,,formosa chemicals & fibre,taiwan,,,,,doll_14.08 b,,,,,,,1
59453,154012,31165,first commonwealth financial corporation,united states,,,,,doll_1.64 b,,doll_138.0 m,,,,,first commonwealth financial corp,united states,,,,,doll_1.34 b,,,,,,,1
59533,52510,31177,finolex industries,india,,,,,doll_1.38 b,,,,,,,finolex industries,india,,,,,doll_1.33 b,,,,,,,1
66436,55134,33801,fun yours technology,taiwan,,,,,doll_26.95 m,,,,,,,fun yours technology,taiwan,,,,,doll_26.47 m,,,,,,,1
66843,48540,34285,fiserv,united states,,,,,doll_64.71 b,,,,,,,fiserv,united states,,,,,doll_64.88 b,,,,,,,1
67604,48954,34667,fomento económico mexicano,mexico,,,,,doll_27.89 b,,,,,,,fomento económico mexicano,mexico,,,,,doll_28.7 b,,,,,,,1
67669,48971,34706,foxconn industrial internet,china,,,,,doll_26.96 b,,,,,,,foxconn industrial internet,china,,,,,doll_27.07 b,,,,,,,1
68646,27858,35033,fox corporation,united states,,,,,doll_17.06 b,,,,,,,fox corporation,united states,,,,,doll_16.78 b,,,,,,,1
83005,47476,39201,franklin resources,united states,,,,,doll_13.37 b,,,,,['investment'],,franklin covey,united states,,,,,doll_610.0 m,,,,,,,0
94665,20062,46114,forward air,united states,,,,,doll_2.70 b,,,,,transportation ,,forward air,united states,,,,,doll_2.87 b,,,,,[],,1
