_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
425,65273,226,jindal steel & power,,,,,6.2,doll_7.40 b,doll_9.33 b,doll_1.09 b,,,,,jindal steel and power,,,,1952,,,,,iron & steel,,,,0
1063,30172,801,jk cement,india,,,,,doll_2.75 b,,,,,,,jsw cement,,,,2009,,,,,building material,,,,0
1240,144300,917,jsti group,china,,,,,doll_1.09 m,,,,,,,jakson group,,,,1947,,,,,power,,,,0
5599,8107,8107,junglee games,,,,2012,,,,,it services & consulting,,,,junglee games,,,,2012,,,,,it services & consulting,,,,1
7165,10380,10380,jan-kasparkaasik,,,                        Harju maakond Tallinn Kesklinna linnaosa F. R. Faehlmanni tn 8-11 10125                            ,,,,,,,,,,jan-kasparkaasik,,,                        Harju maakond Tallinn Kesklinna linnaosa F. R. Faehlmanni tn 8-11 10125                            ,,,,,,,,,,0
9136,59865,18057,jamieson wellness,canada,,,,,doll_1.10 b,,,,,,,jamieson wellness,canada,,,,,doll_1.10 b,,,,,['dietary supplements'],,1
9747,37096,20527,jungheinrich,germany,,,,,doll_3.08 b,,,,,,,jungheinrich,germany,,,,,doll_3.65 b,,,,,none,,1
9911,28843,21009,japan post insurance,japan,,,,,doll_6.64 b,,,,,,,japan post insurance,japan,,,,,doll_6.74 b,,,,,insurance ,,1
11481,28335,22524,juniper networks,united states,,,,,doll_10.36 b,,,,,,,juniper networks,united states,,,,,doll_10.68 b,,,,,networking-hardware telecommunications-equipment tech tech-hardware ,,1
11489,137635,22524,juniper networks,united states,,,,,doll_9.42 m,,,,,,,juniper networks,united states,,,,,doll_10.68 b,,,,,networking-hardware telecommunications-equipment tech tech-hardware ,,0
13026,174234,24572,jeudan a/s,denmark,,,1898,,,244 million usd,,['real estate'],,,not found,jeudan,denmark,,,,,doll_2.17 b,,,,,real-estate ,,1
13627,32429,26202,jtekt india,india,,,,,doll_0.42 b,,,,,,,jtekt india,india,,,,,doll_0.42 b,,,,,automotive-suppliers ,,1
14006,55697,27221,johnson controls,ireland,,,,,doll_45.35 b,,,,,,,johnson controls,ireland,,,,,doll_47.26 b,,,,,,,0
14578,149158,27463,japan post insurance,japan,,,,,doll_6.93 b,,doll_1.15 b,,,,,japan post holdings,japan,,,,,doll_30.14 b,,,,,,,0
16737,38105,30948,jindal stainless,india,,,,,doll_1.52 b,,,,,,,jindal stainless,india,,,,,doll_1.57 b,,,,,,,0
